Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Jackie snaps and viciously attacks Laurie in a catfight	Jackie	Laurie	40	10	Bandit	Jackie gains status/respect (even Hyde’s praise) but harms Laurie physically.
Jackie beats up her karate instructor in her first lesson	Jackie	Karate instructor	35	10	Stupid	She vents anger but likely sabotages her training and injures someone helping her.
Jackie overeats when down on her luck or without a boyfriend	Jackie	Jackie	20	50	Helpless	Coping mechanism brings short-term comfort but harms her own health/esteem without affecting others.
Jackie tactlessly tells Roy she doesn’t like him	Jackie	Roy	60	20	Bandit	She’s honest and keeps her standards, but unnecessarily hurts Roy’s feelings.
Jackie bosses Kelso around and tells him what to do	Jackie	Kelso	65	30	Bandit	She exerts control to suit herself while making his life more constrained and unpleasant.
Jackie attacks Hyde for saying her middle name “Beulah”	Jackie	Hyde	30	20	Stupid	Overreacting to teasing hurts Hyde and frames her as volatile, with little benefit to herself.
Jackie rejects others’ pity after her father is jailed and mother abandons her	Jackie	Everyone offering pity	60	55	Intelligent	Refusing pity helps her maintain dignity and push for self-reliance without much harming others.
Jackie helps Red fix a car when Eric proves inadequate	Jackie	Red	70	80	Intelligent	She gains skills and Red’s respect while helping him with real work.
Hyde tells Eric to imagine Jackie in a coconut bikini and “tune her out” to explain her appeal	Hyde	Eric	55	45	Intelligent	Hyde clarifies his attraction and gives Eric a coping tool; mild objectification but no real harm depicted.
Jackie invokes male gaze and fetish (toe ring) to attract Hyde’s attention	Jackie	Hyde	65	55	Intelligent	She strategically uses his preferences to get romantic attention; no shown harm to him or others.
Jackie maintains a blind spot about Kelso and gets angry when others criticize him	Jackie	Her friends	35	35	Stupid	Her denial keeps her in a bad relationship and strains friends who try to help.
Jackie breaks up with Kelso after catching him cheating with Laurie	Jackie	Kelso	75	30	Bandit	She improves her own situation by leaving a cheater, though it hurts Kelso, who caused it.
Hyde challenges Jackie’s personality, pushing her to think about her future	Hyde	Jackie	70	80	Intelligent	His influence triggers her growth from vapid girl to more mature woman with plans.
Jackie breaks up with Hyde when he refuses to consider a permanent relationship	Jackie	Hyde	70	45	Intelligent	She protects her long‑term interests and self‑respect, hurting him emotionally but based on clear future concerns.
Jackie kicks the dog by trying to hurt Fez badly after he politely rejects her	Jackie	Fez	25	5	Stupid	She gains no real benefit and drives Fez away by sadistically trying to harm him.
Jackie turns down Kelso’s marriage proposal (to his relief)	Jackie	Kelso	75	70	Intelligent	She avoids an unwanted marriage while sparing Kelso from a commitment he fears.
Jackie thanks Red for saying her rich father will “buy his way out” of trouble	Jackie	Red	60	30	Bandit	She feels reassured by unfair privilege while implicitly endorsing a system Red resents.
Jackie mocks Donna’s larger physique while praising her own slender body	Jackie	Donna	55	20	Bandit	She boosts her own ego at Donna’s expense, harming Donna’s body image.
Jackie frequently repulses guys with her rich-bitch attitude	Jackie	Interested guys	30	40	Stupid	Her behavior undermines her own romantic prospects while only mildly inconveniencing others.
Jackie goes to the Forman house on career day and helps Red in the garage	Jackie	Red	75	80	Intelligent	She gains practical experience and a bond with Red while productively helping him fix the car.
Jackie fixes the car successfully and feels “like Nancy Drew”	Jackie	Jackie	80	60	Intelligent	She boosts her self-efficacy and joy in competence with no indicated harm to anyone.
