Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
John makes it clear Jamie’s only value is as ranch legal representation	John	Jamie	65	5	Bandit	He secures legal services and control while deeply devaluing Jamie, damaging Jamie with no real cost to himself at the time.
John allows Beth’s physical abuse of Jamie	John	Jamie	60	0	Bandit	He maintains Beth’s loyalty and family power dynamics while letting Jamie be harmed with no benefit to Jamie.
Beth physically abuses Jamie	Beth	Jamie	55	0	Bandit	Beth vents rage and asserts dominance at Jamie’s expense, gaining emotional release and control while only harming him.
John realizes the ramifications of Beth blackmailing Jamie over the murder of Jamie’s father	John	Jamie	40	40	Helpless	Insight creates internal conflict and no practical gain, and it doesn’t stop the abuse so any benefit to Jamie is minimal.
Beth functionally blackmails Jamie over murdering his real father	Beth	Jamie	70	10	Bandit	She gains leverage and control over Jamie while leaving him vulnerable and traumatized, with little upside for him.
John comments he still loves Jamie regardless	John	Jamie	45	30	Helpless	Verbal reassurance gives John some emotional relief and Jamie marginal comfort but doesn’t alter abusive dynamics.
John returns to abusing Jamie as before	John	Jamie	60	0	Bandit	He reasserts dominance and vents spite with no self-cost in the short term while continuing to harm Jamie.
John robs Jamie of his efforts to be Governor out of spite	John	Jamie	50	10	Bandit	He blocks Jamie’s political ascent to keep control yet later loses from this choice; Jamie is clearly harmed.
Jamie declares John’s impeachment from being Governor	Jamie	John	70	20	Bandit	Jamie gains power and revenge while destabilizing John and the family, causing broad collateral damage.
Jamie tacitly suggests Sarah use her contacts to have John killed	Jamie	John	35	5	Bandit	He seeks freedom and safety from John but is wracked by guilt and fallout, and John is gravely harmed.
Sarah tells Jamie to stop crying after John’s murder	Sarah	Jamie	60	10	Bandit	She keeps Jamie focused on her agenda and power play while emotionally invalidating him.
John falls down from a ruptured ulcer	John	John	10	50	Helpless	His prior stress and lifestyle lead to serious self-harm with no gain, though others react caringly.
Ranch-hands rush John to the on-site veterinarian	Ranch-hands	John	55	80	Intelligent	They expend effort and worry to save his life, benefiting him greatly with minor personal cost.
John undergoes diagnosis and treatment for colon cancer	John	John	30	50	Helpless	Treatment is painful and frightening with uncertain benefit; he at least preserves a chance to survive.
Militia members shoot John multiple times	Militia	John	10	5	Stupid	They nearly kill him but fail long-term and provoke lethal retaliation, causing harm with no durable benefit.
John kills members of the Montana Free Militia after they threaten his family	John	Militia	70	15	Bandit	He protects his family and deterrence at the cost of others’ lives and escalation risks.
John disagrees with outsiders on principle and disregards useful ranching practices	John	Outsiders	25	25	Stupid	His contrarianism undermines his own and the ranch’s interests while also rejecting beneficial proposals for others.
John refuses to install solar panels to “protect” sage grass	John	Ranch/outsiders	30	30	Stupid	He blocks revenue and modernization for a useless plant, hurting both himself and wider economic/environmental gains.
John ruthlessly uses violence (“train station”) to secure his rule	John	Various enemies	65	10	Bandit	He preserves power and territory through killings that create fear, bodies, and a bad reputation for others.
