Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Barney drinks alcohol despite it destroying him	Barney	Barney	5	10	Stupid	Habitual drinking wrecks his own life and contributes little or nothing to others.
Barney gives up alcohol temporarily and becomes addicted to coffee	Barney	Barney	40	55	Helpless	He gains some functioning via sobriety but replaces it with another dependency that Moe exploits.
Barney lives a dysfunctional life brought on by alcoholism	Barney	Barney	10	20	Stupid	His ongoing alcoholic lifestyle keeps him in a chronically damaged state with no offsetting gain.
Barney licks beer off the floor while claiming he still has dignity	Barney	Barney	8	20	Stupid	Degrading behavior for minimal short-term gratification further harms his dignity and health.
Barney tries to fight his alcoholism	Barney	Barney	80	70	Intelligent	His efforts at sobriety significantly improve his capabilities and reduce collateral damage.
Barney kicks the bottle and excels in astronaut training	Barney	Others on mission	90	85	Intelligent	Sobriety unlocks his genius, benefits his career prospects and serves the program well.
Barney is okay with being touched in the shelter after learning it was Skinner	Barney	Skinner	60	55	Intelligent	He drops an unnecessary objection and accepts harmless contact, easing tension.
Barney happily becomes “the wife” in a cult marriage to Otto	Barney	Otto	55	55	Intelligent	He participates willingly in a mutual, if odd, arrangement with no clear harm shown.
Barney admits he is in love with Homer	Barney	Homer	60	60	Intelligent	Openly stating his feelings is honest, costs him nothing clearly, and can deepen their bond.
Barney gives up drinking in later seasons (attempted relevance)	Barney	Barney	75	65	Intelligent	Sobriety improves his life trajectory and reduces burdens on those around him.
Barney becomes enraged when his beer is ruined or blocked	Barney	Person ruining beer	20	10	Stupid	Overreaction to loss of alcohol harms his relations and self-control for no real gain.
Barney knocks Homer out with one punch when drunk	Barney	Homer	45	15	Bandit	He shows effective fighting ability but harms a friend and risks consequences.
Barney knocks out Wade Boggs and Moe while drunk	Barney	Boggs and Moe	40	15	Bandit	His combat skill empowers him but causes physical harm and likely social fallout.
Barney easily produces the best film in Springfield’s festival	Barney	Audience/judges	80	85	Intelligent	His artistry brings him recognition while deeply moving others.
Barney crushes Homer’s plow business as the Plow King	Barney	Homer	85	25	Bandit	His business success benefits him but directly damages Homer’s livelihood.
Barney proves the most talented singer in the Be Sharps	Barney	Band/audience	80	80	Intelligent	His singing boosts his own success and the group’s appeal.
Barney completes astronaut training without a hitch (sober)	Barney	NASA/crew	90	85	Intelligent	He gains a prestigious qualification and becomes a reliable asset to the mission.
Barney doesn’t care much that alcohol destroys his abilities	Barney	Barney	15	30	Stupid	Indifference to a self-ruining flaw keeps him trapped with little compensating benefit.
Barney stands in line at unemployment agency seeking work	Barney	Barney	60	55	Intelligent	Attempting to get a job is a rational move toward stability and reduces reliance on others.
Barney donates sperm, producing many children	Barney	Offspring/parents	65	65	Intelligent	His donations likely provide him money and give many families children.
Barney takes Bart’s skateboard and breaks it in half	Barney	Bart	35	20	Bandit	He vents frustration by destroying Bart’s property, gaining minor emotional relief while harming Bart.
Barney sobers up for a few seasons	Barney	Barney	80	70	Intelligent	Sustained sobriety significantly improves his functioning and reduces harm to others.
Moe starts serving Barney coffee to keep profiting from his addiction	Moe	Barney	75	25	Bandit	Moe gains steady revenue while perpetuating Barney’s dependency.
Barney goes streaking at his high school senior prom	Barney	Prom attendees	40	45	Helpless	He risks humiliation for a brief thrill that mildly entertains others more than it helps him.
Barney works as a male stripper during economic hardship	Barney	Audience	70	60	Intelligent	He finds income in a downturn and provides entertainment, with no added downside shown.
