Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Gareth makes frequent romantic advances towards his female co-workers	Gareth	Female co-workers	55	20	Bandit	He seeks personal gratification while making coworkers uncomfortable and harming the workplace climate.
Dwight hunts what he thinks is a werewolf and shoots his neighbor's dog	Dwight	Neighbor (and dog)	30	5	Stupid	He gains nothing and risks trouble while killing an innocent pet.
Dwight considers praying to Thor to help him find who left a joint	Dwight	Unknown joint owner	50	45	Intelligent	Within the story this is harmless effort toward solving a workplace problem.
Jim frequently pranks Dwight after Dwight behaves arrogantly	Jim	Dwight	65	25	Bandit	Jim entertains himself while causing Dwight stress and embarrassment.
Dwight and Angela conceive a child and later become a loving family	Dwight and Angela	Themselves and Phillip	90	80	Intelligent	They gain a stable family and their child benefits from loving parents.
Dwight lies about a fake dental emergency with “Crentist” to skip work	Dwight	Michael/Office	40	35	Bandit	He tries to shirk duties with an obvious lie that mildly harms trust and workflow.
Dwight hides weapons around the office for a possible attack	Dwight	Coworkers	40	20	Stupid	He feels prepared but mainly creates serious safety risks for everyone, including himself.
Dwight subdues Roy by pepper-spraying him during an assault attempt	Dwight	Jim and office	80	85	Intelligent	He successfully protects Jim and prevents further violence with little downside.
Dwight kills Angela’s sick cat Sprinkles without permission	Dwight	Angela (and Sprinkles)	20	10	Stupid	He loses Angela’s trust and causes her grief while the cat dies painfully in his freezer.
Dwight volunteers at an animal hospital and euthanizes over 150 pets	Dwight	Pet owners/animals	55	70	Intelligent	Within the context, he provides a needed, if grim, service to animals and owners.
Dwight competes against a computer for most sales and wins	Dwight	Company/Computer system	80	75	Intelligent	He proves his value and brings in sales revenue for the firm.
Dwight recognizes positive traits in disliked coworkers on Tallahassee team	Dwight	Tallahassee team members	75	70	Intelligent	He grows personally and improves team cohesion and respect.
Dwight realizes his coworkers are more competent than his personal friends	Dwight	Coworkers	70	65	Intelligent	He updates his standards, valuing his coworkers and likely strengthening the team.
Dwight immediately asks Jim to be his second when he becomes manager	Dwight	Jim	80	80	Intelligent	He gains a strong deputy while honoring their friendship and Jim’s abilities.
Dwight chooses Jim as best man over family	Dwight	Jim	85	75	Intelligent	He affirms a meaningful friendship, strengthening mutual loyalty and support.
Dwight fires Jim and Pam so they can receive severance to move	Dwight	Jim and Pam	75	85	Intelligent	He risks HR blowback but uses policy to give close friends substantial financial help.
Dwight shifts from worshiping Michael to trying to surpass him	Dwight	Michael	70	40	Bandit	He advances his career at the expense of loyalty to his former mentor.
Dwight interrogates coworkers and runs drug tests over a joint	Dwight	Coworkers	40	25	Stupid	He gets little real benefit while wasting time, stressing colleagues, and harming morale.
Dwight tries to finish a Sabre seminar while in appendicitis pain	Dwight	Himself/Company	20	60	Helpless	He endangers his own health for marginal extra diligence on a work event.
Dwight keeps digging himself deeper by overreacting to Jim’s pranks	Dwight	Dwight	25	55	Helpless	His overreactions hurt his own reputation and comfort while amusing everyone else.
Dwight and Jim cooperate for a big sale when branches close	Dwight and Jim	Client/Company	80	85	Intelligent	They put rivalry aside to land sales that benefit their careers and the firm.
Dwight consoles Ryan after a failed sales call and then eggs the building	Dwight	Ryan/Client	55	45	Intelligent	He emotionally supports Ryan; the petty vandalism is minor and mostly cathartic.
Dwight refuses Ryan’s “Saw”-style revenge plan as too brutal	Dwight	Jim	60	70	Intelligent	He rejects excessive cruelty, protecting Jim from extreme harm without real cost.
Dwight convinces Angela to reduce her murder plan to kneecapping	Dwight	Angela’s target (Oscar)	65	60	Intelligent	He de-escalates from murder to non-lethal harm, significantly reducing potential damage.
Dwight fat-shames overweight staff to “keep them fit”	Dwight	Overweight coworkers	35	25	Stupid	Any potential health benefit is outweighed by humiliation and toxic workplace effects.
Dwight fires Kevin publicly for incompetence when he takes over	Dwight	Kevin	70	30	Bandit	He improves office performance and protects the business but harms Kevin harshly.
Dwight hides a family arsenal in the office and uses real gun in fire drill	Dwight	Coworkers	10	5	Stupid	His “training” and weapons create life-threatening danger with almost no upside.
Dwight starts a real office fire and sabotages exits for a drill	Dwight	Coworkers	5	0	Stupid	He nearly kills people and causes losses without any proportionate gain.
Dwight insists on extreme rules and pees in a bottle to not waste time	Dwight	Himself/Coworkers	30	20	Stupid	He marginally increases his own productivity while degrading himself and the office.
Dwight fires a real gun instead of a starter pistol at the fun run	Dwight	Coworkers	15	5	Stupid	He endangers others for theatrics, causing unnecessary risk and harm.
Dwight discharges an antique revolver in the office and deafens Andy	Dwight	Andy/Office	10	5	Stupid	He gains no benefit while injuring a colleague and damaging property.
Dwight shoots Stanley with a bull tranquilizer	Dwight	Stanley	10	0	Stupid	He seriously endangers a coworker’s health for no meaningful gain.
Dwight plays Hannibal Lecter by wearing the dummy’s skinned face	Dwight	Coworkers	45	30	Stupid	He amuses himself while deeply disturbing others and undermining professionalism.
Dwight plays Second Life at work and builds a “Mega Desk” for gaming	Dwight	Company	60	40	Bandit	He gains personal entertainment and comfort at the cost of work focus and resources.
Dwight eats office paper as a snack	Dwight	Company	35	45	Helpless	He mildly harms himself and wastes product, entertaining others more than helping himself.
Dwight treats Jim’s promotion to co-manager as an enemy to destroy	Dwight	Jim	45	25	Bandit	He seeks advancement by undermining Jim at the expense of team stability.
Dwight plots to get Jim fired in Season 6	Dwight	Jim	40	20	Bandit	He chases his own power while threatening Jim’s livelihood and damaging the office climate.
Dwight fires a gun in the office while in charge, getting blacklisted	Dwight	Coworkers	20	10	Stupid	He torpedoes his own advancement and endangers staff for authoritarian theatrics.
Dwight later runs the branch efficiently while treating staff better	Dwight	Office staff	85	85	Intelligent	He gains a successful tenure as manager and improves morale and performance.
Dwight uses his own childish antics to annoy Michael so he won’t move in	Dwight	Michael	65	55	Intelligent	He keeps his boundaries while sparing Michael an awkward refusal.
Dwight brings petrol bombs on a “panty raid” for Michael’s scheme	Dwight	Other branch/Office	20	5	Stupid	He escalates a prank toward lethal danger with no rational benefit.
Dwight trolls Andy by wearing a Cornell shirt	Dwight	Andy	65	40	Bandit	He amuses himself by needling Andy, causing only mild annoyance to others.
Dwight beats Jim in a snowball fight and booby-traps the office	Dwight	Jim	70	35	Bandit	He gains emotional satisfaction and “wins” while causing Jim pain and fear.
Dwight and Jim team up effectively when facing more annoying people	Dwight and Jim	Targets/Company	75	80	Intelligent	They protect their shared environment and land sales, helping themselves and the firm.
Dwight repeatedly starts and ends a secret relationship with Angela	Dwight and Angela	Themselves/Andy/Senator	50	40	Bandit	They pursue their own complicated romance while repeatedly hurting third parties.
Dwight eventually cancels his engagement to be with Angela	Dwight	Current fiancée	70	40	Bandit	He gains true love and happiness while seriously hurting and discarding his fiancée.
Dwight trolls Michael by demeaning Jim’s “butt-kissing” to kids	Dwight	Jim	60	40	Bandit	He boosts his own image and vents jealousy by undercutting Jim in front of others.
Dwight fires Toby through a child for no valid reason	Dwight	Toby	30	10	Stupid	He indulges personal dislike, risks legal trouble, and offers no business benefit.
Dwight buys the office building with his accumulated wealth	Dwight	Company	90	75	Intelligent	He gains major assets and control while providing a stable landlord for the office.
Dwight supports Jim and Pam’s baby Cece and calms her crying	Dwight	Cece/Jim/Pam	80	85	Intelligent	He shows skill and care, helping the baby and strengthening bonds with her parents.
Dwight helps Jim and Pam trick Michael into thinking he slept all day	Dwight	Michael	70	55	Bandit	He joins a prank that amuses the group and himself at Michael’s temporary expense.
Dwight refuses to be Deangelo’s number two	Dwight	Deangelo	60	45	Intelligent	He preserves his self-respect and avoids a bad alliance with little collateral harm.
Dwight initially idolizes Michael as a Yes-Man to gain status	Dwight	Michael	65	40	Bandit	He gains influence and protection by flattering Michael, often enabling poor decisions.
Dwight studies and earns a black belt later in the series	Dwight	Himself	80	60	Intelligent	He improves his skills and discipline, which can positively influence work and self-image.
