Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
He seduces women with his bad boy persona in flashbacks	Sawyer	Various women	75	20	Bandit	He gains sex/validation via manipulation while offering little and likely emotional harm.
He becomes more selfless and considerate on the island, leading Kate and Juliet to fall for him	Sawyer	Kate and Juliet	80	80	Intelligent	His kinder behavior improves his own relationships and benefits the women emotionally.
He shoots and kills Tom “for taking the kid off the raft”	Sawyer	Tom	40	20	Bandit	He gains revenge/closure but executes a surrendering man, offering little benefit to others.
He obsessively hunts “Sawyer” and becomes a con man to survive, taking the name	Sawyer	Himself and his victims	30	15	Stupid	His revenge pursuit harms himself long-term and enables harming others, with no real resolution.
He initially refuses to acknowledge Clementine and avoids contact	Sawyer	Clementine	35	20	Stupid	He denies himself a relationship with his daughter and emotionally harms her by absence.
He sets money aside in a trust for Clementine despite avoiding her	Sawyer	Clementine	55	75	Helpless	He sacrifices resources for her benefit while getting little emotional payoff himself.
He asks Kate to look up Clementine and check on her when she can leave the island	Sawyer	Clementine	70	80	Intelligent	He seeks news/indirect connection, likely helping both his peace of mind and Clementine’s welfare.
He demands Kate leave after she pities him and reacts with anger	Sawyer	Kate	30	30	Stupid	His self‑protective anger pushes away someone who cares, helping no one.
He gets drunk in his old DHARMA home after Juliet’s death	Sawyer	Himself	20	50	Helpless	Drinking deepens his own suffering without affecting others much.
He abandons a con upon seeing the couple’s young son	Sawyer	Target couple	40	85	Helpless	He loses a profitable scam to spare a child trauma similar to his own.
He attempts to euthanize the suffering Mars	Sawyer	Mars	60	80	Intelligent	He risks guilt and conflict to try ending Mars’s agony for compassionate reasons.
He accidentally worsens Mars’s suffering via botched euthanasia	Sawyer	Mars	20	10	Stupid	He harms Mars more and is horrified himself, with no benefit to anyone.
He mistakenly kills Frank Duckett after being manipulated	Sawyer	Frank Duckett	10	5	Stupid	He kills an innocent man and is deeply haunted, helping neither himself nor others.
