Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Commenting impressedly on Donna’s strength as kids	Eric	Donna	70	65	Intelligent	He positively acknowledges her strength, boosting their early bond with no costs shown.
Leaping to defend friends/family from school bullies	Eric	Friends/family	65	75	Intelligent	He overcomes cowardice to protect loved ones from bullies, risking himself for their safety.
Leaping to defend friends/family from random drunks	Eric	Friends/family	60	70	Intelligent	He confronts dangerous drunks to defend others, taking on risk to shield them.
Leaping to defend friends/family from his dad	Eric	Friends/family	55	60	Intelligent	He stands up to Red when they’re mistreated, helping them and modestly empowering himself despite family tension.
Doing well in school when outside factors don’t interfere	Eric	Himself/parents	80	60	Intelligent	Academic success benefits his future and pleases his parents without harming anyone.
Threatening to put his foot up Leia’s ass	Eric	Leia	40	35	Bandit	He asserts parental authority using Red’s threat style, slightly empowering himself but stressing Leia and shocking others.
Pushing Leia toward space camp against her interests	Eric	Leia	30	20	Stupid	He imposes his hobby on her, frustrating her while gaining no real benefit and repeating parenting patterns he disliked.
Delaying relationship consummation with Donna despite desire	Eric	Donna	60	65	Intelligent	Both exercise caution about sex, preserving emotional comfort and mutual respect.
Calling Red by his first name behind his back	Eric	Red	55	40	Bandit	He gets private satisfaction and autonomy while mildly disrespecting his father without open benefit to Red.
Becoming lazier and more childish in later seasons	Eric	Himself/family	25	30	Stupid	His growing laziness undermines his prospects and burdens those around him with his irresponsibility.
Putting off college to work as a waiter after Red’s heart attack	Eric	Family	70	80	Intelligent	He sacrifices his own immediate college plans to support his family financially, earning Red’s respect.
Being a pushover in the no-kiss alternate future	Eric	Others	20	60	Helpless	He harms his own interests by never asserting himself while others easily get their way with him.
Pushing Donna away because he refuses to be a rebound	Eric	Donna	55	40	Bandit	He preserves his own pride and boundaries but withholds immediate comfort from her, confusing his parents.
Changing tune and mocking Hyde about Kelso “nailing” Angie	Eric	Hyde	65	20	Bandit	He enjoys making hurtful jokes at Hyde’s expense, gaining amusement while hurting his friend.
Responding “I love…cake” when Donna says she loves him	Eric	Donna	45	35	Stupid	He dodges the emotional risk, mildly protecting himself but mostly damaging Donna’s feelings and the moment.
Becoming increasingly lazy post–wedding cancellation and wasting a year	Eric	Himself/Red	25	35	Stupid	His year of goofing off wastes his time and aggravates Red without yielding real benefit.
Returning for the finale after being away	Eric	Friends/family	70	75	Intelligent	His return restores relationships and closure for everyone, positively reconnecting him with the group.
Sleeping nude and letting Red find out	Eric	Red	55	60	Intelligent	His harmless habit gives Red material to bond via teasing; no real harm to either.
Blaming Donna for catching him masturbating and for not wanting sex	Eric	Donna	35	25	Bandit	He shifts blame to ease his embarrassment while unfairly burdening Donna with guilt.
Genuinely helping people due to being a Nice Guy	Eric	Others	70	80	Intelligent	His consistent willingness to help benefits others and builds his own reputation and relationships.
Pushing Donna away as “second choice” after Casey breakup	Eric	Donna	55	45	Bandit	He safeguards his dignity but denies her immediate comfort; the stance is self-protective more than mutually helpful.
Failing to recognize he still loves Donna until others prompt him	Eric	Himself	40	55	Helpless	His obliviousness delays his own happiness, while others see the truth and eventually help him course-correct.
Going to his parents about Hyde’s abandonment and asking them to help	Eric	Hyde	80	90	Intelligent	He breaks the gang’s secrecy to secure real support for Hyde, greatly benefiting his friend and himself morally.
Calling out Red for choosing his Corvette over supporting Kitty	Eric	Red	65	80	Intelligent	He risks angering Red to defend Kitty’s emotional needs, prompting Red to prioritize family.
Trying to be a more involved father to Leia	Eric	Leia	65	70	Intelligent	His intent and many actions improve involvement and care, even if he misreads some of her interests.
Teaching a Star Wars “course” as a college professor	Eric	Students	85	70	Intelligent	He converts his fandom into a career, benefiting himself and entertaining/engaging students.
Running away instead of going through with the wedding	Eric	Donna	50	45	Bandit	He avoids a commitment he’s not ready for, sparing himself regret but initially hurting and angering Donna.
Eventually talking with Donna and mutually agreeing they aren’t ready for marriage	Eric	Donna	75	80	Intelligent	Honest discussion prevents a bad marriage and leads both to a clearer, healthier decision.
Becoming increasingly selfish, brash, and disrespectful toward Donna in later seasons	Eric	Donna	30	20	Stupid	His jerkish behavior damages the relationship and her well-being without bringing him lasting benefit.
Taking time off and then deciding to become a teacher after talking with Red	Eric	Himself/Red	80	75	Intelligent	He clarifies his goals and chooses a meaningful career, satisfying both his needs and Red’s expectations.
Always seeking Red’s approval	Eric	Red	55	60	Intelligent	His drive for approval motivates responsible acts, strengthening their relationship despite occasional anxiety.
