Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Marvin considers killing Butcher because he sees him as a dangerous loose cannon	Marvin	Butcher	30	40	Bandit	Protects himself/team from perceived threat but escalates internal danger and mistrust.
Butcher brutally kills Neuman and steals the Supe Virus	Butcher	Neuman / general populace	10	5	Stupid	Gains no clear benefit while unleashing a genocidal tool and destabilizing politics.
Butcher decides to get back into the game after Hughie reveals Neuman is a supe and admits Butcher was right	Butcher	Himself / the Boys / supes	65	35	Bandit	Rejoining furthers his vengeance goals but drags others back into lethal conflict.
Butcher pushes Ryan away out of fear he’ll drag the boy down with him	Butcher	Ryan	20	30	Stupid	He sacrifices his bond and Ryan’s stability but still fails to protect him long term.
Butcher goes sober after Becca’s death	Butcher	Himself / his team	70	70	Intelligent	Improves his own functioning and reliability for others.
Butcher launches a violent crusade against supes based on the mistaken belief Becca was murdered	Butcher	Supes / bystanders / himself	15	10	Stupid	Harms himself and many others on a false premise with no lasting gain.
Butcher devotes Season 2 to rescuing Becca	Butcher	Becca / himself	45	40	Helpless	Emotional focus for him and a chance for Becca, but ultimately costs time and leaves both worse off.
Butcher spends most of Season 3 trying to weaponize Soldier Boy against Homelander	Butcher	The Boys / Soldier Boy’s victims	25	15	Stupid	He risks his life and team for a plan that collapses and causes collateral deaths.
Butcher abandons using Soldier Boy when Ryan is endangered	Butcher	Ryan / Homelander	40	55	Helpless	Sacrifices his best shot at Homelander to spare Ryan, helping Ryan but losing his main goal.
Butcher overuses Temp V despite risks and shortens his life to 12–18 months	Butcher	Himself	5	35	Helpless	Gains temporary power at the cost of terminal illness while only marginally aiding others.
Butcher leads the team with an iron fist, prioritizing his goals and expecting obedience	Butcher	The Boys	40	25	Bandit	He advances his agenda at the cost of trust, morale, and team safety.
Butcher leaves the others to Vought’s mercy to go after Homelander in Season 1	Butcher	The Boys	30	10	Bandit	He increases his own chance at vengeance by abandoning his team to severe risk.
Butcher tries to sell Kimiko’s brother out in Season 2	Butcher	Kimiko’s brother / team trust	25	20	Bandit	He seeks leverage for his cause while betraying allies and endangering an exploited target.
Butcher tells Kimiko she is “exactly” a gun and demands total obedience	Butcher	Kimiko / Frenchie	35	20	Bandit	Reinforces his control at the cost of their autonomy and relationship.
Butcher leaves Joe Kessler for dead in the Panjshir Valley	Butcher	Kessler	20	10	Bandit	Saves himself/mission at the cost of a comrade’s life and later psychological damage.
Butcher cheats on Becca with a waitress	Butcher	Becca	35	30	Bandit	Momentary gratification undermines a central relationship and his own self-respect.
