Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Apu endures being held up at gunpoint and occasionally shot and continues working	Apu	Store robbers & customers	40	55	Helpless	He suffers serious personal risk and injury but keeps the store running and serving others.
Apu befriends / likes certain former robbers for their considerate robbery behavior	Apu	Former robbers	55	35	Bandit	He gains emotional comfort/rapport with dangerous people while normalizing harm to others in similar situations.
Apu says the town should hire more police officers after being shot 8 times	Apu	Town government / Springfield public	60	75	Intelligent	He seeks better protection for himself and improved safety for the community.
Apu continues to work despite having been shot 8 times that year	Apu	Himself / customers	35	60	Helpless	He risks health and well-being yet provides consistent service to customers.
Apu works a 96-hour shift without a single break	Apu	Customers / Kwik-E-Mart	20	65	Helpless	Extreme overwork harms his health and sanity while benefiting store operations and customer access.
Apu keeps working until he hallucinates being a hummingbird and tries to drink nectar from his brother's head	Apu	Apu’s brother	10	20	Stupid	His self-harm via sleep deprivation leads to bizarre behavior that also disturbs/risks another with no benefit.
Apu follows Kwik-E-Mart policy of selling bad/gone-off food with a scapegoat ready	Apu	Customers	70	10	Bandit	He profits by offloading spoiled goods while exposing customers to harm and dodging responsibility.
Apu is usually lax toward safety standards at his store	Apu	Customers	65	20	Bandit	He saves effort/cost at the expense of customer safety.
Apu draws the line and is shocked when he learns he has been selling dangerous Buzz Cola	Apu	Customers	55	70	Intelligent	Realizing the danger, his reaction shows concern that can reduce harm to others and moderate his own risk.
Apu sells most of his stake in the store to fuel his scratch-card gambling addiction	Apu	Sanjay	25	55	Helpless	He sacrifices long-term financial security for addiction while Sanjay gains a larger stake.
Apu initially comes to America to study for his Ph.D. and completes it successfully	Apu	Himself / academic community	90	80	Intelligent	Advanced education strongly benefits his prospects and contributes knowledge potential for others.
Apu chooses to work as a convenience store clerk because he genuinely loves the job	Apu	Store customers	80	70	Intelligent	Pursuing work he loves improves his own well-being and provides reliable service to the community.
Apu volunteers as a fireman	Apu	Springfield community	70	90	Intelligent	He invests time and risk to help protect others, gaining social value and some personal fulfillment.
Apu lives in the U.S. as an illegal immigrant at first	Apu	U.S. legal system	55	40	Bandit	He gains opportunities while breaking immigration law, imposing administrative and systemic costs.
Apu studies for and passes his citizenship exam, becoming a legal citizen	Apu	United States	85	85	Intelligent	Regularizing his status secures his future and enables fuller, lawful participation in society.
Apu’s accumulated bullets in his body cause a new bullet to ricochet when he saves James Woods	Apu	James Woods	30	85	Helpless	He incurs serious bodily harm history yet incidentally protects Woods, with little direct benefit to himself.
Apu curries Homer’s favour to stop him going to a cheaper store next door	Apu	Homer	75	30	Bandit	He manipulates Homer to retain profit while Homer overpays relative to alternatives.
Apu takes time to make amends after being fired from the Kwik-E-Mart and learns to be a better person	Apu	Those he wronged	80	80	Intelligent	Personal growth and repairing relationships help both his own life and others he impacted.
Apu and Manjula undergo IVF when they cannot conceive	Apu & Manjula	Their future children	70	70	Intelligent	They invest resources and effort to achieve a desired family, enriching their lives and creating new ones.
Apu, Homer, Marge, and Bart each secretly slip Manjula fertility drugs	Apu, Homer, Marge, Bart	Manjula	20	10	Stupid	They endanger Manjula’s health and cause extreme multiple pregnancy with no proportional benefit.
Apu maintains extreme devotion to his work as a workaholic	Apu	Customers / family	40	55	Helpless	His overwork undermines his own well-being and relationships while providing extra availability and service to others.
