Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Murders a child and taunts the child's father	Unspecified anti-villain	Child and child’s father	60	5	Bandit	Gains strategic advantage and psychological edge while inflicting severe harm on the victim and parent.
Reminisces tearfully about late husband’s death	Olenna	Olenna	30	55	Helpless	Emotional pain to herself while showing genuine affection that harms no one and slightly humanizes her to others.
Seduces Luthor away from her sister to marry him	Olenna	Sister and Luthor	80	25	Bandit	Secures a politically and personally advantageous marriage at the cost of her sister’s prospects.
Is upset when her son and grandchildren are killed by wildfire	Olenna	Olenna	10	50	Helpless	Experiences catastrophic loss and despair without benefit to herself or others.
Threatens Littlefinger with total destruction if she “meets with an accident”	Olenna	Littlefinger	70	40	Bandit	Secures deterrence and protection by credibly threatening him, with implied future harm to him.
Administrates Reach lands successfully, enriching Tyrells	Olenna	Citizens of the Reach	85	90	Intelligent	Builds wealth and stability for her house while feeding and enriching the wider kingdom.
Motivates handmaidens with necklace reward	Olenna	Handmaidens	70	80	Intelligent	Gets better service while the servants are tangibly rewarded and motivated.
Encourages Sansa to speak honestly about Joffrey	Olenna	Sansa	65	80	Intelligent	Gains valuable intel while empowering Sansa to tell needed truth about a danger.
Warns family not to back Renly	Olenna	House Tyrell	60	70	Intelligent	Attempts to steer her house away from a bad claimant and future trouble.
Willingly ingests Jaime’s poison to die quickly	Olenna	Olenna	40	55	Helpless	Accepts painless death, ending her agency, while slightly easing others’ burdens versus a spectacle execution.
Mentally plans to protect Margaery after hearing Joffrey is “a monster”	Olenna	Margaery	75	80	Intelligent	Identifies a lethal threat and begins plotting to protect her granddaughter and her house.
Poisons Joffrey at his wedding	Olenna	Joffrey	70	20	Bandit	Removes a sadistic king and saves Margaery/Loras but destabilizes politics and frames innocents.
Conspires with Littlefinger and (unknowingly) Sansa to kill Joffrey	Olenna	Joffrey and framed parties	75	15	Bandit	Strengthens Tyrell position and saves kin while causing grave harm to Tyrion and Sansa via framing.
Frames Tyrion and Sansa for Joffrey’s murder	Olenna	Tyrion and Sansa	75	10	Bandit	Diverts suspicion from herself/house at extreme unjust cost to two relatively innocent people.
Mocks Joffrey’s cruel War of Five Kings “reenactment”	Olenna	Joffrey	60	40	Bandit	Signals disapproval and protects Loras’ dignity slightly, at some risk of angering the king.
Taunts Cersei about murdering a man at his wedding just before murdering Joffrey	Olenna	Lannisters	65	25	Bandit	Enjoys audacity and misdirection while setting up an assassination that harms their regime.
Warns Cersei that her stupidity has empowered the High Sparrow and endangered both houses	Olenna	Cersei	60	70	Intelligent	Attempts to correct a dangerous ally to preserve both their interests and broader stability.
Descends to King’s Landing to protect imprisoned grandchildren despite age	Olenna	Herself	45	70	Helpless	Puts herself at political and physical risk to support and try to save her grandchildren.
