Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Dosing Teddy with Compound V (or taking it while pregnant)	Madelyn Stillwell	Teddy	30	10	Bandit	Gives her son powers (status/security benefit to her) while risking severe harm to him and others.
Grooming and possibly molesting young Homelander	Madelyn Stillwell	Homelander	20	0	Bandit	Exploits his need for affection to secure control/loyalty while traumatizing him.
Having a sexual relationship with adult Homelander to manipulate him	Madelyn Stillwell	Homelander	25	5	Bandit	Uses sex to manage a dangerous asset, gaining power while further destabilizing him and harming others indirectly.
Enabling Homelander to do whatever he wants despite horror at his actions	Madelyn Stillwell	General public / Homelander’s victims	20	5	Bandit	Maintains her position and influence while allowing mass harm and deaths.
Giving terrorists Compound V (authorizing/allowing the plan)	Madelyn Stillwell	Terrorists / future victims	10	0	Bandit	Advances her goal of supes in the military at cost of massive global insecurity and deaths.
Allowing Kimiko and Kenji’s parents to be murdered and them injected	Madelyn Stillwell	Kimiko & Kenji / their parents	10	0	Bandit	Gains from more weaponizable supes while permitting a family’s murder and exploitation.
Killing Madelyn in cold blood	Homelander	Madelyn Stillwell	70	10	Bandit	Removes a manipulative handler who lies to him, but also kills a human who posed little threat and deprives others of justice.
Preventing Madelyn’s prosecution by killing her	Homelander	Victims seeking justice	60	5	Bandit	Avoids exposure/constraints on himself while blocking legal accountability for her crimes.
Lying to Homelander about Becca and his son’s supposed death in childbirth	Madelyn Stillwell	Homelander	35	15	Bandit	Tries to keep him emotionally controllable and loyal, but destabilizes him when lie is exposed.
Pinning Compound V scandal on Madelyn after her death	Vought executives / PR team	Madelyn’s memory / public	60	25	Bandit	Protects living leadership and brand at cost of truth and systemic accountability.
Continuing ruthless behavior despite having a new baby	Madelyn Stillwell	People affected by Vought decisions	30	10	Bandit	Retains power and status while perpetuating large-scale harm, even with a child to consider.
Begging Homelander to take Teddy somewhere safe when she’s tied to explosives	Madelyn Stillwell	Teddy	40	80	Helpless	Acts to protect her child at risk of angering Homelander without real benefit to herself.
Injecting terrorists with Compound V	Homelander	Terrorists / their victims	40	5	Bandit	Strengthens his strategic narrative and leverage but greatly increases global terrorism risk.
Using consequences of Homelander’s crimes to push supes into the military	Madelyn Stillwell	General public	20	10	Bandit	Advances her career goal while leveraging atrocities to justify dangerous militarization.
Forcing Starlight to wear a suggestive costume against her clearly stated discomfort	Madelyn Stillwell	Starlight	35	10	Bandit	Gains marketing/brand value while harming Starlight’s autonomy and well‑being.
Exploiting Homelander’s mother-figure needs while groping him	Madelyn Stillwell	Homelander	20	0	Bandit	Secures emotional leverage and control while inflicting psychological and sexual harm.
Presenting herself as kind and ideal to the public while being greedy and manipulative	Madelyn Stillwell	Public	40	20	Bandit	Protects and enhances her image and power through deception, undermining informed consent of the public.
Raising Homelander to be her lover since he was a kid (wife husbandry)	Madelyn Stillwell	Homelander	15	0	Bandit	Long-term grooming secures a uniquely powerful, dependent partner while deeply damaging him.
Acting as a parental substitute to Homelander in order to control him	Madelyn Stillwell	Homelander	25	10	Bandit	Gains influence over the most dangerous supe by exploiting his attachment needs, with harmful dependence as a side effect.
Continuing to lie to Homelander about his child, assuming she can control him	Madelyn Stillwell	Homelander	10	5	Stupid	Her continued deceit provokes his lethal rage, destroying her benefit and further harming others.
Killing Madelyn with eye-lasers to the face	Homelander	Madelyn Stillwell	65	10	Bandit	Eliminates a manipulative figure and silences a liar while denying others justice and terrifying everyone around him.
Crediting the Compound V leak to a team under Stillwell	Vought leadership	Stillwell’s team / truth	55	20	Bandit	Shifts blame away from current power holders at cost of scapegoating and obscuring real responsibility.
