Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Is shocked and disturbed when called to Omar’s murder scene	Bunk	Omar / colleagues	40	40	Helpless	Emotional distress for himself and no clear benefit to anyone.
Works cases in a coolheaded, restrained way compared to McNulty	Bunk	Police department / public	80	80	Intelligent	His calm approach benefits his career and leads to effective policing.
Stays within guidelines and avoids stepping on superiors’ toes	Bunk	Supervisors / colleagues	75	70	Intelligent	Career-safe behavior that keeps relationships smooth and supports institutional functioning.
Consistently gets results on cases with his practical style	Bunk	Victims / department / public	85	90	Intelligent	Solves cases, boosting his own standing and delivering justice for others.
Avoids messes caused by McNulty by not “playing cowboy”	Bunk	Police department / public	80	75	Intelligent	Protects himself from fallout and reduces institutional chaos created by McNulty.
Overdrinks to the point of vomiting in front of Daniels	Bunk	Bunk	20	45	Helpless	His drinking harms his dignity/career prospects without helping anyone else.
Cheats repeatedly on his wife	Bunk	Spouse	65	15	Bandit	He gains pleasure at substantial relational harm to his partner.
Maintains disciplined, professional focus on real murders	Bunk	Victims / justice system	80	85	Intelligent	Sticking to real cases helps his reputation and serves justice.
Delivers withering snark at McNulty after Jimmy’s screwups	Bunk	McNulty	60	55	Intelligent	His snark vents frustration and may correct Jimmy with limited collateral harm.
Gives intense “death glare” rebukes to McNulty in Season 5	Bunk	McNulty	55	60	Intelligent	Nonverbal rebukes strain friendship slightly but help rein in Jimmy’s excesses.
Dresses down into casual clothes to signal MCU isn’t his habitat	Bunk	MCU detectives	60	55	Intelligent	Makes a pointed statement about fit/identity with only mild friction and some clarity for others.
Identifies the designer of Spiros’ blazer from its buttons	Bunk	Investigators	65	60	Intelligent	Shows observational skill and status awareness useful to investigations.
Jokes with Lester using exaggerated gay bravado	Bunk	Lester	65	70	Intelligent	Strengthens camaraderie and causes no clear harm.
Joins Major Crimes in investigating the dead girls at the docks	Bunk	Victims / MCU / public	85	90	Intelligent	Contributing to a major case benefits his standing and advances justice.
Joins the raid on the brothel with Major Crimes	Bunk	Victims / MCU / public	80	85	Intelligent	Operational help furthers the case and victim rescue while boosting his value.
Participates in surveillance on Vondas with Major Crimes	Bunk	MCU / public	80	85	Intelligent	Surveillance advances the investigation and enhances his investigative role.
Remains loyal to McNulty despite Jimmy alienating others	Bunk	McNulty	70	65	Intelligent	Loyalty preserves a deep friendship and gives McNulty essential support.
Uses McNulty’s phrase about “giving a fuck when ain’t your turn”	Bunk	Colleagues	60	55	Intelligent	Sharing the maxim helps frame boundaries and expectations for others.
Keeps the serial killer hoax secret after learning the truth	Bunk	Public / police command	50	10	Bandit	He protects himself/partner and the case while allowing a harmful lie to persist.
Puts on an oversized life preserver early and is very nervous at sea	Bunk	Bunk	55	65	Intelligent	Overcautious behavior reduces his fear and increases his safety without harming others.
