Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Lisa sabotages Allison's diorama out of jealousy ("Lisa's Rival").	Lisa	Allison	30	10	Bandit	Lisa slightly protects her academic status at significant unfair cost to Allison.
Lisa orchestrates Willie ambushing Bart when he outshines her as news anchor ("Girly Edition").	Lisa	Bart	25	10	Bandit	She tries to regain status by engineering Bart’s humiliation, with little real gain to herself.
Lisa shames everyone for maintaining Bart’s fake kidnapping lie though it benefits all ("Pranksta Rap").	Lisa	Town (Bart, Homer, Wiggum, Kirk, etc.)	60	20	Helpless	She cleanses her conscience but harms many others who were materially benefiting from the harmless lie.
Lisa confesses to cheating on her literacy test despite Skinner asking her to keep quiet for the school's sake ("Lisa Gets an A").	Lisa	Springfield Elementary	55	25	Helpless	She restores her own integrity while causing the loss of vital school funding that would help all students.
Lisa runs away from home after Maggie is revealed to be smarter than her ("Smart & Smarter").	Lisa	Lisa’s family	20	40	Helpless	Her flight hurts herself emotionally and destabilizes the family while giving Maggie space to thrive.
Lisa quits the elite upper-class school when she learns Marge is doing their laundry as payment.	Lisa	Elite school staff	80	70	Intelligent	She preserves her dignity and fairness while rejecting an exploitative arrangement that demeans Marge.
Lisa ruins Homer’s barbecue by destroying the roast pig to protest meat-eating ("Lisa the Vegetarian").	Lisa	Simpson family & guests	40	10	Helpless	She gains moral self-satisfaction but ruins others’ event and provokes backlash against vegetarianism.
Lisa and Bart destroy a logging camp to "save the trees" ("The Simpsons Game").	Lisa	Loggers	30	5	Stupid	She gains no sustainable win for the environment and directly wipes out the loggers’ livelihoods.
Lisa pressures Bart not to confess about Martin’s presumed death and offers herself to Nelson to keep the secret ("Dial 'N' for Nerder").	Lisa	Bart and Nelson	25	15	Bandit	She tries to protect herself and Bart from consequences by manipulating Nelson, at clear cost to him and to justice.
Lisa helps Nelson become physically fit but does nothing to curb him beating up nerds ("The Spy Who Learned Me").	Lisa	Nelson’s victims	60	20	Bandit	She benefits from an attractive, grateful Nelson while enabling his continued bullying of weaker kids.
Lisa repeatedly tries to shut down the nuclear plant despite it being Homer’s job source.	Lisa	Homer (and indirectly family)	40	30	Helpless	She pursues ethical goals about safety/environment but endangers her own household’s financial security.
Lisa abandons the Simpson surname after discovering Homer bet against her in the crossword contest.	Lisa	Homer	40	30	Helpless	She asserts boundaries and self-respect but inflicts emotional harm and family rift without resolving the core issue.
Lisa buys "virtuous" Christmas gifts aligned with her values instead of what her family would enjoy.	Lisa	Simpson family	55	35	Helpless	She feels morally superior but fails to please anyone, undermining the purpose of gifting.
Lisa later corrects her Christmas-gift mistake after Bart calls out her motives.	Lisa	Simpson family	75	80	Intelligent	She restores family goodwill while learning to consider others’ preferences.
Lisa attempts to convert Todd to Buddhism after praising his loss of faith in church.	Lisa	Todd Flanders	45	30	Bandit	She pushes her ideology to feel validated, disregarding Todd’s autonomy and current confusion.
Lisa cheats on her test by playing a video game instead of studying ("Lisa Gets an A").	Lisa	School / future self	20	20	Stupid	She sacrifices real learning for a short-lived grade boost that later backfires and causes guilt.
Lisa runs up massive charges calling the Corey hotline.	Lisa	Homer & Marge’s finances	10	20	Stupid	She gets fleeting entertainment but leaves her family with a large, pointless bill and stress.
Lisa downloads $1,200 of music on her MyPod.	Lisa	Simpson family budget	15	20	Stupid	Her impulsive overconsumption gives minor enjoyment while saddling the family with a huge unnecessary expense.
Lisa decides to stay "a big fish in a small pond" after failing to cope with harder third-grade work ("Bart vs. Lisa vs. The Third Grade").	Lisa	Lisa’s own future	35	60	Helpless	She protects her self-esteem and classroom comfort but limits her own growth and long-term potential.
Lisa refuses to tell her parents about Bart’s plan to destroy the school in "Postcards From the Wedge".	Lisa	Springfield Elementary students and staff	35	10	Bandit	By standing aside she protects her relationship neutrality but allows major harm to school property and community.
Lisa angrily tells Homer he is a "barbecue-wrecking, know-nothing, know-it-all" during an argument ("Lisa the Vegetarian" dinner scene).	Homer	Lisa	45	40	Helpless	The insult lets her vent but only escalates conflict and undermines mutual understanding.
Lisa trades away her trademark pearls to complete a collectible pin set.	Lisa	Herself (future identity)	30	50	Helpless	She satisfies a short-term collector urge at the cost of something central to her self-image and ongoing joy.
Lisa covers up Martin’s presumed "murder" with Bart to avoid them getting in trouble ("Dial 'N' for Nerder").	Lisa	Martin’s community & justice system	30	10	Bandit	She shields herself and Bart from consequences while corrupting the truth and leaving Martin apparently unavenged.
Lisa tells on Bart to Homer about his daredevil stunts with Lance Murdock ("Bart the Daredevil").	Lisa	Bart	75	70	Intelligent	She risks Bart’s anger but increases the chance his parents prevent serious injury or death.
Lisa squeals on Bart’s prank on Steve Mobbs and the MyPod customers ("Mypods and Boomsticks").	Lisa	Bart	55	65	Intelligent	She protects Bart from more severe repercussions and upholds fairness toward those he pranked.
Lisa helps Homer clear Krusty’s name in "Krusty Gets Busted".	Lisa	Krusty the Clown	85	80	Intelligent	She aids justice and showcases her abilities, winning both moral and reputational gains.
Lisa quits the military school when she realizes the challenge is beyond what she truly wants.	Lisa	Military school staff	55	60	Intelligent	She acknowledges her limits and avoids long-term misery while freeing a slot for a better-suited cadet.
Lisa runs away because she feels Maggie’s higher IQ means the family doesn’t need her ("Smart & Smarter").	Lisa	Lisa’s family	20	35	Helpless	Her self-pity harms her wellbeing and upsets the family without solving her insecurity.
