Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Acts like an alpha bitch toward other women in the secretarial pool	Joan	Other women in secretarial pool	60	20	Bandit	She asserts dominance and gains status while making their work lives harder.
Finds out her husband voluntarily re-upped for Vietnam and reacts with unhappiness	Joan	Husband	30	40	Helpless	Her reaction indicates emotional cost to herself with limited, mostly negative effect on him.
Quits McCann after being repeatedly sexually harassed	Joan	McCann	80	70	Intelligent	She protects herself and sets a boundary, indirectly pushing back against a toxic environment.
Is repeatedly sexually harassed	McCann men	Joan	60	5	Bandit	They indulge themselves at her expense, harming her with trivial personal benefit.
Is gradually knocked down a peg in first three years (personal and professional setbacks)	Life circumstances	Joan	10	40	Helpless	The “break the haughty” arc harms her but leads to some growth and perspective for others’ benefit.
Tells her she should be in the “bra business” because she’s a “work of art”	Random man	Joan	55	10	Bandit	He gets to objectify and amuse himself while reducing her to her body.
Explicitly treats work as temporary until she finds a husband	Joan	Herself	40	55	Helpless	Her plan limits her own career yet fits period norms and slightly opens jobs to other women.
Is given a promotion with no acknowledged power or prestige	SCDP partners	Joan	30	35	Helpless	She gains a title but no real authority; the partners avoid sharing power but don’t clearly benefit.
Leaves SCDP after marrying Greg and is expected to be a housewife	Joan	Herself	25	55	Helpless	She sacrifices a valued career for marriage and social expectations, modestly pleasing family/society.
Strikes a deal with Pete for a non-silent partnership with 5% stake	Joan	Pete/SCDP	90	80	Intelligent	She gains real power and wealth while aligning with the firm’s interests.
Turns down chance to be Bob Benson’s trophy wife for a chance at real love	Joan	Bob Benson	75	65	Intelligent	She preserves her autonomy and long-term happiness while sparing Bob a hollow marriage.
Refuses to leave her career for older man and loses the relationship	Joan	Older boyfriend	70	40	Helpless	She sacrifices a comfortable relationship to keep her work, benefitting herself long-term but hurting him.
Starts her own production company	Joan	Clients/industry	95	85	Intelligent	She gains independence and financial upside while creating jobs and services.
Is placed in charge of managing SCDP’s finances	SCDP partners	Joan	80	75	Intelligent	She gains responsibility and influence while stabilizing the company.
Decides she will not put up with office shenanigans	Joan	Co‑workers	75	70	Intelligent	She protects her time and reputation while improving discipline around her.
Terrifies people as someone “you do not want to get on the bad side of”	Joan	Co‑workers	70	45	Bandit	Her fearsome reputation helps her enforce control but makes others anxious.
Men ogle her and comment on her curves	Various men	Joan	60	10	Bandit	They indulge themselves in objectification while undermining her comfort and authority.
Rarely appreciates sexual attention directed at her	Joan	Herself	45	40	Helpless	She endures attention that slightly boosts her leverage but mostly makes her unhappy.
Roger’s joke “equal opportunity” ad inspires her to return to work	Roger	Joan	70	75	Intelligent	His stunt inadvertently prompts her to reclaim a valued role that also benefits the firm.
Walks back into SCDP and proves her competence to save her job	Joan	SCDP	90	85	Intelligent	She secures her position while materially helping the struggling agency.
Leaves Sterling Cooper to be a housewife to Greg	Joan	Herself	30	55	Helpless	She gives up a strong role for a fantasy marriage that proves unsustainable.
Works at a department store when Greg can’t support her	Joan	Department store	60	70	Intelligent	She stabilizes her finances and provides needed labor.
Starts a production company with her mother on a family‑friendly schedule	Joan	Her mother/son	90	85	Intelligent	She designs a work model that benefits her, her mother, and gives her son more time with her.
Is raised by her mother to be admired and “wifely”	Mother	Joan	35	50	Helpless	Her upbringing narrows Joan’s options while fitting societal ideals.
Maintains separation from Greg after dumping him, for her son’s sake	Joan	Greg/son	65	75	Intelligent	She protects her child emotionally while preserving boundaries from an abusive partner.
Throws a loud tantrum in reception after being served divorce papers	Joan	Office onlookers	20	30	Helpless	She vents her pain publicly, hurting her dignity and making others uncomfortable without gain.
Chooses to have at least two abortions in the past	Joan	Herself	50	60	Intelligent	Within the narrative, abortions seem to protect her long‑term prospects and autonomy.
Considers aborting Roger’s child in season 4	Joan	Roger/potential child	45	55	Helpless	She wrestles with a choice that could reduce her burden but also remove a potential source of meaning.
Plays accordion and quietly runs much of the office	Joan	Office	80	90	Intelligent	Her hidden skills give her informal power while keeping the agency functional.
Secretly keeps and manages sensitive information for Roger	Joan	Roger	75	65	Intelligent	She gains trust and leverage while protecting him and the firm.
Serves as hyper‑competent sidekick holding the agency together	Joan	Agency	85	90	Intelligent	Her competence advances her status while preserving the company.
Chastises Jane for using sex appeal while doing the same herself	Joan	Jane	55	35	Bandit	She deflects competition and polices Jane’s behavior, helping herself yet limiting Jane.
Jane marries Roger and returns to gloat	Jane	Joan	65	25	Bandit	Jane gains status and satisfaction while upsetting Joan.
Knows when to accept half of what she’s owed from McCann and walk away	Joan	Herself	85	55	Intelligent	She avoids a ruinous legal fight and takes a partial but significant payout.
Consoles and advises people like Lane and Peggy	Joan	Lane/Peggy	70	85	Intelligent	She gains goodwill while giving them meaningful emotional and practical support.
Acts as a zero‑nonsense, commanding boss	Joan	Subordinates	80	75	Intelligent	Her strict style boosts her authority and improves team performance.
Develops friendship with Pete despite his earlier betrayal	Joan	Pete	65	55	Intelligent	She pragmatically maintains a useful alliance that benefits both.
Helps kickstart Sterling Cooper Draper Pryce when she returns	Joan	SCDP partners	90	90	Intelligent	She invests effort that elevates her role and is vital to the firm’s founding.
Is raped on Don’s office floor by Greg	Greg	Joan	70	0	Bandit	He exerts violent control for his gratification at devastating cost to her.
Stands up to Greg and kicks him out in season 5	Joan	Greg	95	80	Intelligent	She frees herself from an abusive marriage and protects her son.
Accepts prostitution proposition with Herb to secure Jaguar for SCDP	Joan	Herself	30	80	Helpless	She severely harms her dignity and self‑respect to give the firm a crucial account and gain a partnership.
Partners (except Don) approve Joan prostituting herself for Jaguar	SCDP partners (excl. Don)	Joan	85	5	Bandit	They gain a huge client and increase firm value while sacrificing her well‑being.
Is the target of slut‑shaming due to her sexuality and style	Office culture	Joan	60	15	Bandit	Others maintain a hierarchy and moral comfort by demeaning her, with little direct gain.
Refuses Bob Benson’s proposal despite being near 40 with a young son	Joan	Bob Benson	75	55	Intelligent	She avoids a loveless marriage and insists on real affection, sparing both a bad match.
Contemplates leaving her child to gallivant with boyfriend	Joan	Kevin	35	30	Stupid	Her impulse imagines abandoning her child for pleasure, harming both without clear benefit.
Yells “You’re ruining my life!” at her babysitter (and indirectly Kevin)	Joan	Babysitter/Kevin	25	15	Stupid	She vents frustration in a way that hurts relationships without helping her situation.
Cries outside her son’s door after his “I love you”	Joan	Herself	45	55	Helpless	Her breakdown costs her emotionally but deepens her recognition of their bond.
Quits McCann in “Lost Horizon” saying “Screw this, I’m outta here”	Joan	McCann	85	75	Intelligent	She exits a toxic environment, preserving her health and dignity while signaling resistance.
Makes fun of her superiors with snark	Joan	Superiors	65	45	Bandit	She gains emotional release and subtle power but risks undermining them.
