Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Ned overprotects and shelters Rod and Todd	Ned Flanders	Rod and Todd Flanders	40	20	Stupid	He gains a sense of control but stunts his sons’ social development and emotional health.
Rod and Todd plan to lose their virginities to each other due to their vow of abstinence	Rod and Todd Flanders	Rod and Todd Flanders	5	5	Stupid	Their plan reflects deep confusion and would seriously harm themselves without benefiting anyone.
Marge gives Rod and Todd more freedom than Ned does	Marge Simpson	Rod and Todd Flanders	70	80	Intelligent	She gains warm feelings and gratitude while improving the boys’ happiness and autonomy.
Ned disowns Todd for having a crisis of faith	Ned Flanders	Todd Flanders	10	5	Stupid	He damages his relationship with his son and Todd’s well‑being while gaining only self-righteousness and later regret.
Ned prays for God to punish Todd for lack of faith	Ned Flanders	Todd Flanders	15	5	Stupid	He seeks supernatural harm on his child, feeding his own zeal while worsening Todd’s emotional situation.
Ned sends Todd to live with the Simpsons so they’ll make him afraid of God	Ned Flanders	Todd Flanders / The Simpsons	20	10	Stupid	He hopes to regain Todd’s faith through fear, but primarily harms Todd and strains family bonds without real benefit.
Ned spends time with Bart in the movie as a better parent figure than Homer	Ned Flanders	Bart Simpson	65	80	Intelligent	He gets emotional fulfillment from mentoring Bart while giving Bart support Homer fails to provide.
Ned knocks out Homer with one punch when relentlessly teased (first time)	Ned Flanders	Homer Simpson	40	20	Stupid	He gains brief catharsis but risks social and moral fallout while physically harming Homer.
Ned knocks out Homer with one punch when relentlessly teased (second time)	Ned Flanders	Homer Simpson	45	25	Bandit	By then he stands up for himself, gaining respect/relief at Homer’s expense.
T-shirt cannons are fired and kill Maude	Stadium staff / T‑shirt cannon operators	Maude Flanders	10	0	Stupid	They aim to entertain/promote but accidentally cause a needless death with no real gain.
Ned wears a black armband and mourns Edna’s death	Ned Flanders	Ned Flanders / memory of Edna	30	60	Helpless	He suffers emotionally while honoring her and modeling healthy grief for others.
Ned unknowingly treats Homer’s blatant Jerkass comments as well-intentioned advice in “When Flanders Failed”	Ned Flanders	Homer Simpson	30	60	Helpless	His oblivious optimism exposes him to mockery but encourages Homer’s eventual better behavior.
Ned reports Homer to the police for having sex with Marge in the treehouse	Ned Flanders	Homer and Marge Simpson	30	10	Stupid	He validates his own prudish standards while involving law enforcement over a harmless private act.
Ned drinks at Moe’s to drown his sorrows over Todd’s loss of faith	Ned Flanders	Ned Flanders	20	10	Stupid	He harms his own health and coping capacity while inconveniencing others at the bar.
Ned repeatedly calls Reverend Lovejoy about trivial sins	Ned Flanders	Reverend Lovejoy	40	20	Stupid	He soothes his anxieties but overburdens Lovejoy and strains the pastor’s patience.
Ned lets Homer “borrow” his new TV tray indefinitely	Ned Flanders	Homer Simpson	30	70	Helpless	He loses property and enables exploitation while Homer benefits from free use of the tray.
Ned has a mid-life crisis realizing he wasted his life doing nothing thrilling	Ned Flanders	Ned Flanders	25	55	Helpless	He suffers acute regret yet gains insight that may push him to change.
Homer helps Ned out of serious financial trouble in “When Flanders Failed”	Homer Simpson	Ned Flanders	65	80	Intelligent	Homer feels better about himself and preserves Ned’s business and livelihood.
Ned sinks all his life savings into the Leftorium, a niche store, trusting God instead of planning	Ned Flanders	Ned Flanders / Flanders family finances	20	40	Helpless	He risks and nearly loses his savings but eventually provides a useful service to left-handers.
Ned fails to promote the Leftorium	Ned Flanders	Left-handed residents / his own business	25	45	Helpless	His passivity endangers his finances and delays benefits to potential customers.
Ned doesn’t buy homeowners insurance before “Hurricane Neddy”	Ned Flanders	Flanders family	10	20	Helpless	He suffers massive loss with minimal protection for his family, providing at best a later lesson to others.
Ned snaps in “Hurricane Neddy” and verbally attacks his neighbors	Ned Flanders	Springfield townspeople	35	30	Stupid	He vents pent-up rage but damages relationships and shocks the community.
Ned joins Marge as a confidant when she feels neglected	Ned Flanders	Marge Simpson	65	80	Intelligent	He gains closeness and moral satisfaction while giving Marge emotional support.
Homer confides in Ned about trying to be better	Homer Simpson	Ned Flanders	70	75	Intelligent	Homer gains guidance and relief while Ned feels valued and can encourage positive change.
The townspeople rebuild the Flanders house after the hurricane	Springfield townspeople	Flanders family	60	80	Intelligent	They gain community pride and gratitude while materially helping Ned’s family recover.
College girls rent Ned’s room and secretly film a “sexy slumber party” webcam show	College girls	Ned Flanders	75	5	Bandit	They profit and have fun at his expense, humiliating him and violating his trust.
Homer leaks the “sexy slumber party” video to everyone in town	Homer Simpson	Ned Flanders	70	5	Bandit	He gains amusement and social capital while causing Ned intense public humiliation.
The townspeople cheer the college girls and mock Ned when he evicts them	Springfield townspeople	Ned Flanders	70	5	Bandit	They enjoy entertainment and shared derision while compounding Ned’s hurt and isolation.
Ned evicts the college girls after discovering the webcam video	Ned Flanders	College girls	55	30	Bandit	He protects his home and dignity while abruptly disrupting their housing and project.
Ned takes charge of Springfield’s surveillance system in “To Surveil with Love”	Ned Flanders	Springfield residents	55	15	Bandit	He feels empowered and morally superior while invading privacy and breeding resentment.
Ned’s surveillance prompts Bart and Homer to create the “chaos corner”	Ned Flanders	Springfield residents / public order	30	25	Stupid	His meddling backfires, worsening disorder without delivering real moral improvement.
