Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Nicky tells Red she has already decided to quit heroin cold turkey and is past the worst of it	Nicky	Red	30	20	Bandit	She lies to get Red off her back, gaining freedom to keep using while undermining Red’s attempt to help.
Nicky decides to “keep busy” with crosswords to keep her mind off drugs (as stated to Red)	Nicky	Nicky	40	40	Bandit	As presented to Red it’s a self-serving rationalization used to deflect concern, with no real follow‑through shown.
Nicky briskly walks to her dealers for more heroin	Nicky	Nicky’s dealers / people who care about her	15	10	Bandit	She furthers her addiction (short‑term gratification, long‑term self‑harm) and betrays supporters trying to help her recover.
Red offers to help Nicky detox again	Red	Nicky	60	80	Intelligent	She invests time and care to support Nicky’s recovery, benefiting Nicky and giving Red the satisfaction of helping.
Nicky enters a competition with Big Boo to have sex with the most women	Nicky	Her sexual partners	55	40	Bandit	She chases ego/pleasure for herself while treating partners as tallies, with dubious benefit to them.
Big Boo enters a competition with Nicky to have sex with the most women	Big Boo	Her sexual partners	55	40	Bandit	Similarly pursues bragging rights and pleasure, objectifying partners more than benefiting them.
Nicky serves as a minder to Lorna during Lorna’s delusional/unstable moments	Nicky	Lorna	65	80	Intelligent	She expends effort to keep Lorna safe and stable, which also strengthens their bond and Nicky’s sense of purpose.
Nicky trolls Piper and Alex to gain information about their past	Nicky	Piper and Alex	65	35	Bandit	She amuses herself and extracts info while needling them, causing mild social discomfort.
Nicky engages in a friends‑with‑benefits relationship with Morello	Nicky	Morello	70	60	Intelligent	Both get mutual sexual and emotional satisfaction with no stated major harm.
Morello later cuts off the friends‑with‑benefits arrangement with Nicky	Morello	Nicky	60	40	Bandit	She protects her own boundaries/relationship at the cost of Nicky’s feelings and access to intimacy.
Nicky has a brief fling with Brook Soso	Nicky	Brook Soso	65	60	Intelligent	They both gain companionship/pleasure, with no evident downside described.
While in Max, Nicky forms a brief relationship with Stella Carlin	Nicky	Stella Carlin	60	45	Bandit	Nicky gains connection but entangles with someone actively using, bringing limited benefit and some risk to both.
Nicky ends her relationship with Stella because of Stella’s ongoing drug habit	Nicky	Stella Carlin	70	40	Bandit	She protects her own recovery at the cost of rejecting Stella, who loses a source of support.
Nicky acts as a hopeless suitor to Lorna	Nicky	Nicky	40	45	Helpless	Her ongoing pursuit keeps her emotionally invested with little romantic payoff, though it gives Lorna attention.
Nicky helps Lorna reconcile with her husband for Lorna’s happiness	Nicky	Lorna	55	85	Intelligent	She sacrifices her own romantic hopes to secure Lorna’s marital happiness.
Nicky, when hooked on heroin, lies, uses, and abandons people to get her fix	Nicky	People around her	25	10	Bandit	She gains short‑term drugs while repeatedly damaging relationships and trust.
Nicky lets a friend get arrested for their collective delinquent behavior	Nicky	Her friend	20	5	Bandit	She avoids immediate legal trouble by allowing her friend to take the blame, gravely harming the friend.
Nicky asks her mother for money under the pretense of bailing out the arrested friend	Nicky	Her mother	30	15	Bandit	She secures funds via deception, exploiting her mother and their already‑strained relationship.
Nicky spends the bail money on heroin instead of using it to bail out her friend	Nicky	Her friend	15	0	Bandit	She maximizes short‑term drug gain at the total expense of her friend’s freedom and trust.
Nicky tells her friend on the phone she couldn’t get the bail money while smoking the heroin bought with it	Nicky	Her friend	20	0	Bandit	She preserves her lie and the drugs, inflicting maximum betrayal and emotional harm on her jailed friend.
Luschek rats Nicky out to the authorities for drug possession	Luschek	Nicky	45	30	Bandit	He protects himself and/or gains favor by turning Nicky in, worsening her situation and moving her to Max.
Authorities send Nicky to maximum security for drug possession	Prison authorities	Nicky	40	35	Bandit	They enforce rules to protect institutional order at the cost of her harsher conditions and higher risks.
Guard in Max rapes Nicky, using heroin as leverage	The female guard	Nicky	85	0	Bandit	She abuses power and Nicky’s addiction to gain sexual gratification at extreme harm to Nicky.
Judy King arranges to have Nicky moved back to minimum security	Judy King	Nicky	60	75	Intelligent	She uses her influence to improve Nicky’s conditions, which also likely flatters or pleases Judy.
Nicky finally gives in to temptation and takes heroin again after three years clean	Nicky	Nicky	10	20	Helpless	She severely undermines her own hard‑won sobriety and disappoints those invested in her recovery.
Nicky participates in “banging contests” and similar frat‑boy activities	Nicky	Her sexual partners	60	45	Bandit	She derives ego and pleasure while reducing others to conquests, with some mutual but uneven benefit.
Nicky protects and cares for friends and close others	Nicky	Her friends	70	85	Intelligent	She devotes energy to supporting others, strengthening both their wellbeing and her social bonds.
Nicky trolls Piper by joking about her being a “squirter” to bait a reaction	Nicky	Piper	60	35	Bandit	She entertains herself and gains information at the cost of mildly embarrassing Piper.
