Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Performs acrobatic tricks and flips during his shows	Krusty	Audience	75	80	Intelligent	Entertains the audience and sustains his own popularity and career.
Promotes children's literacy on his show while being illiterate himself	Krusty	Children	60	70	Intelligent	He meaningfully promotes literacy for kids even though he personally lacks the skill.
Later becomes at least semi-literate	Krusty	Krusty	80	55	Intelligent	Gaining literacy substantially benefits him and mildly helps others via better functioning.
Lights cigars with $100 bills	Krusty	Krusty	10	50	Helpless	He pointlessly destroys his own money with no effect on others.
Buys a new house because the old one is dirty	Krusty	Krusty	40	55	Helpless	He gains comfort but wastes huge resources for something that could be cheaply fixed.
Immediately pulls down a map and explains the Falklands invasion to the audience	Krusty	Audience	70	65	Intelligent	He quickly informs viewers, showcasing knowledge while engaging the audience.
Admits on air that he's illiterate in "Krusty Gets Busted"	Krusty	Audience	45	60	Helpless	Honesty risks his image but helps prove his innocence and inform others.
Makes kids cry-laugh after revealing he’s bipolar	Krusty	Audience	55	60	Intelligent	He channels his condition into performance, coping himself and amusing others.
Dumps a load of snow on Robert Frost during a serious appearance	Krusty	Robert Frost	60	35	Bandit	He gets a gag for his show at the expense of a serious guest’s dignity.
Becomes a greedy shameless sellout who licenses his name and likeness for cash	Krusty	Consumers	75	30	Bandit	He profits heavily from over-licensing while offering low value.
Gets fired for 22 years over stuck stage shutters (after swearing on TV)	Network/Krusty	Krusty	5	50	Helpless	He suffers massively in career over a relatively minor outburst.
Has his bus pass revoked for drinking a soda	Transit authority	Krusty	20	50	Helpless	He loses mobility over a trivial infraction with no broader benefit.
Switches his show from politics to a kiddie show	Krusty	Audience	80	75	Intelligent	The move greatly boosts his career and gives enduring entertainment to kids.
Hates being a clown but keeps doing it for the limelight	Krusty	Audience	55	65	Intelligent	He sacrifices personal satisfaction for fame and an audience that enjoys him.
Reinvents himself as an adult-oriented social comic	Krusty	Audience	70	70	Intelligent	He revitalizes his act and offers sharper commentary to viewers.
