Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Jake bolts from danger ("Nor the Battle to the Strong")	Jake	Jake's own safety and companions	30	40	Helpless	Fleeing may preserve him short‑term but undermines his courage and reliability without helping others.
Jake freezes in danger ("Shattered Mirror")	Jake	Jake's own safety and companions	25	35	Helpless	Freezing increases his personal risk and gives no benefit to those with him.
Jake rescues his father from a Pah-Wraith worshipper	Jake	Benjamin Sisko	80	85	Intelligent	He risks himself to save his father, improving both their outcomes.
Writers conceive Jake as an “anti-Wesley” (ordinary child)	Series creators	Series narrative & audience reception	65	70	Intelligent	Redesigning the character avoids prior mistakes and improves story balance.
Nog joins Starfleet instead of Jake	Nog	Nog	80	70	Intelligent	He gains a career that suits him while freeing Jake to pursue writing.
Jake has little to do during the Dominion War	Writers	Jake’s character utility	40	45	Helpless	He loses narrative agency while recurring characters gain prominence.
Sisko notes Muniz shared a birthday with Jake	Benjamin Sisko	Jake (emotionally)	55	55	Intelligent	Recalling the shared birthday humanizes the fallen officer and gently connects Jake to the loss.
Jake chooses a writing career over Starfleet	Jake	Jake	80	65	Intelligent	Pursuing his own vocation benefits him and indirectly others through his reporting.
Jake mostly stays on Deep Space 9	Jake	Jake & station community	70	65	Intelligent	Remaining on the station gives him stability and allows local relationships and reporting.
Jake stays behind on DS9 during Dominion occupation	Jake	Jake & Federation public	60	40	Bandit	He advances his journalism ambitions while exposing himself to danger and offering only limited benefit as his reports are blocked.
Jake believes Weyoun will publish his critical articles	Jake	Federation News audience	45	35	Helpless	His naïve assumption weakens his strategy and delays getting real information out.
Jake gets Morn to smuggle his articles out	Jake	Federation public	70	80	Intelligent	He finds a workaround that gets truthful reports to the Federation at personal risk.
Jake later collects his occupation articles into a book	Jake	Readers/historical record	80	75	Intelligent	Publishing consolidates his work into a durable benefit for both himself and society.
Soldier shoots himself in the foot to escape battle	Unnamed soldier	Soldier’s unit	35	20	Bandit	He greatly improves his own survival at the cost of burdening and endangering his comrades.
Jake initially despises the self‑wounding soldier	Jake	Soldier	45	40	Helpless	His contempt harms no one materially but reflects a shallow understanding that hinders his own growth.
Jake abandons Bashir in battle	Jake	Bashir	40	15	Bandit	He preserves himself in a panic while seriously endangering Bashir.
Jake decides he must cover the Dominion occupation or “never hack it”	Jake	Jake	70	60	Intelligent	Framing the assignment as crucial motivates professional growth and future contributions.
Jake banks on being the Emissary’s son for protection	Jake	Jake	60	55	Intelligent	He takes a calculated risk that largely works and enables his reporting, with moderate danger and moderate public benefit.
Weyoun spares Jake for PR and bargaining‑chip value	Weyoun	Jake	70	30	Bandit	Weyoun gains leverage and good optics while only marginally helping Jake by not killing him.
Weyoun refuses to publish Jake’s critical stories	Weyoun	Federation audience	80	10	Bandit	He preserves Dominion interests and control while denying others vital information.
Jake keeps asking Weyoun about press freedom	Jake	Weyoun	40	25	Helpless	His idealistic protest brings him ridicule and no tangible gain or change.
Jake pursues older women romantically	Jake	Older romantic partners	65	60	Intelligent	He follows his preferences in consensual relationships, modestly benefiting all involved.
Jake sets up his dad with Kasidy	Jake	Benjamin Sisko & Kasidy	70	80	Intelligent	Acting as matchmaker strengthens his father’s happiness and Kasidy’s relationship, also rewarding Jake emotionally.
Starfleet lifestyle leaves Jake without a permanent home	Starfleet postings	Jake	35	45	Helpless	Frequent moves undermine his stability while only slightly benefiting others via Sisko’s career.
Jake is the only one opposing Red Squad’s command of a warship	Jake	Red Squad crew	65	75	Intelligent	He clearly recognizes and articulates the danger, trying to avert disaster for everyone.
Jake warns against attacking a Dominion battleship	Jake	Red Squad crew	65	80	Intelligent	Opposing the reckless attack would, if heeded, save many lives at minimal cost to himself.
Jake shows positive influence on Nog’s growth	Jake	Nog	70	85	Intelligent	He helps Nog transform into a successful officer with little downside for himself.
Jake cooks “Chicken a la Sisko” well	Jake	Family and friends	70	75	Intelligent	His culinary skill gives him pleasure and provides comfort and enjoyment to others.
Cadets in “Valiant” order much taller Jake around	Red Squad cadets	Jake	55	45	Bandit	They exercise command authority over a civilian mainly to pursue their own mission, offering him little benefit and some risk.
Nog used to chase Jake away (by association)	Nog	Jake	45	40	Bandit	Nog’s hostility lets him avoid a “pest” at the cost of Jake’s social comfort.
Odo chases Nog away, incidentally chasing Jake too	Odo	Nog (and incidentally Jake)	55	45	Bandit	He removes trouble by driving Nog off, unintentionally inconveniencing Jake for station security.
Jake worries his father will be disappointed by his writing career	Jake	Jake	40	55	Helpless	His anxiety harms his own peace of mind more than it affects his supportive father.
