Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Tyrion designs and perfects the sewers of Casterly Rock to spite Tywin	Tyrion Lannister	Tywin Lannister	70	75	Intelligent	He gains competence and satisfaction while improving infrastructure that benefits the castle and its people.
Tyrion participates in battles despite not being trained for combat	Tyrion Lannister	Enemy forces	40	55	Helpless	He risks serious harm and is maimed once, while his presence and leadership marginally help his side.
Tyrion helps protect King's Landing during the Battle of Blackwater with his strategies and leadership	Tyrion Lannister	People of King’s Landing	75	85	Intelligent	His tactics save the city and win the battle, though he’s later denied credit.
Tywin orders Tyrion to marry and impregnate Sansa to block Tyrell plans	Tywin Lannister	Sansa Stark	80	10	Bandit	He secures dynastic advantage while severely harming Sansa’s autonomy and happiness.
Tyrion chooses not to consummate the marriage with Sansa until she is ready	Tyrion Lannister	Sansa Stark	65	80	Intelligent	He forgoes an immediate claim-advantage and gratification, while greatly protecting Sansa from trauma.
Tyrion openly slaps and berates King Joffrey for abusing and endangering others	Tyrion Lannister	Joffrey Baratheon	45	70	Helpless	He risks retaliation and worsened standing while temporarily restraining Joffrey’s cruelty.
Tyrion sends Myrcella to Dorne as part of a marriage alliance and to keep her safe	Tyrion Lannister	Myrcella Baratheon	60	40	Bandit	He improves his political position and her short‑term safety but the move later exposes her to being killed there.
Tyrion blackmails Lancel into becoming his mole by threatening to reveal the incest	Tyrion Lannister	Lancel Lannister	65	20	Bandit	He gains valuable intelligence leverage while putting Lancel in grave personal and political danger.
Tyrion revokes Janos Slynt’s post and exiles him to the Wall for baby-murder complicity	Tyrion Lannister	Janos Slynt	60	70	Intelligent	He risks Slynt’s enmity but improves justice and removes a murderous thug from power.
Tyrion volunteers to lead a sortie at Blackwater and rallies terrified soldiers	Tyrion Lannister	Lannister/Tyrell soldiers	55	80	Intelligent	He endangers himself on the front line while greatly boosting morale and battle effectiveness.
Tywin withholds recognition of Tyrion’s service and humiliates him when asked for acknowledgment	Tywin Lannister	Tyrion Lannister	50	10	Bandit	He preserves dominance and control at the cost of deeply harming Tyrion’s loyalty and psyche.
Tyrion publicly threatens to castrate Joffrey at the wedding feast to stop a bedding-rape of Sansa	Tyrion Lannister	Joffrey Baratheon	50	75	Intelligent	He risks execution but effectively protects Sansa and checks Joffrey in that moment.
Tyrion breaks Shae’s heart and sends her away to protect her from Tywin and Cersei	Tyrion Lannister	Shae	40	20	Helpless	He emotionally ruins himself and her, hoping to keep her safe, but it backfires into mutual disaster.
Tyrion refuses to falsely confess to killing Joffrey and demands trial by combat at his regicide trial	Tyrion Lannister	Himself (future)	30	10	Helpless	He vents rage and pride but drastically worsens his odds of survival and political recovery.
Tyrion kills Shae in Tywin’s bed after she attacks him with a knife	Tyrion Lannister	Shae	20	10	Stupid	He survives immediate danger but suffers crushing guilt and loses any chance of reconciliation or exoneration.
Tyrion murders Tywin with a crossbow while fleeing execution	Tyrion Lannister	Tywin Lannister	25	20	Stupid	He gains short‑term vengeance but becomes a hated kinslayer and fugitive, devastating his own reputation and stability.
Varys smuggles Tyrion out of his cell and into exile after the trial	Varys	Tyrion Lannister	55	70	Intelligent	He risks himself to save Tyrion, preserving a capable player who later helps in larger political struggles.
Tyrion drinks heavily, including immediately upon arriving in Essos and to the point of vomiting	Tyrion Lannister	Himself	20	50	Helpless	His alcoholism numbs pain short term but directly harms his health and functionality.
Varys tries to keep Tyrion functional by limiting his drinking in Season 5	Varys	Tyrion Lannister	60	70	Intelligent	He invests effort and some risk to maintain Tyrion’s usefulness and wellbeing.
Daenerys criticizes Tyrion’s drinking to push him toward sobriety	Daenerys Targaryen	Tyrion Lannister	60	65	Intelligent	She strains their rapport somewhat but encourages better functioning and judgment in her Hand.
Tyrion refuses Shae’s plea to run away after Blackwater, saying he belongs in King’s Landing’s politics	Tyrion Lannister	Himself	45	55	Helpless	He chooses danger and stress over safety, yet does gain ongoing political relevance and purpose.
Tyrion befriends and mentors Jon Snow on the road to the Wall	Tyrion Lannister	Jon Snow	65	80	Intelligent	He gains a future ally and self-respect while giving Jon crucial emotional support and insight.
Tyrion designs an adaptive saddle to let crippled Bran ride	Tyrion Lannister	Bran Stark	70	85	Intelligent	He gains some moral satisfaction and potential goodwill while greatly improving Bran’s quality of life.
Catelyn Stark arrests Tyrion at the inn for Bran’s attempted murder based on Littlefinger’s lie	Catelyn Stark	Tyrion Lannister	30	20	Stupid	She gains no lasting advantage and instead ignites conflict with a powerful house on false grounds.
Tyrion talks the hill tribes into serving as his bodyguards instead of killing him	Tyrion Lannister	Hill tribes	75	65	Intelligent	He secures his safety and a private force while giving them pay, arms, and status.
Bronn fights as Tyrion’s champion in the Vale trial by combat and wins	Bronn	Tyrion Lannister	70	60	Intelligent	He gains wealth and advancement while saving Tyrion from execution.
Tyrion appoints Bronn to positions and pays him handsomely for loyal service	Tyrion Lannister	Bronn	65	70	Intelligent	He buys effective protection and gains a capable ally while materially improving Bronn’s life.
Tyrion demotes and threatens Pycelle and Slynt, reshaping the Small Council	Tyrion Lannister	Pycelle and Janos Slynt	65	55	Intelligent	He consolidates control and removes dangerous incompetents, improving governance at their expense.
Tyrion executes the Batman Gambit with three different Myrcella stories to expose Cersei’s spy	Tyrion Lannister	Grand Maester Pycelle	80	75	Intelligent	He secures proof of betrayal, tightens information control, and improves council security with minimal cost.
Tyrion blackmails Lancel specifically over sleeping with Cersei to gain leverage	Tyrion Lannister	Lancel Lannister	65	25	Bandit	He strengthens his position while placing Lancel in severe moral and political peril.
Tyrion exiles Janos Slynt to the Wall for murdering a baby	Tyrion Lannister	Janos Slynt	60	70	Intelligent	He removes a dangerous brute from power, promoting justice and safety despite making a personal enemy.
Tyrion publicly defends Sansa when Joffrey orders her stripped and beaten	Tyrion Lannister	Sansa Stark	55	80	Intelligent	He risks Joffrey’s wrath but significantly protects Sansa from immediate abuse.
Tyrion sends Shaun-of-relief instructions to get Tommen safely away during the King’s Landing riot	Tyrion Lannister	Tommen Baratheon	70	80	Intelligent	He keeps the heir safe while preserving regime continuity and reducing potential chaos.
Tyrion accepts Tywin’s appointment as acting Hand of the King and goes to rule in his stead	Tyrion Lannister	King’s Landing	70	75	Intelligent	He gains real power and purpose while genuinely improving the city’s governance.
Ser Mandon Moore attempts to kill Tyrion in the chaos of Blackwater on Joffrey’s orders	Ser Mandon Moore	Tyrion Lannister	40	20	Bandit	He might gain royal favor and remove a rival but fails and dies, having only sown harm and mistrust.
Podrick saves Tyrion by spearing Mandon Moore through the face	Podrick Payne	Tyrion Lannister	70	80	Intelligent	He risks himself to protect Tyrion, gaining trust and advancement while saving his lord’s life.
Tyrion takes on the role of Master of Coin despite his inexperience	Tyrion Lannister	Seven Kingdoms finances	60	60	Intelligent	He develops fiscal awareness and exposes Littlefinger’s debts, with mixed but not disastrous impact.
Tyrion sends Ros gold and pretends she is his lover when Cersei thinks she is Shae	Tyrion Lannister	Ros	60	65	Intelligent	He preserves Shae’s safety and Ros’s immediate life, though Ros stays in a dangerous environment.
Tyrion continues a relationship with Shae in King’s Landing despite the mortal risk	Tyrion Lannister	Shae	30	25	Stupid	Both gain affection short term but it leads directly to her betrayal, condemnation, and deaths.
Shae testifies falsely against Tyrion at his regicide trial	Shae	Tyrion Lannister	25	15	Bandit	She gains temporary protection and favor from the Lannisters while helping secure Tyrion’s death sentence and her own future doom.
Tyrion delivers a furious speech condemning the court and people of King’s Landing during his trial	Tyrion Lannister	Court of King’s Landing	35	20	Helpless	He gains emotional catharsis but destroys any remaining chance of a political solution.
Jaime arranges for Tyrion’s escape and frees him from his cell	Jaime Lannister	Tyrion Lannister	65	65	Intelligent	He saves his brother at personal risk, strengthening their bond while undermining Tywin’s unjust sentence.
Tyrion visits Tywin’s chambers instead of fleeing immediately after Jaime frees him	Tyrion Lannister	Himself	25	20	Stupid	He endangers his escape and triggers the killings that will haunt him and destabilize Westeros.
Tyrion and Varys flee Westeros together after Tywin’s death	Tyrion Lannister	Westerosi regime	60	55	Intelligent	He preserves his life and future influence at the cost of short‑term chaos in the capital.
Tyrion drinks to oblivion in the crate journey to Essos, then staggers out and drinks again	Tyrion Lannister	Himself	15	50	Helpless	He slightly numbs trauma but gravely harms his health and reliability.
Varys chooses to deliver Tyrion to Daenerys, hoping to match them	Varys	Daenerys Targaryen	70	80	Intelligent	He bets on a promising alliance that gives Dany a capable Westerosi advisor and gives Tyrion a new purpose.
Tyrion talks his way into Daenerys’s service as advisor	Tyrion Lannister	Daenerys Targaryen	75	75	Intelligent	He gains protection and status while providing her with much‑needed political expertise.
Tyrion tries to bribe the slave cities to phase out slavery over time while ruling Meereen	Tyrion Lannister	Slave Masters	35	30	Stupid	He underestimates their bad faith, enabling them to regroup and attack Meereen later.
Tyrion frees and befriends Daenerys’s dragons in Meereen by unchaining them	Tyrion Lannister	Daenerys’s dragons	65	70	Intelligent	He risks being burned but strengthens the dragons’ condition and Dany’s power.
Tyrion proposes a cautious attack on Casterly Rock using sewer passages he designed	Tyrion Lannister	Unsullied army	35	30	Stupid	He gains a symbolic victory but strands the Unsullied with little strategic value and heavy losses elsewhere.
Jaime and Cersei anticipate Tyrion’s Casterly Rock plan and move the main army to the Reach	Jaime & Cersei Lannister	Daenerys’s forces	70	20	Bandit	They seize the Tyrell wealth and cripple Dany’s Westerosi allies while strengthening their own side.
Tyrion advises Daenerys to encircle King’s Landing instead of using dragons directly	Tyrion Lannister	Daenerys’s coalition	40	35	Stupid	His humane strategy leads to disastrous losses and only marginally delays bloodshed.
Tyrion suggests capturing a wight to prove the threat to Cersei	Tyrion Lannister	Alliance against White Walkers	25	30	Stupid	He sparks a near‑suicidal mission that costs lives and a dragon, for almost no political gain.
Tyrion meets privately with Cersei to negotiate a truce after presenting the wight	Tyrion Lannister	Daenerys–Cersei negotiation	55	45	Helpless	He avoids being killed and secures a fake pledge, but is deceived and aids Cersei’s stalling.
