Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Joins the Hare Krishnas and shaves his hair	Paul	Hare Krishnas / himself	30	40	Helpless	Sacrifices mainstream image and career prospects for a group that offers him only limited support or success.
Grows a beard to seem "with it" among righteous youth	Paul	Righteous youth / peers	45	40	Helpless	Image move brings little real gain and is transparently performative, mildly annoying to others.
Mocks things that annoy him with deadpan snark	Paul	People/things he mocks	55	35	Bandit	He vents and amuses himself at the expense of those he disparages.
Writes copy that is mediocre compared to Peggy	Paul	Clients / agency	40	45	Helpless	His weaker work harms his standing while only marginally serving the agency.
Has some good ideas but fails to follow through	Paul	Himself / coworkers	35	45	Helpless	Lack of follow-through undercuts his own potential and slightly wastes team time.
Writes a play that coworkers discover and act out	Paul	Coworkers / audience	40	45	Helpless	He gains no respect from the play and only mildly inconveniences or bores others.
Fails repeatedly at copywriter jobs and is fired from several agencies	Paul	Employers	20	40	Helpless	Loss of jobs severely harms his own trajectory while giving employers some short-term clarity in standards.
Works as in-house copywriter for A&P and then loses that job too	Paul	Paul / A&P	15	40	Helpless	Another job loss further damages his situation while A&P recovers by replacing him.
Presents Harry with a Star Trek spec script he thinks is his best work	Paul	Harry / Peggy / girlfriend	35	40	Helpless	He exposes his lack of talent, hurting his reputation more than providing any benefit; others waste time reading it.
Is jealous of Peggy’s success without acting on it	Paul	Paul	30	50	Helpless	Envy eats at him internally yet leads to no constructive change or external effect.
Cultivates an inflated, sensitive ego to mask insecurity	Paul	Colleagues	35	45	Helpless	His fragile pride undermines his relationships and status while slightly straining others’ interactions with him.
Hides his scholarship background and lower-class roots	Paul	Colleagues	40	45	Helpless	Concealment reinforces his insecurity and adds distance without real benefit to anyone.
Does not apply to SCDP out of wounded pride	Paul	Paul / SCDP	10	60	Helpless	Pride leads him to forgo a solid opportunity, badly harming himself while freeing the firm of an underperformer.
Is not hired by SCDP and leaves the cast	Don / partners	Paul	80	40	Bandit	Firm avoids a weak contributor, benefiting itself while worsening Paul’s career state.
Joins the International Society for Krishna Consciousness	Paul	Hare Krishnas / himself	30	40	Helpless	He gains a semblance of belonging but sacrifices career and prospects for limited communal gain.
Harry puts Paul on a bus to Hollywood	Harry	Paul	65	70	Intelligent	Harry relieves himself of an awkward obligation while giving Paul a hopeful fresh start.
Dates a black woman to show how "progressive" he is	Paul	Girlfriend	45	30	Bandit	He gains social-identity points while using her instrumentally, which undermines her dignity.
Pretends to be on a first-name basis with the black elevator attendant to impress his girlfriend	Paul	Girlfriend / elevator attendant	40	30	Bandit	He tries to gain moral cred while trivializing the attendant and insulting his girlfriend’s intelligence.
Becomes Harry’s “morality pet” in "Christmas Waltz"	Paul	Harry	40	70	Helpless	His troubled situation harms himself but sharpens Harry’s ethical awareness and growth.
Speaks out against the destruction of Penn Station	Paul	General public / preservationists	45	75	Intelligent	His advocacy brings him little tangible gain but supports a public and cultural cause.
Allows his politics and attitude to alienate Don, who grows sick of him	Paul	Don	35	45	Helpless	His behavior diminishes his own standing and only slightly burdens Don until Don distances himself.
Harry concludes Don would likely have fired Paul eventually	Harry	Paul	70	40	Bandit	Clarifying Paul’s likely fate protects the firm’s interests while reaffirming Paul’s bleak prospects.
