Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
He abandons using "But I am already in my pajamas" as a catchphrase after the first two episodes	Farnsworth	Farnsworth	60	55	Intelligent	Dropping an unmemorable catchphrase has mild benefit to him and no clear effect on others.
He unintentionally reuses the abandoned catchphrase in Season 8	Farnsworth	Planet Express crew / listeners	55	55	Intelligent	Repeating the line has negligible effects beyond light humor for everyone.
He goes to an inventors' competition with last year's death clock	Farnsworth	Farnsworth	40	55	Helpless	Bringing the same invention again mildly harms his prospects while entertaining or interesting others.
After realizing he reused last year's invention, he tries to invent the same thing again	Farnsworth	Farnsworth	30	55	Helpless	His absent-minded attempt wastes his own effort while providing mild amusement to onlookers.
He quickly creates the smell-o-scope to replace the repeated invention	Farnsworth	Public / scientific community	85	75	Intelligent	Creating a working new invention is a strong win for him and a notable benefit to others.
He remembers he already built the smell-o-scope last year	Farnsworth	Farnsworth	40	55	Helpless	The realization undercuts the value of his “new” work, mostly just mildly embarrassing him.
He fathers Igner at around 160 years old	Farnsworth	Igner	60	60	Intelligent	Despite the oddity, he gains a son and Igner exists; no clear net harm shown.
He spends more time on personal obsessions than managing his company	Farnsworth	Planet Express crew	45	40	Bandit	His neglect of management serves his whims while moderately disadvantaging the company and crew.
He creates doomsday devices for no apparent reason	Farnsworth	Wider world	60	10	Bandit	He gains pride and capability but greatly endangers others by stockpiling apocalyptic weapons.
He states there is no scientific consensus that life is important	Farnsworth	Anyone hearing him	55	40	Bandit	Reinforces his own worldview at the expense of others’ sense of safety and value.
He admits he always knew he would have a hand in ending the world	Farnsworth	Wider world	55	30	Bandit	Accepting an apocalyptic role bolsters his self-image while implying severe potential harm.
He takes pleasure in endangering his crew’s lives	Farnsworth	Planet Express crew	65	15	Bandit	He gets entertainment while significantly increasing risk to the crew.
He gets upset when he discovers he won’t have to kill Fry to save humanity	Farnsworth	Fry	55	15	Bandit	He loses the grim satisfaction of sacrifice while showing disregard for Fry’s life.
He genuinely regrets endangering the crew once they are dead	Farnsworth	Dead crew	35	20	Helpless	His remorse hurts himself emotionally and helps no one, as they’re already dead.
He goes on the front line to save the world when it’s threatened	Farnsworth	Wider world	75	80	Intelligent	He risks himself to stop threats, benefiting both himself and everyone else.
He builds an Angry Dome room specifically to vent his rage	Farnsworth	Himself / coworkers	65	60	Intelligent	Channeling anger into a private space helps him decompress and shields others somewhat.
He cheerfully sends the crew on very dangerous missions	Farnsworth	Planet Express crew	70	15	Bandit	He advances his goals and curiosity by risking the crew’s lives.
He previously sent other crews on similarly dangerous missions that killed them	Farnsworth	Previous crews	60	5	Bandit	He benefited from repeated missions while causing multiple fatal outcomes.
He refuses to bring the Planet Express ship up to government standards despite lawsuits	Farnsworth	Planet Express crew	55	20	Bandit	He saves money/effort while endangering staff and exposing them to legal risk.
He habitually introduces dangerous missions as “Good news, everyone!”	Farnsworth	Planet Express crew	65	45	Bandit	He preserves his upbeat framing while misleading or downplaying real danger to others.
He creates Atomic Supermen to face the Harlem Globetrotters using chronotons	Farnsworth	Reality / DOOP society	55	20	Bandit	He gains a solution and scientific thrill while destabilizing spacetime.
He immediately flies into a rage if someone asks to use the ship as a mere lift	Farnsworth	Planet Express crew	45	35	Bandit	His overreaction protects his principle at the cost of crew morale.
He immediately flies into a rage at non-scientific explanations	Farnsworth	Others proposing ideas	45	40	Bandit	It satisfies his ego while discouraging alternative perspectives.
He invents the impossible ship engine that moves the universe around the ship	Farnsworth	Planet Express crew / humanity	85	75	Intelligent	The engine is a massive technological gain with large shared benefits.
He becomes a strong advocate against robosexuality	Farnsworth	Robosexuals	55	20	Bandit	He gains political and emotional satisfaction while restricting others’ relationships.
He delays action because “I am already in my pajamas”	Farnsworth	Himself / sometimes crew	45	40	Helpless	His laziness mildly hurts his own productivity and sometimes others depending on him.
He creates a glow-in-the-dark nose machine that produces huge toxic waste	Farnsworth	Environment / society	40	10	Stupid	He gains little lasting benefit while creating significant, unusable toxic byproducts.
He nearly destroys the fabric of space-time by aging engineered basketball players	Farnsworth	Universe	30	5	Stupid	A trivial sports aim nearly annihilates existence, with negligible real benefit to him.
He nods along when Fry calls him an “amoral crackpot”	Farnsworth	Fry	60	55	Intelligent	Accepting an accurate label clarifies expectations and causes minimal harm.
He expects to suffer eternal damnation when he dies	Farnsworth	Farnsworth	30	50	Helpless	This belief harms his own mental comfort without affecting others.
He repeatedly sends the crew on missions of extreme danger while framing it as good news	Farnsworth	Planet Express crew	70	15	Bandit	He advances exploration and business at a steep, often hidden risk to his employees.
He screams that he is “off to Hell” when startled by a bright light	Farnsworth	Bystanders	50	50	Intelligent	Low-stakes overreaction is just comic panic with no meaningful impact.
He frequently throws the crew under the bus when Planet Express is threatened	Farnsworth	Planet Express crew	60	15	Bandit	He protects his ownership and position while sacrificing subordinates’ interests.
At the stockholders’ meeting he appears confused and shows he doesn’t know why he’s there	Farnsworth	Planet Express shareholders	40	35	Helpless	His senility harms his credibility and the company, giving no gain.
