Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Coaches Prez to lie to internal affairs about blinding a child	Daniels	Internal affairs / public trust	30	5	Bandit	Protects a subordinate and the department at major cost to accountability and the injured child.
Investigates and then vouches for Daniels despite corruption rumors	McNulty	Daniels	60	65	Intelligent	He gains a trustworthy superior and supports a basically decent leader.
Peacefully arrests Avon by taking over a SWAT operation	Daniels	Avon / SWAT team	70	80	Intelligent	He secures a major arrest while minimizing violence and risk to officers and suspects.
Holds his own against Burrell and Clay Davis in a dignified manner	Daniels	Burrell and Clay Davis	60	60	Intelligent	He preserves his integrity and standing while subtly resisting corrupt pressure.
Refuses to participate in fixing crime statistics as Commissioner	Daniels	City Hall / police institution	40	70	Helpless	His stance costs him his job but reinforces institutional integrity and honest stats.
City Hall pressures him into resigning for not fixing the stats	City Hall	Daniels	80	10	Bandit	They preserve their political façade at the expense of losing an honest, competent Commissioner.
Supports subordinates and is a benevolent boss	Daniels	Subordinates	65	75	Intelligent	He builds loyalty and performance while improving his unit’s morale and effectiveness.
Carcetti chooses Daniels as a high-ranking leader for his integrity	Carcetti	Daniels	75	75	Intelligent	Carcetti gains a credible reform figure while advancing Daniels’ career.
Steindorf and Campbell threaten Daniels to comply with cooked stats	Steindorf and Campbell	Daniels	70	5	Bandit	They try to safeguard their political position by coercing him, undermining honest policing.
Quits instead of joining the stats-cooking corruption	Daniels	Police career	35	65	Helpless	He sacrifices a top position and influence to avoid betraying his principles and the public.
Warns his unit he doesn’t want “cowboy shit” and reins McNulty in	Daniels	McNulty / unit	65	75	Intelligent	He reduces risk of rogue actions that could harm cases, careers, and public safety.
Keeps McNulty in his unit after Jimmy and Kima derail his investigation	Daniels	McNulty	60	60	Intelligent	He preserves access to a talented but problematic detective while maintaining control over him.
Gives severe private dressings-down after people cross the line	Daniels	Subordinates	60	65	Intelligent	Firm private reprimands correct behavior without public humiliation, improving future conduct.
Quits the force after being told to cheat on crime stats	Daniels	Police institution	35	60	Helpless	He loses career power but refuses to enable systemic dishonesty, modestly benefiting integrity.
Skims money during drug raids in his past	Daniels	Drug dealers / public funds	80	10	Bandit	He gains unexplained wealth while stealing from seizures and corroding trust in law enforcement.
Protects incompetent or disloyal subordinates despite it reflecting badly on him	Daniels	Subordinates	40	70	Helpless	He harms his own reputation and advancement to shield his people from harsher consequences.
Mentors Carver and gives him advice that helps him become a better policeman	Daniels	Carver	65	85	Intelligent	He invests effort in Carver’s growth, improving both the officer and the department.
Dates Rhonda while expecting tension with McNulty but resolves it amicably	Daniels	McNulty	70	70	Intelligent	He gains a healthy relationship while preserving professional and personal peace with McNulty.
Sends in resignation papers in Season 2, then withdraws them when real police work becomes possible	Daniels	His own career	75	70	Intelligent	He leverages the threat of leaving to end up in a role with meaningful work, aiding himself and the unit.
Keeps secrets to save loyal subordinates and loved ones	Daniels	Loyal subordinates / loved ones	45	65	Helpless	He incurs ongoing risk from unresolved misconduct while protecting those close to him.
Chooses quitting over fighting blackmail that would expose his and his ex-wife’s past	Daniels	Himself and Marla	35	60	Helpless	He relinquishes power and income to shield his ex-wife and their shared history.
Covers up Prez blinding a kid out of loyalty to another cop	Daniels	Injured child / community	40	5	Bandit	He maintains blue-wall loyalty but perpetuates impunity and injustice for the victim.
Uses his reputation as a potential whistleblower to pressure Clay Davis and Burrell into undoing some corruption	Daniels	Clay Davis and Burrell	60	70	Intelligent	Without snitching, he exploits their fear to reduce damage from their corrupt actions.
Tells his wife Marla he loves the job, contributing to the end of their marriage	Daniels	Marla / marriage	40	30	Stupid	He elevates work over his relationship, losing marital stability without clear offsetting gains beyond the status quo.
Promotes Carver face to face as one of his last acts as policeman	Daniels	Carver	70	80	Intelligent	He uses his final authority to advance a reformed, capable officer, benefiting both Carver and the department.
Resists “playing ball” with crooked politicians despite his wife urging flexibility	Daniels	Crooked political leadership	45	60	Helpless	His rigidity preserves his honor and some institutional integrity but directly leads to his ouster.
