Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Raquel delays revealing what she has found to allow the heist team to escape	Raquel	Heist team	40	20	Helpless	Raquel sacrifices her own professional standing and safety to benefit the criminals.
Raquel publicly criticizes the National Intelligence Center when leaving the police	Raquel	National Intelligence Center	55	35	Bandit	Her speech helps her own sense of integrity but damages the institution’s standing without clear broader benefit.
Raquel joins the Professor to further disgrace the system she used to work for	Raquel	State/system	60	20	Bandit	She gains belonging and purpose with the robbers while acting to harm the system she served.
Alberto abuses Raquel domestically	Alberto	Raquel	65	5	Bandit	He exerts power/gratification over her at great harm to her and some risk to himself if discovered.
Authorities largely disbelieve Raquel’s abuse report due to Alberto’s good reputation	Police institution	Raquel	55	10	Bandit	The force preserves its internal image and Alberto’s status while gravely failing and harming Raquel.
Raquel gives Tokyo a dope slap in response to Tokyo’s anger and distrust	Raquel	Tokyo	48	40	Stupid	The slap vents Raquel’s frustration but worsens trust and gains her little.
Raquel attempts to get herself killed by walking into the shooters’ line of fire	Raquel	Herself / robbers	5	45	Helpless	Her suicidal move is catastrophic for herself while easing pressure on robbers if she is killed.
Suárez and Prieto run to save Raquel from being shot	Suárez and Prieto	Raquel	70	80	Intelligent	They protect her life and maintain their team’s welfare with no clear downside.
Raquel takes a break from work after Prieto tells her she deserves it	Raquel	Herself	65	65	Intelligent	Taking a break stabilizes her mental state and helps colleagues by reducing risk from her distress.
Raquel groin-kicks a Serbian auxiliary member to free herself	Raquel	Serbian auxiliary member	55	40	Bandit	She gains a brief tactical advantage and self-preservation while harming an opponent.
Serbian auxiliary members quickly overpower Raquel at gunpoint after her attack	Serbian auxiliary team	Raquel	70	20	Bandit	They secure their prisoner effectively for themselves while endangering her.
Raquel chooses to delay revealing the heist team’s meeting place to help them escape	Raquel	Heist team	35	30	Helpless	She seriously damages her career and legal standing to assist the criminals’ escape.
Raquel becomes a full-fledged heist team member under codename Lisbon	Raquel	Heist team	75	30	Bandit	She gains identity, love, and purpose in a criminal group while contributing to further crimes.
Raquel confronts the robbers as lead inspector during the first heist	Raquel	Robbers	70	60	Intelligent	Doing her job to stop criminals benefits her career and public safety.
Raquel goes on a personal manhunt for the Professor after being taken off the case	Raquel	Professor	45	40	Stupid	Her rogue pursuit risks her safety and legality with low odds of successful capture.
Raquel angrily hands over her badge and pistol when removed as lead inspector	Raquel	Police institution	30	40	Helpless	Her emotional reaction undermines her position more than it harms the institution.
Raquel realizes “Salva” is the Professor and takes him to the farm to interrogate him	Raquel	Professor	60	55	Intelligent	She acts as an investigator to extract truth, improving her understanding and potentially aiding the case.
Professor initially uses Raquel romantically to get close to the investigation	Professor	Raquel / police	80	20	Bandit	He gains access and intelligence at her emotional expense and at risk to public safety.
Professor confesses he has genuinely fallen in love with Raquel	Professor	Raquel	65	70	Intelligent	Honesty deepens their bond and emotional clarity, benefiting both despite criminal context.
