Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Santana gives Brittany an anguished declaration of love	Santana	Brittany	40	70	Helpless	She gains emotional honesty but is rejected and hurt while giving Brittany clarity and respect for her existing relationship.
Brittany rejects Santana due to already dating Artie	Brittany	Santana	60	55	Intelligent	Brittany preserves her current relationship and personal boundaries while avoiding cheating, though it hurts Santana.
Santana chooses to go to prom with Karofsky and pretend to be straight	Santana	Karofsky & peers	55	20	Bandit	She gains short-term social protection by reinforcing a lie, while sustaining a homophobic/closeted environment.
Finn publicly asks Santana why she doesn’t come out of the closet	Finn	Santana	45	15	Bandit	He vents his hurt and briefly “wins” the exchange but triggers harsh fallout for Santana and wider homophobic backlash.
Karofsky threatens Kurt and Blaine	Karofsky	Kurt & Blaine	60	5	Bandit	He asserts dominance and preserves his image at the cost of directly menacing others.
Santana confronts Karofsky and threatens to hurt him if he attacks Kurt and Blaine	Santana	Karofsky	65	80	Intelligent	She raises her own status as tough while effectively protecting Kurt and Blaine from further bullying.
Santana and Karofsky attend prom together as each other’s beards	Santana & Karofsky	School community	65	25	Bandit	They gain reputational cover and popularity while sustaining deception and heteronormative pressure on others.
Santana steals a wheelbarrow of breadsticks from the restaurant	Santana	Breadstix/manager	70	10	Bandit	She gains a lot of free food while financially harming the restaurant.
Santana gets the Breadstix manager fired for trying to stop her theft	Santana	Manager	85	5	Bandit	She removes an obstacle and exerts power but seriously harms the manager’s livelihood.
Santana breaks up with Puck after seeing his bad credit score	Santana	Puck	65	30	Bandit	She protects her own financial ambitions while callously discarding Puck.
Santana plans to marry a football player for financial stability	Santana	Future partner	60	25	Bandit	She aims for personal security while intending an exploitative marriage.
Santana gets a boob job to gain more attention from guys	Santana	Herself	20	40	Helpless	She undergoes risky surgery that quickly backfires and damages her reputation, while momentarily pleasing male onlookers.
Santana fights Lauren over Puck	Santana	Lauren	35	20	Bandit	She tries to secure Puck for herself but is physically outmatched and fails, while creating conflict.
Santana engages in catfights with Mercedes and Quinn over boys/Santana's spot	Santana	Mercedes & Quinn	45	25	Bandit	She tries to defend status and relationships using aggression, harming others while gaining little lasting benefit.
Santana has to be restrained from attacking Rachel	Santana	Rachel	30	20	Bandit	She attempts physical aggression, risking punishment, for a fleeting sense of dominance.
Santana occasionally acts as Brittany’s minder	Santana	Brittany	55	75	Intelligent	She expends some effort to guide Brittany while giving Brittany safety and structure.
Santana quits the Cheerios	Santana	Herself & Cheerios	55	70	Intelligent	She sacrifices status to align with people she cares about, also weakening Sue’s power over the group.
Sue revokes Santana’s tanning privileges	Sue	Santana	60	30	Bandit	Sue asserts control and perhaps enforces discipline while inflicting disproportionate emotional distress.
Santana cries and flees the room when Sue revokes tanning	Santana	Herself	15	50	Helpless	She gets no benefit and publicly humiliates herself while not affecting others beyond mild discomfort.
Santana gets Breadstix manager fired over stopping her theft (second claim)	Santana	Manager	85	5	Bandit	Again emphasizes she wields institutional power to punish resistance for personal convenience.
Santana originally joins glee club as a mole for Sue	Santana	Glee Club	60	25	Bandit	She gains favor with Sue while undermining trust and cohesion in the club.
Santana uses her sass to help Kurt and Blaine stand up to Karofsky	Santana	Kurt & Blaine	65	85	Intelligent	She strengthens their confidence and protection while also boosting her own sense of purpose and alliances.
Santana’s antagonism toward the glee club members	Santana	Glee Club	45	30	Bandit	Her habitual meanness bolsters her tough persona but erodes relationships and team morale.
Will kicks Santana out of glee club after she sabotages recruitment	Will	Santana	55	70	Intelligent	He loses a strong performer but protects the group’s integrity and signals consequences for sabotage.
Santana constantly harasses Finn and Rory in “Mash-Off”	Santana	Finn & Rory	40	20	Bandit	She asserts dominance and vents anger but provokes Finn into an outing that badly hurts her.
Finn publicly outs Santana in the hallway	Finn	Santana	55	10	Bandit	He feels vindicated and “honest” in the moment but causes Santana severe personal and social damage.
Finn’s outing of Santana contributes to her being outed statewide	Finn	Santana	35	5	Bandit	He gains nothing further but amplifies the harm done to her via Sue’s campaign fallout.
Santana calls Quinn a slut while being promiscuous herself	Santana	Quinn	45	20	Bandit	She briefly elevates herself socially by shaming Quinn while deepening mutual hostility.
Santana spurns Brittany in “Duets”	Santana	Brittany	30	20	Bandit	She protects herself from vulnerability but damages Brittany and their relationship.
Santana dumps Brittany in “The Break-Up” under an “energy exchange” pretense	Santana	Brittany	35	15	Bandit	She escapes a relationship she can’t currently maintain while inflicting deep emotional harm on Brittany.
Santana uses “keeping it real” as an excuse to throw snark at people	Santana	Various peers	50	35	Bandit	She maintains her persona and deflects her own issues by belittling others.
Santana gets drunk and becomes hysterical	Santana	Herself	25	50	Helpless	She emotionally unravels and harms her own dignity without meaningful effect on others.
Santana repeatedly pursues relationships with boys to suppress feelings for Brittany	Santana	Herself & male partners	25	40	Helpless	She damages her own emotional clarity and misleads partners while normalizing them socially.
Santana realizes in “Sexy” that her cruelty stems from turmoil over Brittany	Santana	Herself	60	70	Intelligent	The insight hurts but enables growth and more honest future choices, indirectly benefiting others she mistreats.
Santana convinces Brittany that sex with her isn’t cheating on Artie because “the plumbing’s different”	Santana	Brittany & Artie	70	15	Bandit	She secures an affair for herself while morally and emotionally undermining Brittany and Artie’s relationship.
Santana borrows mono germs then kisses Finn to infect him and Quinn	Santana	Finn & Quinn	75	5	Bandit	She cleverly exposes their cheating and gains leverage by intentionally making them sick.
Santana convinces Sam to dump Quinn for her	Santana	Sam & Quinn	80	15	Bandit	She successfully secures Sam at the cost of their relationship and their emotional well-being.
Santana convinces Karofsky to be her beard and start an anti-bullying patrol	Santana	Karofsky & school	75	60	Bandit	She and Karofsky gain popularity, do real good with anti-bullying, but the move is rooted in deception and self-protection.
Karofsky convinces Kurt to come back to school as part of the patrol plan	Karofsky	Kurt	70	80	Intelligent	He boosts his rep and partially redeems himself by creating conditions for Kurt’s safer return.
Santana pursues Prom Queen to “royally” obligate Brittany to date her	Santana	Brittany	65	15	Bandit	She seeks status partly to coerce Brittany emotionally instead of relying on mutual consent.
Santana sets up a sting to expose Brody as a gigolo after being kicked out	Santana	Brody	75	40	Bandit	She vindicates her suspicions and helps reveal the truth while orchestrating a public, violent humiliation.
Finn uses Santana’s sting to beat Brody up	Finn	Brody	60	20	Bandit	He gets cathartic revenge and moral satisfaction while physically harming Brody.
Santana stands up to Sebastian on behalf of Kurt and Blaine	Santana	Sebastian	70	80	Intelligent	She risks conflict to protect friends, gaining moral authority and stronger bonds.
Santana gives Sue a “Reason You Suck” speech in “The Quarterback”	Santana	Sue	55	65	Intelligent	She gains catharsis and honesty while forcing Sue to confront the harm she’s done to the students.
Santana delivers a vicious “Reason You Suck” speech to Finn in “Mash-Off”	Santana	Finn	40	15	Bandit	She momentarily wins the argument but provokes the outing that deeply damages her.
Santana confronts Kurt in season 6 with her most crushing speech	Santana	Kurt	45	15	Bandit	She vents and asserts herself, but humiliates Kurt and strains relationships with little benefit.
Santana helps Rachel by becoming her understudy for Funny Girl and challenging her	Santana	Rachel	75	80	Intelligent	She gains career opportunity while pushing Rachel to grow and maintain standards.
Santana calls herself “the mistress” while secretly dating Brittany	Santana	Brittany & Artie	55	20	Bandit	She enjoys an illicit role and emotional connection while participating in deceit that hurts Artie.
Sue sends Santana, Quinn, and Brittany into glee as moles	Sue	Glee Club	65	20	Bandit	Sue gains intelligence and leverage over the club while undermining its cohesion.
Santana uses a cheerleader to make Brittany jealous after their breakup	Santana	Brittany	55	20	Bandit	She boosts her own ego and tries to regain control by needlessly hurting Brittany.
Santana sleeps with Quinn twice after dumping Brittany	Santana	Quinn	65	40	Bandit	She gains pleasure and intimacy but complicates and exploits Quinn’s unresolved feelings.
Santana quits Cheerios and starts dressing in normal clothes	Santana	Herself	70	65	Intelligent	She loses uniform-based status but gains autonomy and more authentic self-expression.
Santana repeatedly delivers brutal “Reason You Suck” speeches to various people	Santana	Various targets	50	25	Bandit	She maintains power and emotional distance by verbally demolishing others, eroding relationships overall.
Santana helps persuade Kurt to stand up to Karofsky and Sebastian along with others	Santana	Kurt	70	80	Intelligent	She strengthens Kurt’s resolve and safety while also cementing her own role as ally.
Santana often acts as Brittany’s morality pet target, softening around her	Brittany	Santana	70	75	Intelligent	Brittany’s influence helps Santana grow and be kinder, which benefits them both.
