Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Sal puts on a Latin Lover ladies-man persona to cover that he's gay	Sal	His colleagues and social circle	40	30	Bandit	Maintains his safety and career by deception while sustaining inauthentic relationships and heteronormative pressure.
Sal shuts down a sexual proposition from a client who recognizes him as gay	Sal	Client	60	40	Intelligent	Protects himself from risky entanglement and coerced closeting while avoiding exploiting the client.
Sal marries Kitty as a beard without her informed consent	Sal	Kitty	55	10	Bandit	Gains social cover and stability at the cost of Kitty’s emotional wellbeing and an inauthentic marriage.
Sal turns down most opportunities for gay relationships to stay careful and closeted	Sal	Himself / potential partners	25	55	Helpless	Sacrifices his own romantic/sexual fulfillment to modestly protect both himself and partners from social danger.
Sal stays in the closet to survive in a homophobic environment	Sal	His colleagues / broader society	45	55	Intelligent	Protects his own safety and career while preserving workplace stability and avoiding direct conflict, despite personal cost.
Sal runs his “Bye Bye Birdie” commercial in a full-camp manner before Kitty	Sal	Kitty	35	20	Stupid	Expresses himself in a way that unintentionally outs him to Kitty, harming her and destabilizing his cover without real benefit to himself.
Sal frequently and loudly asserts his womanizing ways to others	Sal	Colleagues and acquaintances	55	35	Bandit	Strengthens his straight façade and social standing while perpetuating deception and heteronormative posturing.
Sal socializes mainly with younger mid‑20s colleagues to emulate their behavior	Sal	Younger colleagues	65	55	Intelligent	Improves his social integration and cover while contributing amicably to cross-generational office bonding.
Sal often feels forced to play a jerkass womanizer to fit in at work	Sal	Female coworkers / male peers	45	30	Bandit	Protects his status and safety by conforming to misogynistic norms that degrade women and authenticity.
Lee Garner Jr. tries to sexually extort Sal	Lee Garner Jr.	Sal	70	5	Bandit	Seeks personal gratification and power at severe cost to Sal’s autonomy and safety.
Sal refuses Lee Garner Jr.’s sexual extortion attempt	Sal	Lee Garner Jr.	60	40	Intelligent	Preserves his dignity and long‑term self‑respect while resisting abusive dynamics despite career risk.
Lee Garner Jr. demands that Roger fire Sal after being refused	Lee Garner Jr.	Sal	80	0	Bandit	Uses client power to punish Sal and preserve his ego, severely harming Sal’s livelihood.
Roger fires Sal at Lee Garner Jr.’s insistence	Roger	Sal	70	5	Bandit	Protects the firm’s biggest account and his own position by sacrificing Sal’s job and security.
Don refuses to come to Sal’s aid and makes a homophobic jab	Don Draper	Sal	75	10	Bandit	Shields himself and the agency politically while reinforcing prejudice and abandoning a colleague.
Sal calls his wife in despair and lies that everything is fine	Sal	Kitty	30	20	Stupid	Preserves his pride and avoids immediate conflict but deepens Kitty’s deception and his own isolation with no real gain.
Sal goes to drown his sorrows with anonymous sex in Central Park	Sal	Anonymous partners	20	25	Helpless	Engages in risky, self-destructive coping that offers brief relief while adding vulnerability in a hostile era.
Sterling Cooper sends Sal his walking papers after he is outed	Sterling Cooper management	Sal	80	5	Bandit	Protects the firm’s public image and client relations at severe cost to Sal’s career and security.
