Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
She stuffs her bra so people will pay attention to her and not to Gloria	Claire	Claire’s social image / party guests	38	18	Bandit	She gains some shallow attention at the cost of insecurity and petty competition with Gloria.
She enviously stares at Gloria’s cleavage in Haley’s photo	Claire	Claire	30	45	Helpless	Her comparison only feeds her own insecurity without affecting others much.
Claire drinks heavily around the time of Phil’s proposal, ending up on “day two of a St Patrick’s Day hangover”	Claire	Claire	25	55	Helpless	Overdrinking gives her a bad hangover while providing no clear ongoing benefit to her or harm to others.
She rarely blocks Phil’s manchild schemes (magic, inventions, odd purchases, etc.)	Claire	Phil and family outcomes	78	70	Intelligent	Letting Phil proceed often leads to positive outcomes for the family and affirms his individuality, despite some chaos.
She helps fix situations that Phil’s shenanigans create	Claire	Family / Phil	80	80	Intelligent	Her cleanup work benefits the whole family and reinforces her role without evident downside.
She accepts being “Best Person” for Mitchell and leans into punning on the title during her speech	Claire	Mitchell and wedding guests	82	88	Intelligent	She honors Mitchell and adds humor to his wedding, strengthening bonds with no real cost.
She trips, falls, gets things spilled on her, and is physically embarrassed frequently	Claire	Claire	20	55	Helpless	These recurring mishaps physically and socially disadvantage her more than anyone else.
She becomes less controlling over time, especially with her children	Claire	Her children / family	85	88	Intelligent	Relaxing control improves relationships and reduces conflict while lowering her own stress.
She develops a better relationship with Gloria in later seasons	Claire	Gloria	88	90	Intelligent	Building friendship with Gloria benefits both emotionally and reduces rivalry.
When agitated or stressed, she moves her hands around	Claire	Claire	48	50	Helpless	This nervous tic signals stress and offers no benefit while revealing her agitation.
Her family casually insults her, especially Phil, often without noticing	Family members	Claire	20	60	Bandit	They maintain their own comfort and humor at the ongoing emotional expense of Claire.
When she predicts problems, her family ignores her warnings	Phil and kids	Phil and kids	35	25	Stupid	Ignoring accurate warnings leads to preventable problems without real benefit to them.
When things go wrong as she predicted, they complain about her “always thinking she’s right” instead of learning	Phil and kids	Claire	32	20	Stupid	They harm trust and stay irrational without gaining anything.
She takes over every parent activity at her kids’ school very seriously	Claire	School community / Gloria	60	55	Intelligent	Her over-involvement can be overbearing but generally improves events and order.
She regularly butts heads with Gloria over school activities	Claire	Gloria	40	40	Stupid	The clashes create stress and conflict without clear benefit to anyone.
She acts bossy to Phil	Claire	Phil	55	40	Bandit	Her bossiness can secure control and outcomes she prefers while undermining Phil’s autonomy.
She tries to control Haley’s dating life and push her away from partying toward studying	Claire	Haley	72	65	Intelligent	Her overcontrol strains relations but ultimately aims at and often yields better prospects for Haley.
In “The Last Walt” she tries to control how Luke grieves over Walt	Claire	Luke	38	20	Stupid	Forcing a grief style hurts Luke emotionally and offers Claire no clear gain beyond illusory control.
She and Mitchell go to each other when one has a problem	Claire	Mitchell	90	92	Intelligent	Mutual emotional support benefits both siblings with stronger coping and closeness.
She goes all out with scary Halloween decorations and costumes	Claire	Neighborhood trick-or-treaters	60	42	Bandit	She gets major personal satisfaction from horror while causing fear and discomfort to others.
She goes overboard one Halloween, making children cry and giving an adult a heart attack	Claire	Children and neighbor adult	10	5	Stupid	The outcome is extreme harm to others and reputational damage to herself, far outweighing any thrill.
She complies with the petition to remove scary decorations and be more “family friendly” next year	Claire	Neighborhood	65	78	Intelligent	Adjusting her behavior restores community relations and reduces conflict while still allowing participation.
She put her career on hold to stay home and raise Haley when she became pregnant	Claire	Claire’s career	35	80	Helpless	She sacrifices her own career advancement to provide direct benefit and stability for her children.
She takes on community projects and becomes desperate for a job before joining Jay’s company	Claire	Claire’s employment prospects	70	65	Intelligent	Pursuing work and then joining Jay’s firm improves her self-fulfillment and finances while contributing productively to the business.
In “Benched,” when Alex asks for more money, Claire gives it to her	Claire	Alex	70	75	Intelligent	She meets Alex’s request, which helps Alex and costs Claire little.
Then she humiliates Alex in front of her friends to “teach her to screw with me”	Claire	Alex	20	10	Stupid	The public humiliation damages Alex and their relationship while offering Claire only spiteful, short-lived satisfaction and long-term fallout.
In “Treehouse,” Claire gets mad at Haley’s complaint that she has no obstacles	Claire	Haley	40	45	Bandit	Her anger asserts her viewpoint but dismisses Haley’s feelings, slightly harming trust.
She drives Haley to the middle of nowhere under false pretenses, then strands her there	Claire	Haley	5	5	Stupid	She endangers Haley with potential serious harm and gains only an ill-conceived sense of “lesson teaching” that backfires.
She never faces consequences for the Treehouse incident	Family / authorities	Claire	60	25	Bandit	The lack of repercussions preserves Claire’s status but implicitly validates dangerous behavior toward Haley.
She fiercely goes after anyone who upsets her kids (Mama Bear behavior)	Claire	Perceived threats to kids	75	65	Bandit	Her aggression protects her children but can unfairly harm others and escalate conflicts.
She plays physically and emotionally rough as the stricter parent compared to Phil	Claire	Her children	55	45	Bandit	Her toughness may instill discipline but risks emotional and physical overreach at the kids’ expense.
She pitches marriage proposal ideas to Mitchell that are “nothing short of cruel,” which she finds romantic	Claire	Mitchell	40	30	Stupid	Her taste for cruelty as romance risks traumatizing or distressing Mitchell without any clear net gain for her.
She maintains the scariest house in the neighborhood on Halloween	Claire	Neighborhood	62	38	Bandit	She maximizes her own enjoyment and reputation for horror while unsettling neighbors and visitors.
She inconsistently becomes as immature as her children, as insensitive as Jay, and as goofy as Phil	Claire	Family	40	45	Stupid	Her regression into others’ worst traits creates needless friction and chaos without distinct benefit.
She repeatedly vetoes Haley’s revealing or “sexy” fashion choices	Claire	Haley	68	60	Intelligent	Her vetoes reduce harassment risk and future regret for Haley, even though they limit Haley’s immediate autonomy.
She focuses so much on Haley’s laziness that she ignores sleep-deprived Alex wandering the house reading a textbook	Claire	Alex	20	15	Stupid	Her tunnel vision on Haley causes harmful neglect of Alex’s serious stress.
She only realizes Alex’s pressure after attending an open house at Alex’s school	Claire	Alex	65	70	Intelligent	Recognizing Alex’s burden allows her to adjust her parenting in a more supportive direction.
She treats Phil as “the kid she’s married to” and describes living with “four teenagers”	Claire	Phil	55	40	Bandit	This framing gives her rhetorical authority while diminishing Phil’s status as a partner.
She and Phil decide to get married after learning she is pregnant with Haley	Claire and Phil	Claire, Phil, and unborn Haley	72	78	Intelligent	The shotgun wedding creates family stability and long-term mutual support despite the rushed timing.
Dylan openly admits to Claire he’d marry her if he weren’t dating Haley and Phil were gone	Dylan	Claire	40	30	Stupid	His confession is awkward and inappropriate, risking relationships while offering him no tangible benefit.
Dylan reveals he had a wet dream involving Haley and Claire together, feeling guilty about it	Dylan	Claire and Haley	25	20	Stupid	Disclosing this disturbs both women and burdens them emotionally while deepening his guilt.
Gloria threatens Claire that if she sees her without makeup, it will be “the last thing you ever see”	Gloria	Claire	45	35	Bandit	The hyperbolic threat protects Gloria’s vanity at the cost of intimidating Claire.
Dede constantly talks down to Claire, brings up past mistakes, and tries to annoy and embarrass her	Dede	Claire	20	15	Stupid	Dede’s ongoing belittling harms Claire and family harmony without bringing Dede real benefit beyond petty malice.
