Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Starts drinking heavily from a very young age	Lip	Lip	10	10	Stupid	Long-term alcoholism severely harms him and offers no benefit to anyone.
Attends AA in Season 7	Lip	Lip	75	70	Intelligent	Seeking treatment improves his chances of recovery and reduces harm to others around him.
Falls off the wagon repeatedly	Lip	Lip	15	20	Stupid	Relapsing undermines his own recovery and destabilizes those around him.
Frequently attacks his father when Frank screws up or hurts someone	Lip	Frank	40	35	Bandit	He vents anger and maybe protects others but escalates violence and consequences.
Protects his younger siblings fiercely	Lip	Younger siblings	70	80	Intelligent	Being protective costs him effort but significantly helps keep them safe.
Coasts through high school instead of applying himself	Lip	Lip	35	50	Helpless	Underperforming squanders his potential without clearly helping anyone else.
Accepts Mandy applying to colleges on his behalf	Lip	Lip	70	70	Intelligent	Letting her push him toward college benefits him and gives others hope for his future.
Uses his smarts to steal credit cards	Lip	Victims of theft	65	5	Bandit	He gains money and thrills at substantial financial harm to strangers.
Uses his smarts to fake tests for others for pay	Lip	Clients / school	60	20	Bandit	He profits and they pass, but it corrodes academic integrity and risks sanctions.
Intends to sell the Gallagher house despite younger siblings living there	Lip	Debbie, Carl, Liam	30	15	Bandit	He seeks financial/strategic gain while making his siblings potentially homeless.
Tells all siblings to prepare to find their own places	Lip	Siblings	35	20	Bandit	He offloads responsibility and pushes them out, causing stress and risk for them.
Fails to remember Liam is only ten and dependent on older siblings	Lip	Liam	25	20	Stupid	His neglectful planning endangers a child without providing him clear benefit.
Adopts Liam after realizing the homelessness risk	Lip	Liam	80	85	Intelligent	Taking legal/parental responsibility helps Liam greatly and grounds Lip as a parent.
Warns the social worker about dangers of placing Karen’s baby in a bad home	Lip	Unborn baby	70	90	Intelligent	He spends effort to ensure the baby’s safety, mainly benefiting the child.
Insists on finding a safe, loving adoptive environment for the baby	Lip	Unborn baby	70	95	Intelligent	He pushes for a good home with little personal gain but high benefit to the child.
Rejects Mandy semi-moving in and doing his laundry	Lip	Mandy	55	40	Bandit	He protects his autonomy while hurting her feelings and relationship hopes.
Assaults Helene’s son, thinking he’s a rival	Lip	Helene’s son	20	5	Bandit	Driven by jealousy he risks serious trouble for dubious emotional “relief” and harms the boy.
Goes to Helene’s house after breakup, drunkenly demanding she come out	Lip	Helene	10	10	Stupid	His outburst jeopardizes her career and his reputation with no real gain.
Develops fixation where he can’t get aroused unless thinking of Helene	Lip	Lip	20	45	Helpless	Obsession restricts his own functioning while not clearly affecting others positively.
Smashes up several cars in a drunken rage	Lip	Car owners / college	5	10	Stupid	He destroys property, gets caught, and gains nothing.
Gets caught by campus security and is expelled	Lip	Lip	5	40	Stupid	Expulsion devastates his prospects and also wastes institutional resources.
Tells Fiona he’ll inevitably get a much better job and support the family	Lip	Fiona	45	40	Bandit	Boosts his ego and perhaps offers hope while demeaning her sacrifices.
Searches for pedophiles after man masturbates in front of Debbie	Lip	Potential pedophile	65	75	Intelligent	He risks himself to protect neighborhood kids from sexual predators.
