Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Adopts twelve orphans for the government stipend	Bender	Orphans	70	10	Bandit	Gains money and free labor while seriously neglecting and exploiting the children.
Barely feeds the twelve orphans to save money	Bender	Orphans	75	5	Bandit	Saves himself ongoing expenses at the cost of the kids’ health and well‑being.
Tries to abandon the twelve orphans at a bar to go off with a female robot	Bender	Orphans	80	0	Bandit	Attempts to rid himself of responsibility so he can pursue pleasure, completely discarding the children.
Tries selling the twelve orphans to a Chinese restaurant	Bender	Orphans	85	0	Bandit	Seeks direct profit by effectively trafficking the kids as meat with no benefit to them.
Sells his unnamed firstborn son to the Robot Devil for an army	Bender	Firstborn son	90	0	Bandit	Gains a powerful army in exchange for damning his child, who is terrified and harmed.
Refuses to take his firstborn son back, saying “No backsies”	Bender	Firstborn son	92	0	Bandit	Reaffirms the deal to keep his benefit (the army) while prolonging his son’s suffering.
Acts as a loving and supportive father to Ben	Bender	Ben	70	80	Intelligent	Invests time and care in his second son, benefiting both Ben and his own emotional bonds.
Swears he’ll tap-dance on the evil girl’s grave after losing the contest	Bender	Evil little girl	60	40	Bandit	Empty spiteful vow slightly boosts his ego while expressing ill will toward another.
Tap-dances on the dead girl’s body because he doesn’t want to wait	Bender	Dead girl	65	10	Bandit	Satisfies his spiteful desire at her expense, with no intended benefit to her.
Accidentally resuscitates the girl by tap-dancing over her heart	Bender	Dead girl	50	85	Intelligent	Unintentionally revives her while at least getting the satisfaction of keeping his vow.
Flees the helium mine intending to abandon his coworkers during the disaster	Bender	Fry, Leela, miners	70	5	Bandit	Improves his own chances of survival by trying to leave everyone else to die.
Unknowingly carries a miner in his chest to safety while fleeing	Bender	Miner	55	80	Intelligent	His escape attempt incidentally saves the miner’s life without harming himself.
Returns to the mine repeatedly to rescue all the miners once he sees the TV coverage	Bender	Miners	65	90	Intelligent	Chooses ongoing risky rescues to preserve his new heroic image while saving many lives.
Stops drinking when depressed, causing himself malfunction	Bender	Bender	20	50	Helpless	Harms his own functioning by withholding the alcohol he physically needs, with no clear effect on others.
Crashes a ship full of dark matter while alcohol-deprived	Bender	Ship crew / penguins	10	5	Stupid	Lack of alcohol-induced incompetence leads to a crash that harms both himself (responsibility/danger) and others.
Causes dark matter to spill onto the penguins of Pluto	Bender	Penguins of Pluto	40	5	Bandit	Escapes immediate personal damage from the spill while inflicting ecological harm on the penguins.
Attempts to romance the Crushinator	Bender	Crushinator	55	55	Intelligent	Pursues a consensual romantic interest with no shown harm or exploitation.
Begins dating the giant vending machine Bev	Bender	Bev	60	60	Intelligent	Mutual relationship that leads to offspring, benefiting both partners within the story given.
Impregnates Bev	Bender	Bev / Ben	55	60	Intelligent	Creates a wanted child in that relationship and later gains a meaningful bond with Ben.
Has a brief romance with the Planet Express ship	Bender	Planet Express ship	55	55	Intelligent	Engages in a mutual fling; no indicated negative consequence to either.
Dates Amy and then breaks up when she insists on monogamous marriage	Bender	Amy	60	40	Bandit	Retains his preferred lifestyle at the cost of Amy’s romantic hopes, though they remain amicable.
Invents the fictitious robot holiday “Robonica” to get out of work	Bender	Planet Express coworkers	75	30	Bandit	Evades labor and likely gains extra leisure by deceiving coworkers with a fake oppressed-identity holiday.
Accuses coworkers of Fantastic Racism for not knowing about Robonica	Bender	Planet Express coworkers	70	35	Bandit	Weaponizes false discrimination claims to shield his scam, marginally harming trust and social cohesion.
Throws a bottle on the ground at the Blernsball game to illustrate robot exploitation	Bender	Young robot cleaner	40	40	Helpless	Proves his point rhetorically by creating more demeaning work for another robot without real gain.
