Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Michael goes undercover as a bartender	Michael	Bar patrons / experiment	60	55	Intelligent	Helps his investigative/undercover goals with no shown harm to others.
Michael signs up for guitar lessons as a human	Michael	Guitar instructor	70	60	Intelligent	Gives himself meaningful human experience while providing work/social benefit to the instructor.
Michael laughs in joy after burning his hand on a microwave meal	Michael	Michael	30	55	Helpless	He harms himself for no benefit while others are at worst unaffected.
Michael achieves life goal by getting a useless reward card and using the phrase "Take it sleazy"	Michael	Sender of junk mail / clerk	65	55	Intelligent	Satisfies a deep personal desire with negligible effect on others.
Michael admits he’s willing to save the four humans even if it ruins the timeline	Michael	Four humans	40	80	Helpless	He risks extreme personal consequences to greatly benefit the humans.
Michael designs a fake Good Place neighborhood to torture four humans	Michael	Eleanor, Chidi, Tahani, Jason	70	5	Bandit	His career and curiosity advance while the four suffer intense psychological torture.
Michael goes undercover as Good Place architect to manage the fake neighborhood	Michael	Four humans	65	10	Bandit	Deception protects his project and career while prolonging the humans’ torment.
Michael repeatedly reboots the neighborhood after failures	Michael	Four humans	40	10	Bandit	He gains time and data at the cost of their memories and repeated torture, but his own stress and risk also mount.
Michael kicks a dog into the sun, then restores it	Michael	Dog & owner	55	15	Bandit	He amuses himself and diagnoses a “glitch” while callously risking the dog and upsetting its owner.
Michael decides to take Chidi’s Trolley Problem and enact it “for real” in simulation	Michael	Chidi & simulated victims	35	10	Bandit	He learns and entertains himself while seriously traumatizing Chidi and abusing simulated beings.
Michael goes to Earth and loses his demon lying ability	Michael	Michael	40	50	Helpless	He loses a powerful advantage with no compensating gain described in that moment.
Michael rejects the Bad Place and tries to save humanity	Michael	Humanity	60	95	Intelligent	He risks status and safety to overhaul a broken system for everyone’s benefit, including his own moral growth.
Michael becomes an architect of a new system ensuring everyone can reach the Good Place	Michael	Humanity	75	98	Intelligent	Greatly improves cosmic justice while gaining purpose, status, and alignment with his values.
Michael chooses to become a human permanently	Michael	Michael (future self)	85	90	Intelligent	He trades immortality for a finite but fulfilling human life and eventual peaceful end.
Michael works himself into a frenzy trying to control chaos caused by Eleanor	Michael	Himself & neighborhood residents	30	45	Helpless	His overcontrol harms his own well-being and fails to help others.
Michael clicks his fingers to use his powers in various ways	Michael	Various others	60	55	Intelligent	Power use generally serves his goals without described broad harm in this summary.
Michael becomes a bad boss, nastily venting at incompetent demons	Michael	Demon subordinates	35	20	Stupid	His cruelty demoralizes staff and leads to mutiny, hurting both himself and them.
Michael ignores demons’ torture ideas while obsessing over his own plan	Michael	Demon team	40	25	Stupid	His rigidity alienates allies and weakens their project without clear benefit.
Michael’s bad leadership enables Vicky’s coup and blackmail	Michael	Michael & Team Cockroach	20	20	Stupid	His mismanagement directly causes loss of control and new threats to everyone.
Michael admits to drinking and rambling about failed attempts in front of mind-wiped Eleanor	Michael	Michael	30	40	Helpless	His breakdown relieves little stress and risks exposing his secret with no gain.
Michael cannot go through with destroying Janet despite it being expedient	Michael	Janet	55	80	Intelligent	He preserves a valued friend and ally, accepting higher personal risk to do the right thing.
Michael breaks down confessing he doesn’t know if the humans are safe	Michael	Four humans	60	80	Intelligent	Vulnerability strengthens trust and solidarity, indirectly helping the group and himself.
Michael openly states the four humans are the only thing he cares about	Michael	Four humans	65	80	Intelligent	Cements loyalty and relational depth that later protects everyone.
Michael kicks Jason out of the room and drops his nice façade around him	Michael	Jason	55	45	Intelligent	He vents with someone too dim to threaten the plan, with little effect on others.
Michael stops Eleanor from cutting up Patricia’s dolls	Michael	Patricia	60	75	Intelligent	He prevents petty harm and nudges Eleanor toward healthier behavior, with no cost to himself.
Michael lets out an evil laugh and slasher smile once Eleanor discovers his game	Michael	Four humans	55	10	Bandit	He enjoys revealing dominance and deepening their terror, with no benefit to them.
Michael teams up with the humans after repeated failures to cover himself	Michael	Four humans	65	60	Intelligent	Initially self-serving, the alliance ends up improving chances for all sides.
Michael sacrifices a high council spot from Shawn to rescue the humans from torture	Michael	Four humans	35	90	Helpless	He gives up major promotion and security to save them from eternal torment.
Michael designs the fake Good Place to be a psychological hell “for the evulz”	Michael	Four humans	70	5	Bandit	He seeks novel sadistic entertainment and prestige while others suffer endlessly.
Michael repeatedly reboots despite realizing the plan will never work	Michael	Michael	20	45	Helpless	He grinds himself down for a failing project that barely advances his interests.
Michael proposes killing the four humans’ physical bodies on Earth to save their souls	Michael	Four humans	40	60	Helpless	He contemplates great personal risk and messy action primarily to help them avoid worse fates.
Michael feigns allegiance in a roast while hiding escape clues for the humans	Michael	Four humans	70	85	Intelligent	He protects his cover and enables their escape simultaneously.
Michael whispers selectively to Janet to frame Vicky and aid the humans’ escape	Michael	Vicky & demons	70	60	Bandit	He secures advantage and safety for himself and the humans by harming Vicky’s standing.
Michael descends to Earth multiple times against Gen’s orders to guide the humans	Michael	Four humans	35	85	Helpless	He risks severe punishment to give them extra chances to improve.
Michael gets Eleanor to confront her mother and seek closure	Michael	Eleanor	70	80	Intelligent	His push is painful but leads to healthier emotional resolution for Eleanor.
Michael rescues four humans from death to give them a second chance at life	Michael	Four humans	45	90	Helpless	He breaks rules and endangers himself to massively benefit their prospects.
Michael constantly intervenes in their lives on Earth to nudge them toward good	Michael	Four humans	40	80	Helpless	His covert meddling is risky to him but largely improves their development.
Michael later helps those humans save the souls of many other people	Michael	Humanity	80	98	Intelligent	He gains deep purpose and redemption while enabling mass salvation.
Michael faces bureaucrats and pushes for reform of the broken system	Michael	Celestial bureaucracy	70	90	Intelligent	He secures systemic fixes that help everyone and fulfill his moral goals.
Michael calls Gen’s attention to externalities (like exploited labor) in point calculations	Michael	Humanity	75	95	Intelligent	He clarifies flaws causing unjust damnation, benefiting billions with little personal downside.
Michael angrily chews out the Accountants and Good Place Committee for inaction	Michael	Accountants & Committee	60	70	Intelligent	His harshness is productive, pushing complacent authorities toward needed action.
Michael convinces Gen to change the system after she experiences Earth	Michael	Gen	80	95	Intelligent	He gains an ally with supreme authority, unlocking reform for all.
Michael refuses to take off his skin suit, hiding his true fire-squid form	Michael	Team Cockroach	45	70	Helpless	His self-loathing denies them fuller trust while slightly protecting their comfort.
Michael avoids showing Eleanor footage of how cruel he used to be	Michael	Eleanor	50	70	Intelligent	He shields her from trauma while accepting his own guilt privately.
Michael gives up complete immortality when choosing to become human	Michael	Michael	80	90	Intelligent	He trades infinite but stagnant existence for meaningful finitude and eventual peace.
Michael drinks and has a mid-life crisis after contemplating mortality	Michael	Michael	25	55	Helpless	He self-sabotages in response to dread without solving his existential problem.
Michael later embraces ordinary human life, delighted by mundane things	Michael	Human friends	85	85	Intelligent	His joy enriches his own life and positively affects those around him.
Michael takes ethics lessons from Chidi	Michael	Himself	80	90	Intelligent	He gains moral understanding that later saves countless beings.
Michael uses knowledge of demons and humans to rig an elaborate plan that fools Shawn	Michael	Shawn & demons	75	65	Bandit	He safeguards himself and the humans by deceiving and undermining his superiors.
Michael subtly nudges Eleanor (post-reset) to seek out Chidi at St. John’s	Michael	Eleanor	70	80	Intelligent	He promotes her moral growth and his own plan’s success simultaneously.
Michael gets Vicky to change her mind and take charge of the project in Season 4	Michael	Vicky	65	75	Intelligent	He redeploys her ambition toward constructive work that stabilizes their experiment.
Michael threatens to kill the four humans if Shawn exposes the reboots (implied leverage)	Michael	Four humans	45	30	Bandit	He uses their lives as bargaining chips to preserve his plan and safety.
Michael tells Trevor to fork off and insists on keeping Eleanor in “Good Place” (while still evil)	Michael	Eleanor	55	25	Bandit	He protects his experiment and personal stake while temporarily sparing her from being taken away.
Michael signs a contract accidentally making him head of the real Good Place	Michael	Residents of Good Place	90	95	Intelligent	The “accident” yields him power and responsibility to radically improve paradise for everyone.
Michael chooses to go back to the Bad Place to rescue Janet	Michael	Janet	35	85	Helpless	He endures severe psychological harm and risk mainly to save his friend.
Michael marbelizes and erases Janets when needed during early reboots	Michael	Janet	60	20	Bandit	He preserves his project and cover at the cost of her continuity and autonomy.
Michael uses Oblivious Guilt Slinging and jokes to subtly mock residents	Michael	Residents	60	30	Bandit	He entertains himself and advances torture by needling others.
Michael invents and runs the “Trolley Problem” gore simulation repeatedly for Chidi	Michael	Chidi	45	15	Bandit	He explores ethics and amuses himself while deeply traumatizing Chidi.
Michael chooses not to show his true form because he fears his friends’ disgust	Michael	Michael	40	70	Helpless	His insecurity keeps him from deeper authenticity while sparing them shock.
Michael accepts ownership of the real Good Place and the task of fixing it	Michael	Good Place residents	85	95	Intelligent	He gains a fulfilling role and authority while solving eternal stagnation for all souls there.
Michael deliberately lives a modest, non-extravagant life on Earth using Janet’s limited funds	Michael	Human society	80	85	Intelligent	He enjoys a grounded, sustainable life and integrates healthily into human community.
Michael names his dog after Jason	Michael	Dog / memory of Jason	80	80	Intelligent	He gains emotional comfort and honors his friend in a harmless, affectionate way.
