Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
He goes off on his girlfriend over her using spaces instead of tabs	Richard	Girlfriend	15	10	Stupid	Harms the relationship over a trivial coding preference with no meaningful benefit to himself.
He chooses to always take the ethical road in tech decisions	Richard	General others/users	70	90	Intelligent	His insistence on ethical choices costs him personally at times but broadly benefits others.
He accepts investment from an extremely unethical source	Richard	Pied Piper stakeholders	55	20	Bandit	He gains needed funding while exposing others and the company to unethical influence and risk.
He builds the first platform with no UI, only usable by coders	Richard	Potential users/market	40	10	Stupid	He produces something that mostly benefits no one but wastes his effort and makes the product unusable for most.
He only asks his engineer friends for design input	Richard	Potential users/market	45	20	Stupid	His narrow testing helps his comfort circle but results in a product misaligned with user needs and market.
He disregards the practical gaming-console idea to focus on platform	Richard	Company/partners	30	15	Stupid	He sacrifices a viable funding path and product strategy to satisfy his own obsession, undermining company survival.
He goes over Jack Barker’s head to get Jack fired	Richard	Jack Barker	25	10	Stupid	Removing Jack destroys a funding deal and revenue path, hurting the firm and leaving Richard worse off financially.
He often needs Erlich’s help in situations requiring charisma or sales	Richard	Erlich	60	65	Intelligent	Delegating social tasks to someone better suited mitigates his weaknesses and improves outcomes for the company.
After Season 4 antics, he has a heel realization and tries to keep Pied Piper ethical	Richard	Pied Piper stakeholders	65	80	Intelligent	Recognizing his misbehavior and recommitting to ethics aids both his integrity and others.
He redesigns an entire platform literally overnight	Richard	Company/users	80	75	Intelligent	His extreme coding effort advances the product and company success at some personal cost.
He arrogantly tells Gilfoyle and Dinesh they cannot scale the algorithm without him	Richard	Gilfoyle and Dinesh	65	35	Bandit	Though rude, he accurately asserts his unique value, boosting his leverage while belittling colleagues.
He finishes the departed employees’ entire workload by himself	Richard	Company/clients	75	70	Intelligent	His solo effort keeps operations going and benefits the business and others despite personal strain.
He decides to shut down Pied Piper upon learning it can break all encryption	Richard	Society at large	35	95	Helpless	He sacrifices massive personal and corporate gain to prevent large-scale societal harm.
He often tries to hide his wrongdoings if he thinks he can get away with it	Richard	Friends/colleagues	55	25	Bandit	Concealment protects him from consequences while exposing others to hidden risks and fallout.
He tries to steal Gwart’s program	Richard	Gwart	40	20	Bandit	Attempting to take credit/code benefits him at Gwart’s expense and risks his reputation.
He messes up the gang’s plans at Hoolicon while hiding his role	Richard	Gang/colleagues	45	20	Stupid	His secretive meddling creates problems for the team and provides him little lasting benefit.
He consoles Seth and tells him they didn’t do anything to break his security	Richard	Seth	60	10	Stupid	His oversharing provokes Seth into threatening sabotage, creating outsized risk for minimal personal gain.
He tells Seth that Gilfoyle was never worried, reigniting Seth’s rage	Richard	Seth and Gilfoyle	35	5	Stupid	This needless remark again enrages Seth and endangers the company, while offering him no benefit.
He takes his secret skunkworks plans to the office despite a directive to shred all evidence	Richard	Himself/company	5	10	Stupid	Blatantly ignoring security instructions invites catastrophic exposure with virtually no upside.
He is able to inspire new employees to believe in PiperNet and beat Gavin, Laurie, and Yao	Richard	New employees/rivals	85	70	Intelligent	His leadership galvanizes his team and secures victory, strongly benefiting him and his people while only competitively harming rivals.
He lashes out at everyone when he feels he’s being pushed out of his own company	Richard	Friends/colleagues	30	20	Stupid	Though emotionally understandable, the outburst strains alliances and undermines his position.
He dismisses his friends’ excellent video chat application because it’s not his idea	Richard	Friends/the project	25	15	Stupid	Ego leads him to devalue a strong product, harming the team and the company with little gain to himself.
He tries to hack every visitor at Hooli Con with the Pied Piper app	Richard	Hooli Con visitors	40	15	Bandit	He seeks massive data/control advantages by covertly exploiting users, at their potential expense.
He hacks his ex-girlfriend’s new boyfriend’s screensaver out of jealousy	Richard	Ex-girlfriend’s boyfriend	20	10	Stupid	Jealous meddling exposes his larger scheme, jeopardizing him and others for trivial emotional gratification.
His actions lead to Keenan’s VR company being acquired by Hooli, causing Erlich to lose the deal and his job	Richard	Erlich/Keenan	30	10	Stupid	Unintended consequences severely harm Erlich and the VR deal, and ultimately rebound negatively on Richard.
He lies about being responsible for the Keenan/Hooli situation	Richard	Friends/partners	45	15	Bandit	Lying shields him from blame while leaving others misinformed and bearing the costs.
