Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
She blows her cover as a born-again convert to warn of Cersei's plot in the Great Sept	Margaery	Everyone in the Great Sept (nobles, Faith)	10	40	Helpless	She sacrifices her hard-won position and safety to try to save others, but dies with them.
She very pointedly tells the High Sparrow to "forget about the bloody gods"	Margaery	High Sparrow	5	30	Helpless	Openly defying him ruins her protection without saving anyone, but at least tries to refocus him on the real danger.
She supports Joffrey over Stannis, enabling further Lannister atrocities	Margaery	Realm / victims of Lannisters	60	5	Bandit	Backing a cruel but winning side advances her queenly ambitions while prolonging others’ suffering.
She attempts to remove Cersei from power for slightly more influence	Margaery	Cersei	55	40	Bandit	Undermining Cersei increases her own sway and likely governance quality, but is still self-serving and destabilizing.
She basically sexually exploits Tommen	Margaery	Tommen	55	15	Bandit	Secures tighter control and emotional leverage over him at the cost of his autonomy and well-being.
She pragmatically marries Renly, Joffrey, and Tommen to be Queen	Margaery	Husbands / political rivals	70	40	Bandit	Serial political marriages maximize her power but treat spouses as tools and help entrench contested regimes.
She reminds Renly he must father an heir despite preferring Loras	Margaery	Renly	65	45	Bandit	Strengthens her position and alliance by pressuring him into sex and succession duties.
She and Olenna pry information about Joffrey from Sansa while comforting her	Margaery	Sansa	65	55	Intelligent	The intel helps House Tyrell, and the emotional support and potential rescue benefit Sansa.
She tries to get Sansa out by convincing her to marry Loras	Margaery	Sansa	70	80	Intelligent	A politically useful match for Tyrells that would also free Sansa from Lannister captivity.
She is horrified and guilty when she learns Olenna killed Joffrey for her	Margaery	Herself	30	40	Helpless	Emotionally harms herself and offers no benefit beyond moral awareness and empathy for victims.
She seeks a meek husband like Tommen to better manipulate him	Margaery	Tommen	65	25	Bandit	Gains easier control over the throne by exploiting his malleability, which leaves the realm with a weak king.
She plays along with the Faith Militant to try to save Loras	Margaery	High Sparrow / Loras	20	35	Helpless	Degrading collaboration slightly improves Loras’s short-term prospects but fails to prevent his maiming and their deaths.
She becomes furious with the High Sparrow when he maims Loras despite their deal	Margaery	High Sparrow	10	5	Helpless	Her outrage changes nothing and leaves her still trapped, offering only moral protest.
She uses no-sex gambits on Tommen to force him to free Loras	Margaery	Tommen	55	20	Bandit	Weaponizing sex may advance her brother’s release at the cost of Tommen’s emotional stability and agency.
