Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Avon outmaneuvers Daniels during a car tailing	Avon	Daniels	78	20	Bandit	Evades police surveillance, protecting himself while hampering law enforcement.
Avon figures out Marlo’s long-term plan from a brief inmate conversation	Avon	Marlo & Co-Op	85	35	Bandit	Gains critical strategic insight that helps his position and threatens rivals’ stability.
Avon finger-wags Daniels after shaking off the police tail	Avon	Daniels	60	40	Intelligent	Minor ego boost and assertion of power without real added harm beyond what evasion already caused.
Avon orchestrates a mass poisoning in prison to force early release	Avon	Prison inmates	92	5	Bandit	Greatly advances his freedom at the cost of lethal harm to other inmates.
Avon offers to testify against the “culprit” of the poisoning to secure early release	Avon	Framed “culprit”	90	10	Bandit	Uses testimony to get out early, sacrificing the guard for his own gain.
Avon runs a generally benevolent, rewarding regime for his crew	Avon	His gang	80	75	Intelligent	His fair treatment strengthens loyalty and operational success for everyone in the organization.
Avon wages war against Marlo to defend his pride and territory	Avon	Marlo’s organization	35	15	Stupid	His stubborn war depletes his power base and draws heavy police heat with little gain.
Avon orders murders as routine tool of business	Avon	Rivals/informants	82	8	Bandit	Consolidates his power and profits by inflicting lethal harm on others.
Avon has a girlfriend killed for threatening to go to the cops	Avon	Girlfriend	70	10	Bandit	Removes a legal threat and protects himself at the cost of her life and later prosecution risk.
Avon surrenders peacefully during his first major arrest and has Stringer open the safe	Avon	Himself & police	55	65	Intelligent	Minimizes property loss and danger while letting police do their job more safely.
Avon calmly waits in the nightclub for police to arrive at his arrest	Avon	Police	55	60	Intelligent	Accepts inevitable arrest without violence, reducing risk to himself and officers.
Avon orders his soldiers not to fight back when police surround the armory	Avon	His crew & police	60	70	Intelligent	Prevents a bloody shootout, limiting casualties and catastrophic charges for his men.
Avon deliberately crosses the prison baseball field mid-play to make everyone stop	Avon	Other inmates	65	40	Bandit	Affirms his dominance and ego while disrupting others’ recreation and reinforcing fear.
Avon pays for permanent care of his comatose brother	Avon	Brother	60	85	Helpless	Spends significant resources with no material gain to himself while greatly benefiting his brother’s care.
Avon arranges the death of Stringer Bell despite knowing it will hurt profits	Avon	Stringer	40	20	Stupid	Sacrifices a highly competent partner and business strength for revenge with net strategic loss.
Avon condemns Stringer’s plan to hit Omar while escorting his grandmother	Avon	Omar & his image	58	70	Intelligent	Protects his own “standards” reputation and reduces backlash from an especially offensive hit.
Avon mostly refrains from killing over insults except in Omar’s case	Avon	Rivals/insulters	52	48	Intelligent	Shows restraint on low-value killings, slightly benefiting his stability and others’ survival.
Avon recognizes the Co-Op’s negotiation plan for Marlo is futile and rejects it	Avon	Co-Op	70	40	Bandit	Improves his own strategic read and stance while undermining a flawed but less violent plan.
Avon mixes family with business by sending D’Angelo on a risky run with no backup	Avon	D’Angelo	15	20	Stupid	Endangers his heir and angers family, harming his organization and relations with little upside.
Avon sets Tilghman up to smuggle tainted drugs into prison	Avon	Tilghman & inmates	85	5	Bandit	Builds leverage for parole by causing inmate deaths and framing a guard.
Avon comes forward to name Tilghman as culprit to move up parole hearing	Avon	Tilghman	88	10	Bandit	Directly trades another man’s career and freedom for advancement of his own release.
Avon maintains control of his business and prison drug supply while incarcerated	Avon	Community at large	90	5	Bandit	Keeps profits and comfort flowing at the expense of wider social harm from the drug trade.
Avon spends prison time playing video games and eating KFC via influence	Avon	Prison system	75	35	Bandit	Secures personal comfort and status by corrupting/profiting from lax oversight.
Avon allows Cutty to leave the game and gives him money to start a boxing gym	Avon	Cutty	70	90	Intelligent	Spends modest capital and loses one soldier but gains moral capital and community improvement.
Avon reacts to Omar’s attempted hit by getting drunk with Stringer and Wee-Bey	Avon	Himself	35	45	Helpless	Copes in a self-destructive way that offers short-term relief but no strategic benefit.
Avon doubles the bounty on Omar upon learning he’s gay	Avon	Omar	65	10	Bandit	Increases incentive to kill a major enemy from prejudice, aiding his safety while inflaming targeted harm.
Avon implements advanced communication protocols to avoid police detection	Avon	Police	88	15	Bandit	Makes his empire more secure and profitable while significantly impeding law enforcement.
Avon tampers with project records to replace his image with a white man’s	Avon	Police	87	10	Bandit	Further shields himself from identification, hampering investigations.
Avon mentors D’Angelo to be his worthy successor	Avon	D’Angelo	70	75	Intelligent	Invests in grooming competent leadership, helping both his heir and long-term stability.
Avon refuses Stringer’s “legit” strategy and insists on violent corner dominance	Avon	Barksdale Organization	40	25	Stupid	Clings to a fading model that attracts heat and undermines longer-term, safer profit strategies.
Avon sponsors a local charity basketball game	Avon	Neighborhood	65	85	Intelligent	Buys goodwill and reputation while giving a genuine community benefit.
Avon gives Cutty further financial backing to get his boxing gym running	Avon	Cutty & local youth	72	90	Intelligent	Invests in positive community infrastructure with reputational and relational gains.
Avon vows never to go back to prison after his first release	Avon	Himself	40	50	Helpless	His determination is undercut by reckless choices that send him back, negating any benefit.
Avon experiences a Villainous BSoD after Stringer’s death, losing interest in his war	Avon	His organization	20	45	Helpless	His depression cripples his leadership, hurting his power while easing the gang war somewhat.
Avon accepts arrest and laughs at the end of his criminal career in Season 3 finale	Avon	Himself	30	55	Helpless	Resigns himself with no real resistance, limiting danger to others but sealing his own downfall.
Avon cultivates close, loyal relationships with Stringer and Wee-Bey	Avon	Stringer & Wee-Bey	70	65	Intelligent	Mutual loyalty strengthens operations and provides emotional support to all three.
Avon comes to view McNulty as a worthy opponent and adjusts to his presence	Avon	McNulty	68	55	Intelligent	Respecting the threat sharpens his defensive strategies and raises the game for both sides.
