Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Dean persistently makes unwanted romantic/sexual advances toward Jeff despite Jeff being straight and uncomfortable	Dean Pelton	Jeff Winger	40	20	Bandit	He gets some emotional gratification while repeatedly making Jeff uneasy and crossing his boundaries.
Dean keeps and updates a ranked list of students and faculty he finds attractive	Dean Pelton	Students and faculty	60	10	Bandit	He indulges his fantasies with little direct gain, while objectifying others and creating potential for discomfort and boundary violations.
Dean escalates his attraction to Jeff into outright sexual harassment and stalking	Dean Pelton	Jeff Winger	35	10	Bandit	He gratifies his obsession but greatly increases potential harm and distress for Jeff.
Dean habitually places his hand on Jeff's chest when exiting the study room	Dean Pelton	Jeff Winger	45	15	Bandit	He gets brief physical contact he desires while violating Jeff’s personal space.
Dean crossdresses and wears stripper-like outfits as part of his costume habits	Dean Pelton	Himself / onlookers	70	50	Intelligent	He expresses himself and enjoys it; others are mostly neutral to mildly entertained, with no clear stated harm.
Dean has a whole closet full of costumes in his office	Dean Pelton	Himself / Greendale community	75	55	Intelligent	He invests in a hobby that gives him joy and supports events, slightly benefiting campus culture.
Dean frequently drops into the study room in dumb costumes with irrelevant news	Dean Pelton	Study group	60	40	Bandit	He satisfies his need for attention and contact with the group while wasting their time and annoying them.
Dean listens in on the study group’s conversations with a cup to the wall to know when to enter	Dean Pelton	Study group	55	20	Bandit	He gains information and engineered entrances at the cost of invading their privacy.
Dean has a hard time resisting his lust for Jeff regardless of the situation and regularly lets it distract him	Dean Pelton	Jeff / bystanders	40	35	Stupid	His impulses undermine his professionalism and credibility while also making others uncomfortable with little real gain.
Study group bans the Dean from attending Save Greendale Committee meetings	Study group	Dean Pelton	60	30	Bandit	They protect their efficiency and comfort by excluding him, at the cost of his feelings and possible administrative help.
Dean buys and becomes addicted to an extremely lame virtual reality rig that makes him feel like a god	Dean Pelton	Himself	20	45	Helpless	He wastes time and likely resources while others are mostly unaffected or mildly inconvenienced.
Dean uses blackmail and bribes to get the student body—especially Jeff and Annie—to do what he wants	Dean Pelton	Students (esp. Jeff & Annie)	70	25	Bandit	He successfully manipulates others to achieve his goals while restricting their autonomy and comfort.
Dean is inexplicably catty toward Britta	Dean Pelton	Britta Perry	55	30	Bandit	He vents and entertains himself through put-downs while harming his relationship with her.
Dean openly dislikes Domingo and is not shy about letting him know during their fake publicity relationship	Dean Pelton	Domingo	45	30	Stupid	He relieves his own frustration only slightly while damaging a cooperation that supports his public image.
Dean helps instigate plots by stalking Jeff to get closer to him	Dean Pelton	Jeff Winger	35	20	Bandit	His obsession drives situations that bring him near Jeff at the expense of Jeff’s privacy and safety.
Dean goes overboard trying to create a perfect commercial to promote Greendale in “Documentary Filmmaking: Redux”	Dean Pelton	Himself / Greendale	30	40	Helpless	His overreach causes him stress and failure, providing only limited or dubious benefit to the school.
Dean becomes distraught when he learns Greendale will be stripped down and rebranded as “Subway University”	Dean Pelton	Himself	10	55	Helpless	His deep emotional investment leaves him devastated while not changing the outcome.
Dean’s incompetence in “Epidemiology” leads him to mistake hazardous experimental material for taco meat, causing a zombie outbreak	Dean Pelton	Greendale community	15	0	Stupid	He gets no benefit and endangers everyone with catastrophic, avoidable harm.
Dean hires the unqualified Chang as Spanish teacher mainly out of fear of appearing racist	Dean Pelton	Students / Greendale	35	10	Stupid	He protects himself from imagined accusations but saddles the college with an incompetent teacher, undermining education.
Dean’s actions in “Epidemiology” also help prevent a full Apocalypse How	Dean Pelton	Greendale community	55	80	Intelligent	Despite earlier mistakes, he ends up contributing significantly to averting total catastrophe, benefiting all including himself.
Dean creates the “Greendale Human Being” mascot out of political overcorrectness	Dean Pelton	Greendale community	55	45	Bandit	He advances his image as inclusive while imposing an awkward, confusing mascot that others find questionable.
Dean creates the non-denominational “Mr. Winter” out of political overcorrectness	Dean Pelton	Greendale community	55	45	Bandit	He preserves his reputation for inclusivity while generating a contrived symbol that offers limited real benefit to others.
Dean organizes college events obsessively because it’s the only way he can make Greendale and himself feel less like a failure	Dean Pelton	Greendale community	60	65	Intelligent	He gains purpose and self-worth while improving campus life with events, even if motivated by insecurity.
Dean wears ridiculous costumes to promote every school activity or event	Dean Pelton	Greendale community	70	60	Intelligent	He enjoys performing and draws attention to activities, modestly benefiting participation and morale.
Dean becomes more contemptuous of Britta as the seasons progress	Dean Pelton	Britta Perry	45	30	Stupid	His growing disdain yields him little beyond momentary satisfaction while eroding cooperation and goodwill.
Dean steps up as a competent paintball player and survives to the end with Jeff in “Modern Espionage”	Dean Pelton	Himself / Jeff	80	70	Intelligent	He improves his skills, helps win the game, and provides effective support to Jeff.
Dean hides in a transparent closet and avoids labeling his complex sexuality until Season 6	Dean Pelton	Himself	30	55	Helpless	His refusal to be open causes him inner conflict, while sparing others from direct harm.
School board pressures the Dean to label himself as exclusively gay as a publicity stunt to cover their homophobia	School board	Dean Pelton	65	15	Bandit	They protect their image while causing him distress and misrepresenting his identity.
Dean agrees to the board’s portrayal of him as a “Gay Dean” and does the publicity tour with Domingo	Dean Pelton	School board / public	25	40	Helpless	He sacrifices his comfort and authentic identity to help the board’s PR and support Greendale’s image.
