Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Donna drops tens of thousands of dollars on shares at the Snakehole Lounge	Donna	Snakehole Lounge owners / her own finances	65	60	Intelligent	She can afford the expense and it supports a local business/social life without clear negative fallout.
Donna chooses to live in Pawnee to live comfortably on a smaller budget while covering other expenses	Donna	Donna’s finances / dependents	85	65	Intelligent	Strategic cost-of-living choice benefits her and modestly benefits those she supports.
Donna earns her real estate license	Donna	Donna’s career/clients	95	80	Intelligent	Professional qualification greatly improves her prospects and lets her serve future clients.
Donna brokers Gryzzl’s $125M land purchase	Donna	Gryzzl / land sellers	90	90	Intelligent	She gains career/financial benefit while enabling a lucrative transaction for others.
Donna tells people not to touch her Mercedes	Donna	People near the car	70	60	Intelligent	Protects her property with a simple boundary that minimally restricts others.
Donna weaponizes her Star Wars knowledge to expose a reporter who hacked Leslie’s emails	Donna	Reporter from The Pawnee Sun	80	20	Bandit	She helps Leslie and herself by taking down the hacker, but it heavily harms the reporter.
Donna comes up with fake midichlorian email trap to expose the hacker at a press event	Donna	Hacker reporter	88	25	Bandit	Smart sting boosts her and Leslie’s position while publicly damaging the reporter.
Donna reads and enjoys supernatural/fantasy novels and imagines seducing Robert Pattinson	Donna	Donna	70	55	Intelligent	Personal entertainment and harmless fantasy improve her mood without affecting others.
Donna openly admits and enjoys geeky/genre tastes when pressed	Donna	Friends/coworkers	65	60	Intelligent	Self-expression gives her social connection and normalizes varied tastes for others.
Donna gets her nails done professionally instead of cultivating a secret artistic hobby	Donna	Nail technicians	70	60	Intelligent	Spending for expert service benefits her appearance and pays professionals.
Donna learns enough about computers to install a backup system	Donna	Office/colleagues	85	80	Intelligent	Her tech precaution protects her own and others’ data against failures.
Donna pushes Ginuwine to perform at the Unity Concert by threatening to reveal embarrassing childhood stories	Donna	Ginuwine	75	40	Bandit	She secures a performance that benefits her/community but uses coercive leverage that risks his reputation.
Donna names her Mercedes “Michael Fassbender” and proudly treats it as a prized possession	Donna	Donna / coworkers	60	55	Intelligent	Harmless personalization gives her joy and only mildly affects how others relate to the car.
Donna listens to others mock Jerry and realizes she’s been mean	Donna	Jerry	75	70	Intelligent	Self-reflection improves her behavior and signals more supportive treatment of Jerry.
Donna encourages the group to make amends to Jerry	Donna	Jerry / group	80	85	Intelligent	Advocating kindness helps Jerry and improves group dynamics, enhancing her standing too.
Donna helps when she sees someone needs help or the group is acting mean	Donna	Whoever needs help	85	85	Intelligent	Intervening for others’ benefit reinforces her relationships and moral authority.
Donna bankrolls April’s plan to troll pretentious judges at a wine tasting	Donna	Pretentious judges / April	60	20	Bandit	She spends discretionary money for shared amusement, slightly harming targets’ experience/reputation.
Donna maintains an estrangement from her brother LeVondrias over a microwaved popcorn incident and does not invite him to her wedding	Donna	LeVondrias	20	10	Stupid	Long-term family rift over a trivial incident harms both with no shown benefit.
Donna sleeps around frequently while remaining a valued team member	Donna	Various partners / coworkers	75	70	Intelligent	Her active sex life seems consensual and doesn’t hurt work, yielding personal and relational benefits.
Donna buys numerous expensive outfits and accessories on Treat Yo’ Self Day	Donna	Retailers / friends	80	70	Intelligent	Luxury spending she can afford boosts her happiness and supports businesses/ritual with Tom.
Donna ultimately settles down with Joe in marriage	Donna	Joe	95	90	Intelligent	Stable, loving marriage greatly benefits both partners with no evident downsides.
Donna installs a computer backup in case anything goes wrong	Donna	Office systems/users	90	85	Intelligent	Preventive measure protects her and others against data loss.
Donna threatens Ginuwine again with embarrassing stories to ensure he stays committed to performing	Donna	Ginuwine	72	35	Bandit	She reinforces her goal via pressure, benefiting event success at some cost to him.
Donna listens to Ron’s criticism about calling Joe her “Tammy” and recognizes her insensitivity	Donna	Ron / Joe	80	75	Intelligent	Accepting feedback improves her relationships and respect for their experiences.
Donna decides to give Joe a second chance after Ron’s call-out	Donna	Joe	90	85	Intelligent	Reconsidering leads to a strong relationship and later marriage, benefiting both.
Donna frequently snarks and rolls her eyes at coworkers’ hijinks	Donna	Coworkers	60	45	Bandit	Sarcasm entertains her and sometimes others but can mildly undercut or sting targets.
Donna brings Ben to Treat Yo’ Self day when she sees him eating soup alone	Donna	Ben	85	90	Intelligent	Including lonely Ben lifts his spirits and strengthens friendship with no cost to her.
Donna insists on bringing Garry to “Jerry Dinner” against others’ protests	Donna	Garry	90	90	Intelligent	Standing up for him gives her moral credit and ensures he’s appreciated.
Donna marks Garry’s place at her wedding with his real name on the card	Donna	Garry	80	95	Intelligent	Small, meaningful gesture deeply honors him with negligible cost to her.
Donna spends a lot of time on her phone and social media during office hours	Donna	Workplace/colleagues	40	35	Stupid	Personal distraction risks her performance and inconveniences others without clear gains beyond trivial entertainment.
Donna live-tweets the “Death Canoe” movie during “Halloween Surprise”	Donna	Her followers / coworkers	65	55	Intelligent	She enjoys the activity and mildly entertains her audience without shown harm.
Donna develops a close friendship with Garry and invites him to her wedding cake tasting	Donna	Garry	85	90	Intelligent	Shared experiences deepen friendship and give Garry inclusion and joy.
Donna explicitly calls Garry a friend	Donna	Garry	80	90	Intelligent	Affirmation strengthens their bond and Garry’s self-worth with minimal cost.
Donna appoints April as her Maid of Honor	Donna	April	85	85	Intelligent	Choice reflects a strong bond and honors April, reinforcing mutual support.
April brings LeVondrias to Donna’s wedding despite his not being invited	April	Donna	30	25	Stupid	She overrides Donna’s boundary, risking emotional conflict without clear benefit described.
Donna protects her Mercedes from coworkers’ antics and keeps watch over its safety	Donna	Coworkers	70	55	Intelligent	Guarding her car preserves valuable property with only minor inconvenience to others.
