Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Mr. Krabs neglects Pearl in post-movie episodes	Mr. Krabs	Pearl	60	20	Bandit	He preserves money/comfort while causing her grief.
Pearl uses Krabs’ money obsession to blackmail him	Pearl	Mr. Krabs	70	20	Bandit	She gains leverage/money at Krabs’ emotional/financial expense.
Krabs cares for Pearl more than money in early episodes	Mr. Krabs	Pearl	85	85	Intelligent	He prioritizes her well-being over greed, benefiting both.
Krabs becomes overprotective to keep Pearl safe	Mr. Krabs	Pearl	70	80	Intelligent	He sacrifices comfort/freedom to ensure her safety and happiness.
Krabs mistakenly enters SpongeBob’s mom’s shower	Mr. Krabs	SpongeBob’s mom	20	10	Stupid	He embarrasses himself and her without gain.
Krabs apologizes and backs off in the shower scene	Mr. Krabs	SpongeBob’s mom	55	70	Intelligent	He mitigates harm and shows respect, restoring some social order.
Krabs uses Gary as a magnetic money detector on the beach	Mr. Krabs	Gary	65	5	Bandit	He profits from Gary’s condition while exhausting and endangering him.
Krabs nervously laughs and runs from the glowering woman	Mr. Krabs	Beach woman	45	40	Helpless	He escapes confrontation but looks bad and leaves her annoyed.
Krabs repeatedly fires SpongeBob and rehires him when business collapses	Mr. Krabs	SpongeBob	35	25	Stupid	His short-sighted greed hurts profits and staff, with no net gain.
Krabs fires SpongeBob to save a nickel	Mr. Krabs	SpongeBob	10	15	Stupid	He severely damages his own business and hurts SpongeBob for trivial savings.
Krabs rehires SpongeBob after realizing he can’t cook profitably	Mr. Krabs	SpongeBob	80	80	Intelligent	He corrects course to restore profit and SpongeBob’s employment.
Krabs tries to prove he can cook as well as SpongeBob	Mr. Krabs	Customers	25	35	Stupid	His jealousy undermines his own business and customer experience.
Krabs charges customers a dollar per tomato to throw at Squidward	Mr. Krabs	Customers	75	40	Bandit	He profits from their annoyance while degrading Squidward and overcharging.
Krabs neglects/antagonizes children for money in “Krabby Land”	Mr. Krabs	Children	70	10	Bandit	He extracts money with false advertising and unsafe attractions.
Krabs admits he doesn’t care about the children, only parents’ money	Mr. Krabs	Children/parents	60	20	Bandit	His attitude leads to exploitative practices that sour relations.
Krabs steals Clamu’s egg thinking it’s a pearl	Mr. Krabs	Clamu	40	5	Bandit	He gets an object he thinks valuable while provoking a dangerous outburst.
Krabs excessively milks jellyfish for jelly	Mr. Krabs	Jellyfish	65	10	Bandit	He boosts profits at the cost of abusing animals.
Krabs uses Gary until he collapses and is hospitalized	Mr. Krabs	Gary	30	5	Bandit	He gains money but triggers medical crisis for Gary and future costs.
Krabs opens an outdoor playground and falsely advertises it as Disneyland-like	Mr. Krabs	Children/parents	70	10	Bandit	He attracts paying families with deception and unsafe junkyard rides.
Krabs replaces quality with hazardous junkyard equipment at Krabby Land	Mr. Krabs	Children	50	5	Bandit	He saves costs while exposing kids to danger.
Krabs blackmails SpongeBob with “you’re fired” to coerce work	Mr. Krabs	SpongeBob	65	25	Bandit	He extracts extra labor under threat, harming SpongeBob’s autonomy.
Krabs antagonizes kids to raise profits	Mr. Krabs	Children	60	20	Bandit	He treats them as walking wallets, worsening their experience for his gain.
Krabs tries to tear a guy’s arm off over a penny	Mr. Krabs	Random customer	30	10	Bandit	He risks reputation and violence for negligible gain.
Krabs stalks SpongeBob for a penny	Mr. Krabs	SpongeBob	40	25	Bandit	He obsesses over trivial money at the cost of trust and dignity.
Krabs threatens to chop off SpongeBob and Patrick’s butts over paint	Mr. Krabs	SpongeBob & Patrick	45	20	Bandit	He protects property through intimidation, straining relationships.
Krabs reveals the “permanent” paint was a lie just to mess with them	Mr. Krabs	SpongeBob & Patrick	55	20	Bandit	He gets amusement at their expense, offering them no benefit.
