Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
He starts the series with a crewcut	Stan	Himself	60	55	Intelligent	Neutral-positive grooming choice with no indicated harm and mild social/professional benefit.
He starts growing his hair out in Season 6	Stan	Himself	55	55	Intelligent	Personal style change with no shown downside and some implied confidence/appeal.
He grew from a crewcut to a fuller mane and beard	Stan	Himself	60	60	Intelligent	His fuller hair and beard are associated with attractiveness and no negative effects.
He later put on some weight with a visible belly	Stan	Himself	45	55	Helpless	Weight gain modestly harms his health/self while not hurting and even appealing to others.
He is found sexy despite weight gain	Others perceiving Stan	Stan	65	60	Intelligent	Others’ attraction benefits him socially/romantically without harming anyone.
He really took it hard when cousin Robbie died in Vietnam	Stan	Stan	30	60	Helpless	His deep grief harms himself emotionally but reflects caring for another.
Much of his obnoxious behavior is tolerated because he's quite good at his job	Stan	Co‑workers/bosses	70	40	Bandit	His competence benefits him while his tolerated obnoxiousness makes others’ work life worse.
He goes from being chauvinistic and full of himself to being understanding and caring	Stan	Co‑workers (esp. Peggy)	80	85	Intelligent	Personal growth improves his own relationships and clearly benefits colleagues.
He gets together with Peggy	Stan	Peggy	85	85	Intelligent	Mutual romantic partnership benefits both with no indicated downside.
Stan encourages Peggy to go to Paris with Mathis's brother‑in‑law	Stan	Peggy	60	80	Intelligent	He sacrifices his own romantic prospects to help Peggy loosen up and be happy.
Peggy challenges him to put his money where his mouth is and work nude	Peggy	Stan	50	45	Bandit	Her provocation tests him and work commitment but creates an awkward, risky situation.
Stan works alongside Peggy in the nude	Stan	Himself and Peggy	40	35	Stupid	He gains no clear benefit and increases professional and personal risk/awkwardness for both.
He has others try to hit a paper apple above his head with their pens while high on a booster	Stan	Co‑workers	45	20	Bandit	His drug‑fueled game entertains him but endangers others and disrupts work.
Michael tries and ends up hitting Stan’s arm with a craft razor	Michael	Stan	35	15	Stupid	Accidental injury harms Stan without helping Michael or anyone else.
Stan responds to being cut with a mild “Aw crap”	Stan	Co‑workers	55	65	Intelligent	Staying calm minimizes panic and disruption, modestly benefiting everyone.
Stan and Peggy keep in touch after she hops to Ted’s firm	Stan and Peggy	Each other	75	80	Intelligent	Maintaining their relationship supports both emotionally and professionally.
Stan constantly smokes marijuana in the SCDP offices	Stan	Co‑workers/firm	55	30	Bandit	He claims creative benefit but risks professionalism and others’ comfort and workplace norms.
He claims to do better work when stoned	Stan	Bosses/firm	60	35	Bandit	Justification helps him keep using at work, while sustaining a problematic norm for others.
Stan pretty much keeps his wits together for the team	Stan	Co‑workers	70	85	Intelligent	Acting as “Team Dad” stabilizes the environment and gives him a solid, respected role.
He becomes much more kind‑hearted and noble over time	Stan	Co‑workers	80	85	Intelligent	Kindness and nobility improve his life and significantly help those around him.
Discovering pot seems to have helped his increased kindness	Stan	Himself and others	60	65	Intelligent	In this narrative, marijuana use correlates with emotional softening that benefits him and colleagues.
He is an understanding platonic then romantic partner to Peggy	Stan	Peggy	85	90	Intelligent	His emotional support and understanding strongly help Peggy and deepen his own fulfillment.
Stan and Peggy declare their love for each other	Stan and Peggy	Each other	90	90	Intelligent	Mutual confession secures a relationship that clearly benefits both.
