Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
She does an impressive splits in Season 2's "You Also Have A Pizza."	Taystee	Herself (physical ability display)	60	55	Intelligent	She practices/uses a skill that gives her some pride and entertains others without harm.
She loves books and becomes especially badass in Season 5 after Poussey's death.	Taystee	Herself and fellow inmates	70	75	Intelligent	Her love of books and increased resolve help her grow stronger and more capable for herself and her community.
Rather than take personal revenge on Cindy physically, she informs Cindy's daughter of the truth about her parentage.	Taystee	Cindy and Cindy’s daughter	20	10	Bandit	Driven by revenge, she destroys Cindy’s home life; she may get emotional satisfaction but no material benefit while significantly harming others.
She works in the prison's library and protects the Harry Potter books.	Taystee	Prison library users	65	80	Intelligent	Library work and guarding books benefit her (role, competence) and preserve resources for others.
She calculates business transactions in her head in flashbacks.	Taystee	Customers/employer	60	65	Intelligent	Her mental math skill benefits her employability and produces accurate transactions for others.
Shortly after early release, she returns to prison because civilian life is miserable.	Taystee	Herself and society	10	20	Helpless	She chooses imprisonment over struggling freedom, hurting her own prospects and slightly burdening others without apparent benefit to anyone.
She is often a minder to Suzanne, trying to look after her.	Taystee	Suzanne	55	75	Intelligent	She expends effort to stabilize and protect Suzanne, modestly taxing herself but clearly helping Suzanne.
She lets Vee drag her into the drug trade seeking family.	Taystee	Herself and drug-trade victims	15	20	Helpless	She gains a semblance of family but at high personal risk and participation in harmful activity, hurting both self and others overall.
She works a fast food job in the past.	Taystee	Employer/customers	60	60	Intelligent	Legitimate employment offers income and normalcy to her and basic services to others.
She becomes a caretaker and informal leader seeking justice for Poussey and better conditions for all inmates.	Taystee	Other inmates	75	85	Intelligent	Her leadership during the riot is aimed at systemic improvements, providing meaning to herself and potential benefit to many inmates.
She consistently brings up Poussey in Season 5 to guide actions in her honor.	Taystee	Her group of inmates	65	80	Intelligent	Invoking Poussey’s memory gives her purpose and unites/ethicizes the group’s actions.
After Poussey's death she goes on a Roaring Rampage of Revenge to honor her.	Taystee	CO Bayley/system	40	20	Bandit	Her revenge focus gives her emotional drive but escalates conflict and undermines broader goals, hurting others more than helping anyone.
She becomes an informal legal expert and counsel to other prisoners.	Taystee	Other prisoners seeking advice	70	85	Intelligent	Her legal knowledge empowers her and gives practical assistance to fellow inmates.
When paroled, she fails to use her legal skills on the outside.	Taystee	Herself	30	55	Helpless	She underutilizes a valuable skill set, harming her own reintegration while leaving others basically unaffected.
She does not reciprocate Poussey's romantic feelings because she is straight.	Taystee	Poussey	55	35	Helpless	Honesty protects her integrity but hurts Poussey emotionally; net effect on Taystee is neutral-to-slightly positive, on Poussey negative.
She restyles her hair into conservative cornrows after Vee reenters her life.	Taystee	Herself	45	50	Helpless	The haircut symbolizes sliding back toward a darker past, offering little clear benefit while nudging her toward harmful patterns.
She has her hair straightened by Danita, showing abandonment of Sophia.	Taystee	Sophia	55	30	Bandit	She likely gains convenience or favor while hurting Sophia (loss of a client/ally), with no offsetting benefit to others.
After securing a promise to meet prisoners’ demands, she abandons negotiations out of revenge against Bayley.	Taystee	All inmates	10	5	Stupid	Her revenge fixation ruins a nearly-won deal, devastating prospects for herself and everyone else.
She sends a letter to Cindy's family exposing that Cindy’s “sister” is actually her daughter.	Taystee	Cindy and Cindy’s family	15	10	Bandit	She gains vengeful satisfaction while blowing up Cindy’s home life, causing severe harm to others.
By blowing up Cindy's family, she prevents her lawyer from contacting Cindy, losing crucial potential testimony.	Taystee	Herself (legal case)	5	40	Stupid	Her earlier revenge directly destroys her own best legal hope, gravely harming herself and also depriving others of possible justice.
She reluctantly becomes Team Mom in Season 3, managing her group’s chaos.	Taystee	Her friend group	65	80	Intelligent	She accepts a caretaking role that costs effort but strengthens group stability and support.
She gives Caputo a "What the Hell, Hero?" for not calling the morgue, police, or Poussey’s father.	Taystee	Caputo/system	60	80	Intelligent	Confronting authority risks backlash but presses for basic dignity and due process for Poussey, clearly aiding others.
