Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Beats up a serial killer while heavily pregnant	Action Girl (Kira)	Serial killer	88	20	Intelligent	She neutralizes a lethal threat despite personal risk, protecting herself/others.
Is blunt about distrusting the Federation as liaison	Kira	Federation/Sisko	60	60	Intelligent	Honest bluntness risks friction but builds trust with Sisko and proves useful.
Threatens Garak if he goes near Ziyal	Kira	Garak	70	65	Intelligent	She protects Ziyal by credibly warning Garak, improving her own leverage and Ziyal’s safety.
Hands DS9 command back to Sisko grouchily	Kira	Sisko/Station command	52	75	Helpless	She loses status but the more experienced commander returns, benefiting the station.
Accepts DS9 command and Sisko’s baseball at series end	Kira	DS9 crew/Bajor	90	90	Intelligent	She gains authority and symbol of trust while providing stable leadership.
Joins the Resistance at age twelve	Kira	Cardassian occupiers	65	40	Bandit	She gains agency and survival chances by fighting back but contributes to violent conflict.
Fights in liberation of Gallitep death camp at fourteen	Kira	Cardassian camp	80	30	Bandit	She risks herself but helps free prisoners by violently attacking the camp.
Learns to be subtle and use “a scalpel rather than a pipe”	Kira	Targets of operations	75	55	Intelligent	She improves her own effectiveness while reducing collateral damage relative to cruder tactics.
Refuses to use “fair tactics” in combat	Kira	Opponents	70	30	Bandit	She maximizes her survival at the cost of employing ruthless, likely more harmful methods.
Calms down after Sisko saves her life	Kira	Sisko/crew	75	80	Intelligent	She gains a reliable ally and her trust improves cooperation on the station.
Softens toward Quark after he saves her in battle	Kira	Quark	72	78	Intelligent	She gains a useful ally and repays his help by materially aiding him.
Pulls strings in Federation bureaucracy to get Quark a prisoner	Kira	Quark/Federation	55	75	Intelligent	She expends effort/status with little gain for herself to secure Quark’s trade.
Expresses distaste for Starfleet phaser rifles	Kira	Starfleet equipment norms	55	55	Intelligent	She favors simpler, more reliable weapons, improving her own performance without clear wider harm or benefit.
Learns to “grin and bear it” negotiating with hostile powers	Kira	Romulans/Cardassians	70	70	Intelligent	She increases her diplomatic effectiveness, reducing open conflict risk.
Leads Cardassians as guerrilla fighters against the Dominion	Kira	Cardassian rebels	80	75	Intelligent	She uses her skills to help them resist occupation, aiding both herself and allies.
Screams at the Bajoran provisional government	Kira	Bajoran government	45	40	Stupid	Her outburst vents frustration but offers no shown gain and strains political relations.
Tells Bashir to “stick his Federation smugness” somewhere	Kira	Bashir	50	40	Bandit	She asserts herself but needlessly insults a colleague, harming rapport.
Gives “wild” orders to O’Brien to move the station	Kira	O’Brien/DS9	70	75	Intelligent	Her bold instructions enable a critical strategic relocation that benefits them all.
Plays Russian Roulette with torpedoes	Kira	Herself/DS9 crew	30	20	Stupid	She takes extreme, potentially catastrophic risks with no guaranteed benefit, endangering everyone.
Attempts to be an artist and makes terrible pottery	Kira	Herself/Sisko	55	60	Intelligent	She experiments despite lack of talent and ends up giving Sisko a meaningful personal gift.
Grows past racist hatred of all Cardassians	Kira	Cardassians	80	80	Intelligent	She reduces her own bias and the chance of unjust killings, improving relations.
Murders the victim in “Necessary Evil”	Kira	Murder victim	60	10	Bandit	She protects her cause/interests by killing someone, seriously harming the victim with unclear broad benefit.
Joins Resistance as a child soldier and kills occupiers	Kira	Cardassians	65	25	Bandit	She survives and advances her cause through lethal violence, which harms enemies and likely bystanders.
Tries to open a room vented to space to reach friends	Kira	Herself/Security	35	15	Stupid	She endangers her own life and station integrity for a near-hopeless rescue attempt.
Dismisses being stabbed in the back as a “flesh wound”	Kira	Herself/Sisko	45	45	Helpless	She downplays a serious injury, risking her health, without clear benefit to others.
Uses emotional core to empathize with former torturers	Kira	Cardassians	80	80	Intelligent	She heals herself and contributes to reconciliation, even fighting for them later.
Gives awful sculpture to Sisko as “a Kira Nerys original”	Kira	Sisko	60	70	Intelligent	She builds personal rapport through humor and vulnerability despite no artistic skill.
Expresses regret when an innocent Cardassian clerk is killed	Kira	Dead clerk/Justice norms	70	70	Intelligent	Her changing stance reduces indiscriminate hatred and wrongful killings.
Becomes fond of Ziyal despite her being Dukat’s daughter	Kira	Ziyal	75	80	Intelligent	She gains a meaningful relationship and offers emotional support across enemy lines.
Acts as surrogate incubator for the O’Briens’ son	Kira	O’Brien family	60	85	Helpless	She undergoes physical risk and discomfort primarily for the family’s benefit.
Respects orders despite strong emotions	Kira	Command structure	70	70	Intelligent	She balances passion with discipline, maintaining effectiveness and unit safety.
Uses “comfort woman” disguise to infiltrate Cardassians	Kira	Cardassians	70	30	Bandit	She effectively manipulates enemies via deceit and sexualized disguise to aid her cause.
States that all Cardassians on Bajor were “legitimate targets”	Kira	Cardassians	65	15	Bandit	Her stance justifies extreme violence against an entire group, reinforcing her own resistance ideology while endorsing broad harm.
Scares most male characters, including Garak, through toughness	Kira	Men around her	65	65	Intelligent	Her fearsome reputation protects her and deters threats without clear collateral damage.
Accepts being “kicked upstairs” as liaison on DS9	Kira	Bajoran government	70	75	Intelligent	She gains a crucial post that becomes strategically vital, also serving Bajor’s interests.
Chooses duty to Bajor over staying with Sisko	Kira	Bajor/Sisko	65	80	Helpless	She sacrifices personal comfort and valued working relationship for her planet’s political needs.
Acknowleges past terrorism without apologizing	Kira	Cardassians	60	45	Bandit	She preserves her self-respect and narrative while maintaining a hardline that impedes reconciliation.
Storms off from dying Ghemor after learning of his past	Kira	Ghemor	40	20	Stupid	Her reaction emotionally punishes a dying ally and herself before she reconsiders, with no real gain.
Returns to stay with Ghemor until he dies and buries him by her father	Kira	Ghemor’s memory	75	80	Intelligent	She finds closure and honors him, also fulfilling his trust-based tradition.
Acts as cool big-sister mentor to Ziyal	Kira	Ziyal	75	85	Intelligent	She gains an affectionate bond and gives Ziyal crucial guidance and emotional support.
Refuses romantic advances from Dukat, enraged by his “family” ploy	Kira	Dukat	70	55	Intelligent	She maintains integrity and resists manipulation, preventing a toxic power dynamic.
Keeps loyalty to Bajor despite contempt for its government	Kira	Bajor	70	70	Intelligent	She balances criticism with patriotism, serving her people even under poor leadership.
Relies on faith above logic in decisions	Kira	Herself/crew	55	55	Intelligent	In the text, this sustains her through trauma and enables later empathy without shown net harm.
Chooses Sisko over Kai Winn when loyalties conflict	Kira	Sisko	75	70	Intelligent	She aligns with the more trustworthy leader, benefitting both herself and Bajor.
States she would have destroyed Terok Nor with the Defiant	Kira	Cardassians/Bajor	65	15	Bandit	Hypothetically, she’d massively advance Bajoran liberation at the cost of huge enemy casualties.
