Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Stringer informs Levy that Clay Davis stole thousands meant for bribes	Stringer Bell	Levy	10	5	Helpless	Stringer’s info reveals Levy has already lost money and leverage to Clay with no gain to himself.
Levy reacts when hearing Clay Davis walked off with his money	Levy	Levy	20	40	Helpless	Levy’s loss is locked in; his reaction doesn’t change outcomes but reflects significant personal setback.
Levy tells Herc he’s pleased Marlo uses a cellphone because police will wiretap	Levy	Herc / police	70	10	Bandit	He anticipates profit from imminent charges against Marlo while others face danger and workload.
Levy defends members of Barksdale and other drug crews in court	Levy	Drug clients / justice system	95	10	Bandit	He earns substantial fees while helping criminals evade full accountability.
Levy introduces drug clients to investors	Levy	Drug clients / investors	90	5	Bandit	He boosts his client base and income while enabling expansion of criminal enterprises.
Levy advises clients on who “needs to go”	Levy	Targets of violence	85	0	Bandit	He strengthens his criminal clients’ positions and keeps their business by facilitating lethal decisions.
Levy sells confidential court papers via his courthouse stooge	Levy	Opposing parties / justice system	92	0	Bandit	He profits from illegally leaked information that undermines fair proceedings.
Levy uses a courthouse stooge to obtain sealed documents	Levy	Court / defendants in other cases	90	5	Bandit	He gains illicit strategic advantage for his clients and fees while compromising other cases.
On learning Marlo uses a cellphone, Levy predicts he’ll make a lot of money from him soon	Levy	Marlo Stanfield / police	95	5	Bandit	He anticipates and welcomes Marlo’s legal trouble as a lucrative revenue stream.
Levy helps Barksdale and Stanfield crews set up fronts and side businesses	Levy	Drug organizations / broader community	95	5	Bandit	He earns heavily while making their operations safer and more durable against law enforcement.
Levy tries to hide an evil laugh during negotiations with State’s Attorney and police	Levy	State’s Attorney’s Office / police	80	20	Bandit	He is winning a favorable deal and prestige while opposing side loses leverage and justice.
Levy mocks Orlando cruelly in jail after Orlando’s arrest	Levy	Orlando	75	10	Bandit	He reinforces dominance and deters resistance while adding only emotional harm to an already trapped client.
Levy issues an implied death threat on Orlando for refusing to sign over the liquor license	Levy	Orlando	85	5	Bandit	He secures a beneficial transfer for his clients and his role by coercing Orlando with implied violence.
Levy forces Orlando to sign the papers transferring the liquor license	Levy	Orlando	95	5	Bandit	He completes a profitable, strategic asset transfer for his side through coercion that harms Orlando’s interests.
Clay Davis points Lester toward Levy as an investigative target	Clay Davis	Levy	70	10	Bandit	Clay shifts heat away from himself by directing investigators at Levy, risking Levy while protecting his own position.
Lester has Gary DiPasquale place an incriminating call about Levy	Lester Freamon	Levy	85	15	Bandit	He gains leverage to crack the Stanfield case but does so through compromising methods that also empower Levy in negotiation.
Rhonda uses the incriminating call to blackmail Levy into a deal	Rhonda Pearlman	Levy / Stanfield organization	70	60	Intelligent	She secures Stanfield’s retirement and convictions of lieutenants while exposing herself to some legal risk via blackmail.
Rhonda’s deal forces Marlo to retire from the drug trade	Rhonda Pearlman	Marlo Stanfield	80	85	Intelligent	She meaningfully removes a major kingpin from the streets, boosting public safety while strengthening her own career.
Rhonda’s deal imprisons all of Marlo’s lieutenants	Rhonda Pearlman	Stanfield lieutenants	85	90	Intelligent	The agreement jails key dealers and enhances case results and her reputation with minimal downside to herself.
Levy’s work on the Stanfield case helps Marlo walk away free	Levy	Marlo Stanfield	98	5	Bandit	He greatly boosts his reputation and business by keeping a major drug lord out of prison at high social cost.
Levy builds front businesses for the Barksdales in Season 1	Levy	Barksdale organization	95	5	Bandit	He profits and increases his value by shielding their drug income through seemingly legitimate entities.
Levy introduces Stringer to contacts who help build legitimate wealth	Levy	Stringer Bell / Barksdales	90	20	Bandit	He helps grow ostensibly legitimate assets and earns fees while enabling laundering of drug money.
Levy spots Clay Davis “rainmaking” Stringer (stealing from him)	Levy	Stringer Bell	70	40	Intelligent	He perceptively identifies a scam against his client, benefiting Stringer’s awareness with little cost to himself.
Prop Joe uses Levy as his lawyer and has Marlo do the same	Prop Joe	Levy	80	40	Intelligent	Prop Joe centralizes legal strategy through Levy, enhancing protection for his alliance while also strengthening Levy’s power.
Levy channels the majority of Baltimore’s laundered drug money through himself	Levy	Baltimore drug economy	98	5	Bandit	He amasses enormous profit and influence while entrenching large‑scale criminal finance.
Levy uses Herc to extract information from his old coworkers about clients	Levy	Police / justice system	92	5	Bandit	He gains insider intelligence for defense tactics, distorting investigations to his clients’ and his own advantage.
Levy uses a mole in the Grand Jury to leak sealed cases	Levy	Grand jury process	96	0	Bandit	He maximizes strategic foreknowledge and income while severely corrupting confidential legal proceedings.
Levy becomes Final Boss by identifying the Stanfield case as based on an illegal wiretap	Levy	Stanfield case prosecutors	90	10	Bandit	He protects his client and himself by threatening to suppress a major case through legal technicalities.
McNulty arrests D’Angelo during Levy’s personal time with his wife	McNulty	Levy	40	40	Helpless	He mildly asserts professional duty but needlessly disrupts Levy’s private life without shown case benefit.
Levy attends Stringer and Avon’s parties only to discuss business and introduce contacts	Levy	Drug bosses	90	20	Bandit	He deepens his network and income while enabling stronger criminal partnerships.
Levy calls Omar a “parasite that leeches off the drug trade” during Bird’s trial	Levy	Omar	70	30	Bandit	He advances his client’s position in court and his own success while unfairly maligning Omar for similar behavior to his own.
Omar’s testimony convinces the jury and causes Levy to lose the Bird case	Omar	Levy	20	80	Intelligent	Omar’s credible account undercuts Levy, harms his win rate, and supports a just conviction.
Levy slams his briefcase in frustration after losing the Bird case	Levy	Levy	30	55	Helpless	His emotional outburst reflects personal frustration and offers no benefit, though it slightly signals accountability to others.
McNulty calls Levy out on his immorality and demands he hand over Savino	McNulty	Levy	60	70	Intelligent	He confronts corruption and pressures Levy, taking some risk but seeking a fairer outcome post‑Kima shooting.
McNulty threatens to investigate Levy’s finances if Savino isn’t surrendered	McNulty	Levy	65	65	Intelligent	He leverages potential exposure of corruption to bring in a suspect, risking retaliation to himself.
Levy shows genuine affection to Herc and treats him well	Levy	Herc	70	40	Intelligent	He cultivates loyalty that benefits him while also providing Herc with support and professional stability.
Levy’s kindness to Herc encourages Herc to do more work as a “punch‑clock villain”	Levy	General public / victims	90	10	Bandit	His mentorship increases Herc’s complicity in dubious acts, boosting Levy’s information flow at the public’s expense.
Levy regains composure when confronted with the incriminating call	Levy	Levy	85	50	Intelligent	Steady demeanor allows him to negotiate from strength, preserving his status without directly worsening others’ outcomes.
Levy reminds Rhonda of their Mutually Assured Destruction (both could face prison)	Levy	Rhonda Pearlman	88	20	Bandit	He uses shared exposure to soften the blow for himself and his client while weakening prosecutorial leverage.
Levy negotiates a better deal for Stanfield than Rhonda’s original ten‑year offer	Levy	Marlo Stanfield	95	10	Bandit	He significantly reduces Marlo’s punishment, enhancing his own legend at substantial justice cost.
Rhonda mentions Levy is a past officer of the Monumental Bar Association	Rhonda Pearlman	Levy	60	40	Intelligent	Acknowledging his status constrains overt attacks but helps preserve institutional legitimacy and calibrated strategy.
