Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Cam jumps out of bed, grabs a bat, and charges into Lily's room to confront a presumed intruder	Cameron	Lily / presumed intruder	75	85	Intelligent	He incurs some risk but acts decisively to protect his child from a perceived threat.
Cam threatens a gas-station jerk, saying he'll slam his head into the bumper if he doesn't apologize	Cameron	Rude man at gas station	70	60	Bandit	He protects Mitchell and secures an apology but does so through credible violent threat that harms the other’s sense of safety.
Rude man apologizes to Mitchell out of fear	Rude man at gas station	Mitchell	40	65	Helpless	He loses face and is frightened but reduces conflict and gives Mitchell emotional satisfaction.
Cam punches a punching-bag arcade game in anger over family being friends with Mitchell's ex and sets a record	Cameron	Himself / arcade machine	55	45	Helpless	He vents and gains ego from the record but does nothing to solve the relationship issue and just indulges anger.
Cam eats through a chocolate pie to get an ice pack from the freezer	Cameron	Himself / household	30	55	Helpless	He mildly harms his health and self-control for short-term pleasure while still retrieving the ice pack that helps someone else.
Cam jumps at the chance to direct Luke and Manny's school play and tries to turn it into a fabulous affair	Cameron	Luke and Manny’s school / cast	80	70	Intelligent	He pursues a role he loves and upgrades the production’s ambition, benefiting both himself and the students.
Cam attempts to hit on a woman on a bet, but she recognizes he’s gay and just wants a gay best friend	Cameron	Heterosexual woman	55	60	Intelligent	He gains some ego and fun from the bet, she gains a friendly interaction and potential ally with no shown harm.
Cam becomes angry and defensive or collapses into sobbing when he perceives slight criticism	Cameron	Himself / people criticizing	20	40	Helpless	His overreactions emotionally damage himself and strain interactions without offering clear benefit to anyone.
Cam takes any opportunity to make things about him and seek approval and attention	Cameron	People around him	60	35	Bandit	He gains validation and focus at the cost of others’ patience and shared attention.
Cam tries to pick up women before coming out, attracting quite a few	Cameron	Interested women	65	35	Bandit	He gets ego boosts and romantic attention while misleading women who think he’s straight.
Cam coaches a football team and is one of the most physically capable family members, willing to fight threats	Cameron	His team / family	85	80	Intelligent	His physical capability and coaching benefit both his own identity/pleasure and the team/family’s safety and success.
Cam often makes stupid impulsive decisions due to misunderstandings of city life	Cameron	Himself / others involved	25	35	Stupid	His impulsive errors hurt him and cause trouble for others without yielding clear advantages.
Cam becomes a house husband after adopting Lily	Cameron	Lily / family	80	80	Intelligent	He gains fulfillment and stable role while providing care and stability for Lily and the household.
Cam returns to work as a music teacher at Luke and Manny’s school when Lily starts kindergarten	Cameron	Students / family	85	80	Intelligent	He re-enters a valued career, benefiting self-esteem and finances while educating kids.
Cam works in a greeting card shop while Mitchell is unemployed	Cameron	Family finances	75	70	Intelligent	He supports the household during unemployment, aiding both himself (security) and his family.
Cam becomes a high school football coach, a role he loves	Cameron	High school team	85	80	Intelligent	He gains a job aligned with his passion and his team benefits from committed coaching.
Cam acts full of himself and shows off skills to hide deep insecurity and seek everyone’s approval	Cameron	Himself / social circle	40	35	Helpless	His compensatory boasting soothes insecurity briefly but undermines relationships and long-term self-esteem.
Cam plans a surprise birthday party for Mitchell despite Mitchell explicitly not wanting a party	Cameron	Mitchell	45	25	Stupid	He ignores Mitchell’s stated desire, causing his own plan to fail and undercutting Mitchell’s actual happiness from a quiet day.
Cam tells friends “Just as I hoped, Mitchell is miserable” while Mitchell spends his birthday alone so the surprise works	Cameron	Mitchell	35	20	Stupid	He relishes his husband’s presumed misery in service of a surprise that ultimately backfires, hurting them both.
Cam presents his daughter to The Lion King music in the pilot	Cameron	Lily / family audience	75	70	Intelligent	He theatrically celebrates his child in a way that delights him and entertains the family without shown downside.
Cam hosts a wedding to solve someone’s personal problem	Cameron	Couple whose problem he solves	80	85	Intelligent	He satisfies his urge to help and perform while giving others a major life event and solution.
Cam spoils Lily in his “momish” role	Cameron	Lily	60	55	Intelligent	He gains emotional satisfaction and Lily gets attention and treats, with only implied moderate overindulgence.
Cam threatens to harm a kindergarten-age boy for pulling Lily’s hair	Cameron	Kindergarten boy	20	10	Stupid	He gains no real benefit and severely overreacts, introducing fear and potential social fallout for everyone.
Cam screams loudly when Lily is trapped in a car, being mistaken for Mitchell’s panicking wife on the phone	Cameron	Rescuers / listeners	55	65	Intelligent	His dramatic panic accurately signals emergency and helps mobilize aid, despite some embarrassment.
Cam screams purely to out-scream a little girl after she steals Stella	Cameron	Little girl / bystanders	35	20	Stupid	He indulges petty competitiveness, annoying others and degrading himself without helping anyone.
