Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Frank cuts off Debbie’s crushed toes	Frank	Debbie	70	40	Bandit	He performs a painful but medically necessary amputation that preserves her long‑term health, though it harms her immediately and is reckless.
Debbie and Liam attempt to cut off her own toes	Debbie and Liam	Debbie	5	20	Stupid	They inflict severe harm on Debbie with no benefit and end up fainting in shock.
Debbie tries to outgrow being treated as “the baby”	Debbie	Debbie	75	65	Intelligent	Her effort to mature helps her autonomy and eases the burden on others who overprotect her.
Debbie trains to hold her breath underwater	Debbie	Debbie	80	60	Intelligent	She develops a skill that overcomes her fear and later becomes practically useful.
Frank instills a fear of being drowned in Debbie	Frank	Debbie	40	10	Bandit	He burdens her with a debilitating fear for no clear benefit to her and only limited emotional payoff for himself.
Debbie uses her breath-holding skill to drown a bully until she passes out	Debbie	Bully	20	5	Stupid	She seriously endangers another girl’s life while gaining only fleeting vindictive satisfaction and legal/ethical risk.
Debbie nearly drowns a girl who was mean to her at the pool	Debbie	Girl at pool	15	5	Stupid	She violently retaliates over bullying, risking major trouble and providing no real benefit beyond momentary revenge.
Debbie glues shut the eyes of an abusive foster mother	Debbie	Foster mother	25	15	Stupid	The attack is extreme and criminal, offering at best short‑term catharsis against a harmful adult while endangering Debbie.
Debbie falsely claims Cousin Patrick molested her to keep the house	Debbie	Cousin Patrick	40	10	Bandit	She secures low rent and housing for her family by destroying Patrick’s reputation with a lie.
Debbie realizes who Frank really is and distances herself from him	Debbie	Debbie	85	60	Intelligent	Recognizing his toxicity and creating distance protects her and reduces the family’s emotional chaos.
Debbie hardly acknowledges Frank’s existence by Season 4	Debbie	Frank	80	55	Intelligent	Ongoing emotional cutoff limits his ability to hurt her and lessens drama for others.
Debbie rapes Matty while he is passed‑out drunk	Debbie	Matty	10	0	Stupid	She gains a hollow “loss of virginity” at huge moral and legal risk while traumatizing him.
Debbie confides in Fiona and Lip about raping Matty	Debbie	Fiona and Lip	30	20	Stupid	Revealing a crime yields little benefit and potentially exposes her to judgment and consequences.
Debbie’s “bitchy friends” express outrage at the rape to mock her	Debbie’s friends	Debbie	55	10	Bandit	They gain social ammunition and entertainment while increasing Debbie’s humiliation.
Debbie spends a day learning her teen mom friends’ lives are miserable	Debbie	Debbie	65	55	Intelligent	Exposure to others’ struggles gives her valuable cautionary insight, though she underuses it.
Derek disconnects his phone and goes to Florida to get away from Debbie and their child	Derek	Debbie and child	70	5	Bandit	He escapes an unwanted situation improving his own comfort while abandoning responsibilities to them.
Debbie loses the “flour baby” she was using to prove she could parent	Debbie	Debbie	20	40	Helpless	Her failure undercuts her argument but provides a realistic signal to others about her unreadiness.
Debbie packs a bag to go to Florida despite all the warning signs	Debbie	Debbie and child	10	25	Stupid	She ignores clear evidence of Derek’s rejection and hardship, pursuing a self‑sabotaging move that will strain others.
Debbie opposes Lip selling the house because she can’t bear the family separating	Debbie	Gallagher family	35	35	Stupid	Her emotional neediness blocks a potentially beneficial sale without offering a practical alternative.
Debbie ignores Franny’s request for her own room and insists they share	Debbie	Franny	45	20	Bandit	She prioritizes her attachment needs over Franny’s autonomy and comfort.
Debbie idolizes Frank and clings to him despite realizing he is awful	Debbie	Debbie	25	30	Helpless	Her misplaced loyalty harms her emotionally while only weakly preserving family ties.
Debbie forgives Frank more than her siblings do in Season 6	Debbie	Frank	30	25	Helpless	Her leniency lets him stay in her life at her expense, offering him support without real gain to her.
Frank supports Debbie’s decision to keep her pregnancy	Frank	Debbie	40	35	Bandit	He gives her emotional backing but also enables a damaging teen pregnancy, serving his desire to be needed more than her interests.
Frank attacks Debbie trying to find where she stashed Monica’s meth	Frank	Debbie	10	5	Stupid	He violently pursues drugs, risking legal and familial fallout with no real long‑term benefit.
Debbie tricks Derek into getting her pregnant by lying about birth control	Debbie	Derek	15	5	Stupid	The pregnancy burdens her heavily, deceives Derek, and destabilizes both their lives.
Debbie becomes more and more violent over time	Debbie	Various others	30	15	Stupid	Her aggression provides fleeting power but increases risk, alienation, and possible legal trouble.
Debbie goes above and beyond to care for her siblings and Franny	Debbie	Siblings and Franny	75	80	Intelligent	Her efforts strengthen family stability while giving her purpose and relational returns.
Debbie gets arrested and sentenced for statutory rape of Julia	Debbie	Debbie	5	20	Stupid	Her consensual‑feeling but illegal relationship leads to severe punishment with no offsetting gain.
Debbie harasses Matty’s new girlfriend with anonymous threats and a snake	Debbie	Matty’s girlfriend	15	5	Stupid	Her extreme jealousy campaign backfires, provoking retaliation without improving her situation with Matty.
Debbie learns from teen mom friends that their lives are miserable	Debbie	Teen moms	70	60	Intelligent	She gains accurate perspective while giving them a chance to be heard and validated.
Debbie becomes ready to “outright kill” Franny’s grandmother and aunt after they take Franny	Debbie	Grandmother and aunt	10	10	Stupid	Her homicidal impulse escalates conflict and risk without realistically helping regain custody.
Debbie and Liam live as minors largely alone in the house	Debbie and Liam	Debbie and Liam	30	20	Stupid	Their unsupervised situation increases danger and instability with limited real benefit beyond freedom.
Debbie waters Sheila’s plants and treats her better than others do	Debbie	Sheila	70	80	Intelligent	Her kindness helps Sheila and builds trust while giving Debbie support and goodwill.
Debbie runs a daycare at the house, getting a stress rash	Debbie	Daycare kids and family	35	75	Helpless	She exhausts herself and harms her own health while providing valuable childcare for others.
Debbie insists Carl at age 9 “needs to start pulling his weight”	Debbie	Carl	65	60	Intelligent	Her push for responsibility helps household survival and teaches Carl contribution skills.
Debbie intentionally gets pregnant very young in Season 5	Debbie	Debbie	10	20	Stupid	The choice drastically restricts her future while placing strain on others with minimal genuine benefit.
Debbie packs baby Franny into a car for an Ecstasy‑fueled road trip to Joliet	Debbie	Franny (and Debbie)	5	0	Stupid	She endangers both herself and her infant for a drug trip with no constructive outcome.
Debbie becomes the Gallagher most capable of taking over Fiona’s role	Debbie	Gallagher family	80	85	Intelligent	Her growth into a responsible organizer benefits everyone while giving her competence and status.
Debbie develops skills in welding, plumbing, carpentry, and repairs	Debbie	Debbie and clients	90	75	Intelligent	Her trades skills provide income and independence while enabling her to help others with practical work.
Debbie develops an odd friendship with Mandy, who teaches her Milkovich‑style self‑defense	Debbie and Mandy	Debbie	80	65	Intelligent	The mentorship increases Debbie’s safety and support network without evident downside.
Debbie often stays with Sheila Jackson, caring for Sheila’s house or plants	Debbie	Sheila	75	80	Intelligent	Sheila gains reliable help while Debbie gains a safe place and adult ally.
