Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Develops cocaine addiction during VP arc	Ryan	Ryan	10	10	Stupid	Addiction harms his judgment and performance with no benefit shown.
Implements impractical, flashy website features as VP	Ryan	Dunder Mifflin staff & customers	25	20	Stupid	His obsession with “cool” features undermines a needed upgrade and frustrates others.
Creates WUPHF as a social app instead of emergency-alert service	Ryan	Users / potential emergency services	30	25	Stupid	He wastes a potentially valuable technology on a trivial, unviable use-case.
Returns to Scranton for Dwight and Angela’s wedding	Ryan	Wedding participants	50	50	Intelligent	His attendance has no described negative consequences and mildly fulfills social expectations.
Acts as a bad boss: arrogant bullying and unethical behavior as VP	Ryan	Dunder Mifflin employees	30	15	Bandit	He enjoys power and status short term while harming subordinates.
Continues provoking Jim while slacking and playing Tetris	Ryan	Jim	20	30	Stupid	His defiance gains him nothing and leads directly to public humiliation and demotion to the closet office.
Humiliates Ryan by moving him to a closet office	Jim	Ryan	70	30	Bandit	Jim restores control and gets Ryan to work but does so via public humiliation.
Repeatedly dumps Kelly when he has better options	Ryan	Kelly	60	20	Bandit	He preserves his freedom at the cost of Kelly’s feelings and stability.
Pursues Kelly again whenever she moves on	Ryan	Kelly & her new partners	60	25	Bandit	He regains ego gratification while undermining her healthier relationships.
Loudly proclaims “How’s my favorite branch doing?” insincerely	Ryan	Scranton staff	55	40	Bandit	He burnishes his image with shallow charm that annoys others slightly.
Tells everyone to double-count their sales as website sales	Ryan	Shareholders & company	20	5	Stupid	Short-term cosmetic gain leads directly to fraud exposure and career ruin.
Throws his weight around with former coworkers after promotion	Ryan	Scranton staff	35	25	Bandit	He indulges his ego and authority while worsening others’ work environment.
Helps Creed by giving him a fake “blog” as a Word doc	Ryan	Creed & internet public	60	65	Intelligent	He avoids trouble and arguably protects others from Creed’s disturbing posts.
Feigns reform at Scranton while maintaining revenge list	Ryan	Office coworkers	40	30	Bandit	He regains a job but wastes energy plotting harm to people who helped rehire him.
Feeds a strawberry to an allergic baby	Ryan	Baby	5	0	Stupid	He deliberately endangers the child’s health for no gain beyond spiteful distraction.
Abandons the allergic baby to run off with Kelly	Ryan	Baby & Kelly’s new life	15	5	Stupid	He jeopardizes the child and Kelly’s stability while gaining only a fragile, toxic reunion.
Confirms Angela’s boyfriend is gay from late-night likes	Ryan	Angela’s boyfriend	55	55	Intelligent	He accurately interprets behavior, mildly helping clarify a social truth with no shown harm.
Sets up a fraudulent corporate website launch with flashy livestream	Ryan	Shareholders & staff	25	15	Stupid	The showy launch serves his image briefly but accelerates scrutiny of a bad product.
Gets Kelly to dump Darryl and give him money to travel	Ryan	Kelly & Darryl	65	20	Bandit	He gains freedom and cash while leaving Kelly worse off and hurting Darryl.
Endangers office jobs with restructuring plan favoring website	Ryan	Sales staff	35	20	Bandit	He advances his tech-bro vision and personal stature while risking coworkers’ livelihoods.
Forces staff to work overtime crediting their sales to the site	Ryan	Dunder Mifflin staff	30	15	Bandit	He pads his metrics and keeps his project afloat while overworking and deceiving employees.
Goes to parties and takes drugs while staff stay late	Ryan	Himself & staff morale	20	30	Stupid	He damages his own health and credibility while demoralizing those stuck doing his work.
Gleefully ends relationship with Kelly when accepting corporate job	Ryan	Kelly	70	25	Bandit	He escapes a relationship he doesn’t value, leaving Kelly emotionally hurt.
Gives Jim a verbal warning partly out of spite	Ryan	Jim	40	35	Bandit	He asserts authority and vents insecurity while unfairly targeting a competent coworker.
Fails to prepare sound expense projections for Michael’s startup	Ryan	Michael & the startup	30	25	Stupid	His flawed projections risk the business and display his incompetence, undercutting his own status.
Misleads Dunder Mifflin shareholders with falsified results	Ryan	Shareholders	25	10	Stupid	The fraud temporarily masks failure but leads to jail and career destruction.
Accepts obviously unsuitable VP promotion and overreaches	Ryan	Ryan & Dunder Mifflin	35	30	Stupid	He gains short-term prestige at the cost of legal trouble and company instability.
Hooks up with Kelly in the finale by sabotaging her stable life with Ravi	Ryan	Kelly & Ravi	40	20	Bandit	He regains Kelly while wrecking her better relationship and humiliating Ravi.
Tells Kelly he has no long-term plans and doesn’t regret hurting her	Ryan	Kelly	55	30	Bandit	He preserves his independence while deeply upsetting her.
