Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Ned fights when necessary rather than seek fights	Ned	Opponents in combat	70	40	Bandit	He avoids needless conflict but when forced to fight he prioritizes winning over opponents’ welfare.
Ned marries Catelyn to secure Tully alliance	Ned	House Tully / his own House	80	70	Intelligent	Marriage gains him a vital ally and provides mutual political and familial stability.
Ned and Robert lay siege to Pyke together	Ned	Enemies at Pyke	75	30	Bandit	He helps crush a rebellion, securing his and Robert’s power while inflicting major harm on opponents.
Ned argues with Robert over Tywin’s murder of Rhaegar’s children	Ned	Robert Baratheon	40	60	Helpless	He risks his standing and safety to defend justice for murdered children, gaining nothing himself.
Ned decides to give Cersei a chance to flee with her children before telling Robert the truth about their parentage	Ned	Cersei and her children	10	30	Stupid	His mercy neither saves him nor the realm and enables Cersei’s countermoves that lead to catastrophe.
Ned slams and chokes someone who calls his wife a whore	Ned	Insulter	55	20	Bandit	He defends his wife’s honor but uses violence over an insult, gaining face while harming another.
Ned goes through Kingsguard to try to save Lyanna at Tower of Joy	Ned	Kingsguard defenders	65	40	Bandit	He endangers himself and kills elite guards to rescue his sister, helping family at their expense.
Ned quickly accepts Howland Reed’s backstab of Dayne and finishes Dayne off	Ned	Ser Arthur Dayne	70	30	Bandit	He abandons single-combat honor to secure victory and save himself and his men.
Ned lies to the world that he fathered Jon as a bastard to protect Jon	Ned	Jon Snow / Robert Baratheon	25	85	Helpless	He sacrifices his honor and marital peace to keep Jon alive, greatly benefiting Jon while burdening himself.
Ned returns from war with Jon and confesses infidelity to Catelyn as cover	Ned	Catelyn Stark	30	70	Helpless	His “confession” strains his marriage and reputation but is necessary to shield Jon from royal vengeance.
Ned spends life protecting Jon and raising him as his own son	Ned	Jon Snow	35	90	Helpless	He endures ongoing personal and marital costs to give Jon status, safety, and upbringing.
Ned executes the Night’s Watch deserter himself with Ice	Ned	Deserter	60	40	Bandit	He upholds law and authority, reinforcing his rule while killing a man already condemned.
Ned agrees to become Robert’s Hand despite reluctance	Ned	Robert Baratheon	20	65	Helpless	He accepts a dangerous, unwanted office to help Robert and the realm, which ultimately destroys him.
Ned hurries back North after rebellion instead of leveraging victory	Ned	His own political prospects	60	55	Intelligent	He declines extra power and returns to secure Winterfell and hide Jon, benefiting his house and ward.
Ned uses multiple men to overwhelm Lyanna’s guards instead of duels	Ned	Kingsguard defenders	65	35	Bandit	He chooses a pragmatic, numerically advantaged attack that favors his side at the clear expense of the guards.
Ned lies that taking Tyrion was his own order to protect Catelyn	Ned	Catelyn Stark	35	70	Helpless	He assumes blame and political risk so Catelyn faces fewer reprisals.
Ned accepts Robert’s request to be Hand despite Catelyn’s opposition	Ned	Robert Baratheon	25	60	Helpless	He puts duty and Robert’s safety above his and his family’s wishes, costing himself dearly.
Ned urges Robert not to hold the expensive tourney in his honor	Ned	Realm’s finances	55	70	Intelligent	He tries to reduce wasteful royal spending, with little gain for himself but clear benefit for the kingdom.
Ned refuses to support assassination of Daenerys	Targaryen	Ned	Daenerys Targaryen	50	80	Intelligent	He forgoes a pre‑emptive kill, preserving his integrity and sparing a distant teen who poses no imminent threat.
