Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Leela keeps the Planet Express ship flying competently as an ace pilot	Leela	Planet Express crew and company	85	80	Intelligent	Her skill keeps herself employed/alive and directly protects and benefits the crew.
Leela protects Fry in stand-up fights, with him cowering behind her	Leela	Fry	70	75	Intelligent	She accepts personal risk to shield Fry while also affirming her role as capable fighter.
Leela is tricked by Alcazar into an Adam-and-Eve scenario and almost marries him	Leela	Alcazar	20	40	Helpless	She is deceived into a limiting relationship that benefits Alcazar while undermining her own autonomy.
Leela is again tricked by Zapp into an Adam-and-Eve scenario on “Edenic” Earth	Leela	Zapp Brannigan	25	40	Helpless	She is manipulated into a contrived romantic setup that flatters Zapp and compromises her standards.
Leela admits Fry’s take-charge attitude during a mission turns her on	Leela	Fry	70	65	Intelligent	Openly valuing his initiative strengthens their bond and encourages his growth.
Leela dates several boyfriends despite social mockery of her love life	Leela	Her dates	60	55	Intelligent	She pursues relationships that meet her standards, gaining experience and connection without evident harm.
Leela makes out with Amy in Cornwood	Leela	Amy	65	60	Intelligent	Both gain mutual pleasure/experimentation with no shown negative fallout.
Leela enters a romantic relationship with Yivo	Leela	Yivo	65	60	Intelligent	She engages in a mutually desired relationship with no stated harm.
Leela becomes a blernsball player despite terrible aim and injures batters	Leela	Blernsball batters	55	20	Bandit	She gains fame and career benefits while repeatedly hurting others with wild pitches.
Leela fawns over and protects animals, even dangerous ones	Leela	Animals	40	60	Helpless	Her devotion benefits creatures but often exposes her to danger and trouble.
Leela obsessively hunts the space whale, risking her crew’s lives	Leela	Planet Express crew	10	10	Stupid	Her revenge-driven obsession endangers everyone, including herself, without clear benefit.
Leela’s failure as first female blernsball player spurs women to sign up	Leela	Other women athletes	30	75	Helpless	Her public failure hurts her reputation but motivates many women to prove themselves.
Leela uses martial arts and direct confrontation to resolve many threats	Leela	Various antagonists	80	75	Intelligent	Her combat skills usually protect herself and others and end problems efficiently.
Leela sometimes puts pride and grudges over crew safety as captain	Leela	Planet Express crew	30	20	Stupid	Letting ego override safety risks her life and the crew’s with no real gains.
Leela kicks bullies who treat kids poorly	Leela	Bullies	70	70	Intelligent	She risks some conflict to defend children, discouraging abusive behavior.
Leela is comfortable with Scruffy being injured after being distracted by her chest	Leela	Scruffy	60	30	Bandit	She passively accepts others’ harm that stems from her sexualized presence without concern.
Leela keeps elbow talons trimmed	Leela	Herself	65	55	Intelligent	She manages a mutation practically, reducing self-inconvenience and social/physical issues.
Leela keeps a sentimental attachment to her orphanage basket	Leela	Herself	55	55	Intelligent	Retaining the basket gives her emotional comfort without evident downside.
Leela decides to overdose on space honey to sleep forever	Leela	Herself	5	40	Helpless	She moves toward self-destruction out of despair, mainly harming herself while sparing others further burden.
Leela frequently dates men who later prove to be jerks	Leela	Jerk boyfriends	25	45	Helpless	Her poor romantic judgment mainly damages her emotionally while temporarily benefiting the men.
Leela embarks on a long search for other one-eyed aliens	Leela	Herself	50	55	Intelligent	The quest fulfills deep identity needs; although misled at points, the underlying pursuit is self-affirming.
Leela allows Fry’s genuine love to soften her cynicism about romance	Leela	Fry	80	80	Intelligent	Accepting Fry brings her lasting happiness and gives him the relationship he wants.
Leela decides to swim in toxic waste, relying on her mutant immunity	Leela	Herself	60	55	Intelligent	She uses an innate advantage to perform hazardous tasks safely.
Leela chooses to keep her cyclops eye instead of permanent two-eyed surgery	Leela	Herself	85	70	Intelligent	Embracing her natural eye improves her self-acceptance and preserves the uniqueness Fry values.
Leela takes on command of the Earth fleet in Bender’s Big Score	Leela	Earth fleet	60	65	Intelligent	She gains authority and attempts to defend Earth, even though she later fails strategically.
Leela takes Nibbler in as a pet due to her animal-love impulse	Leela	Nibbler	60	70	Intelligent	She gives him care and companionship, and he later proves highly important.
