Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Takes any perceived advantage to flaunt ego and lord it over others	Britta	People around her	40	20	Bandit	She gains self-importance while alienating and irritating everyone else.
Locks onto a moral frame and treats disagreement as sin and compromise as betrayal	Britta	Disagreeing others	35	25	Bandit	She reinforces her identity but damages relationships and productive dialogue.
Escalates principles into identity and defends them with disproportionate intensity	Britta	People in the situation	40	30	Bandit	She feels righteous while making cooperation and nuance harder for others.
Learns multiple times that her activism is shallow and self-serving	Britta	Britta	60	55	Intelligent	Her painful realizations push her toward genuine growth and slightly better impact on others.
Dates Troy, who is nine years younger	Britta	Troy	60	55	Intelligent	Both seem to get emotional and romantic benefit despite social awkwardness.
Initiates relationships with damaged/jerk/weirdo men as self-destructive validation	Britta	Her partners	25	30	Stupid	She harms herself emotionally and enables unhealthy partners with no clear net gain to anyone.
Analyzes behavior through Freudian childhood-wound frames	Britta	Herself and others	55	55	Intelligent	At best she increases self-understanding and sometimes helps others, even if imperfectly.
Acts as an unqualified therapist and tries to “fix” everyone	Britta	Friends and acquaintances	45	40	Bandit	She gains a sense of usefulness but often invades boundaries and mishelps others.
Insists men fighting are expressing “pent-up gayness” during “Comparative Religion”	Britta	Men she generalizes about	45	30	Bandit	She flatters her own “insight” while reducing others to a mocking stereotype.
Fights the only girl in Mike’s gang during the big brawl	Britta	Mike’s female gang member	55	45	Intelligent	She holds her own and contributes in a fairly symmetrical conflict that the episode codes as acceptable.
Strokes Annie’s arm with her face while high and comments on her soft skin	Britta	Annie	55	55	Intelligent	Both are intoxicated but it’s presented as mutually harmless, mildly affectionate contact.
Identifies with anarchism and behaves chaotically, feeding the “anarchy = dysfunction” stereotype	Britta	People assessing her politics	45	35	Bandit	She feels principled while giving others reason to dismiss her views.
Dislikes her nice parents despite them being liked by others	Britta	Her parents	40	40	Helpless	Her justified resentment mainly hurts her own family bond without clear benefit.
Leads or joins spectacle-heavy, strategy-light activist groups	Britta	Fellow activists and targets	45	35	Bandit	She gets belonging and identity while wasting group energy and doing little good.
Escalates activism and moral positioning when she lacks validation	Britta	Her social circle	40	30	Bandit	She gets attention at the cost of others’ patience and receptivity.
Attempts deception but transparently overexplains and collapses the lie	Britta	People she lies to	30	55	Helpless	Her lying backfires, embarrassing her, while others at least learn the truth.
Flies into a rage on learning her parents are secretly supporting her financially	Britta	Her parents and friends	30	35	Stupid	She damages trust and support systems while still being financially stuck.
Mooches off friends without intent to repay and then condemns them for taking money from her parents	Britta	Friends	35	25	Bandit	She preserves a self-image of independence while financially exploiting others.
Spends a series with poorer academic performance, never having received an A	Britta	Britta	40	50	Helpless	Her lack of scholastic success harms mainly herself and doesn’t notably affect others.
Treats smoking as something to hide while criticizing others’ dishonesty	Britta	Jeff and group	45	40	Bandit	She keeps her vice while undermining her credibility with others.
Wears leather jackets while proudly touting vegetarian ethics	Britta	Animals/ethical audience	50	40	Bandit	She enjoys the aesthetic while weakening the force of her own moral stance.
Cheats on a Spanish test despite trumpeting honesty as her defining feature	Britta	School/peers	40	35	Bandit	She gains in grades briefly while devaluing her own integrity and the class standards.
Tirelessly needles Jeff about his father issues while having her own unresolved parent issues	Britta	Jeff	45	40	Bandit	She gets to feel superior while aggravating Jeff without resolving her own problems.
Sponges money from friends with no intention of paying it back	Britta	Friends	30	25	Bandit	She gains direct financial benefit while straining others’ resources and goodwill.
Proudly flaunts progressive positions while using snide “repressed gay” jabs against men	Britta	Targets of her jokes	40	30	Bandit	She protects a woke self-image while harming and belittling others.
Fantasizes about the Dean being a transgender woman to fit her preferred ally narrative	Britta	Dean Pelton	40	30	Bandit	She gratifies her self-concept as supportive while erasing his actual identity.
Offers all the money in her checking account to LeVar Burton to make him stay for Troy	Britta	Britta	25	60	Helpless	She sacrifices scarce funds for Troy’s benefit with virtually no return to herself.
Secretly has sex with Jeff throughout Season 2 and hides it from the group	Britta	Jeff and study group	60	40	Bandit	She gets physical/romantic satisfaction while fostering potential secrecy-based conflict in the group.
Desperately texts “Blade” all night after convincing Annie to return her phone	Britta	Herself and Annie	25	40	Helpless	She humiliates herself emotionally while mildly inconveniencing Annie without helping anyone.
Leaves an embarrassing drunk voicemail for Jeff in “Communication Studies”	Britta	Jeff	30	55	Helpless	Her social standing and self-respect suffer while Jeff gets information and leverage.
Gets very drunk and mocks Shirley’s past alongside Jeff in “Mixology Certification”	Britta	Shirley	40	25	Bandit	She enjoys bonding with Jeff at Shirley’s emotional expense.
Offers to pay Troy’s childhood hero nearly all her remaining money to stay with Troy	Britta	Troy	25	60	Helpless	She again harms her precarious finances to give Troy a chance at an experience.
Runs a rival Sophie B. Hawkins dance in protest of the Sadie Hawkins dance concept	Britta	Dean and student body	55	45	Intelligent	She asserts her principles and, especially once Pierce helps, ends up providing a successful alternative event.
Obsessively recruits and moralizes in her activist campaigns despite poor strategy	Britta	Recruits and bystanders	45	35	Bandit	She gains a sense of purpose but mainly generates spectacle and fatigue.
Keeps trying to act as group therapist after graduating despite a weak Greendale credential	Britta	Study group	50	55	Intelligent	Over time she becomes genuinely helpful, improving her friends’ emotional outcomes.
Secretly dates Troy between seasons and initially keeps the relationship from others	Britta	Troy and study group	60	55	Intelligent	She and Troy get mutual happiness, and secrecy causes only mild, transient tension.
Lets go of Rick when his influencer persona makes the relationship toxic	Britta	Rick	65	60	Intelligent	She protects herself and indirectly pushes him to face his dysfunction, with little harm to others.
Breaks up with Troy mutually when they realize they’re better as friends	Britta	Troy	65	65	Intelligent	Both preserve their well-being and the friendship rather than prolonging an unfit romance.
Rejects Jeff’s last-ditch engagement and breaks it off for good	Britta	Jeff	65	60	Intelligent	She avoids an unhealthy nostalgia-based commitment, allowing both to move on.
Gets in huge debt and still offers people almost all the money she has	Britta	Herself	20	55	Helpless	Her chronic money foolishness harms her while occasionally benefiting others incidentally.
Continues heavy recreational drug use (weed, psychedelics) as coping and persona	Britta	Herself and friends	35	45	Helpless	It undercuts her stability more than it helps, with only minor social upsides.
