Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Mark and Leslie sleep together years before the series	Mark	Leslie	60	40	Bandit	He gains a casual encounter while she invests deep emotional meaning and later distress.
Mark and Leslie sleep together years before the series	Leslie	Mark	40	60	Helpless	She gains short-term intimacy but later emotional confusion and unreciprocated attachment while he is mostly unaffected.
Mark repeatedly sleeps with many women	Mark	Various women	65	30	Bandit	He derives frequent gratification while others are treated as forgettable, implying shallow or one-sided benefit.
Leslie imagines ongoing unresolved sexual tension with Mark	Leslie	Leslie	30	50	Helpless	Her fixation sustains her hopes but mainly traps her in a misreading of the relationship.
Mark barely remembers sleeping with Leslie	Mark	Leslie	55	30	Bandit	His indifference shields him from emotional complication but devalues her experience.
Mark stops womanizing when he starts dating Ann	Mark	Ann	80	80	Intelligent	He gains a committed relationship and she gets a faithful, more reliable partner.
Mark begins a steady relationship with Ann in Season 2	Mark	Ann	80	80	Intelligent	Both gain stability, companionship, and mutual support.
Mark stays faithful to Ann during their relationship	Mark	Ann	85	85	Intelligent	Faithfulness strengthens his self‑image and benefits Ann’s trust and security.
On first Valentine’s Day, Mark gives Ann many clichéd gifts	Mark	Ann	75	70	Intelligent	He enjoys expressing affection and she receives thoughtful, if stereotypical, attention.
Mark suffers a head injury at end of Season 1	Mark	Mark	10	50	Helpless	The injury harms him but triggers self-reflection and later positive change.
Mark rethinks his life after the head injury	Mark	Mark	85	60	Intelligent	He converts a setback into growth, improving his outlook and future relationships.
Writers remove Mark from the show at end of Season 2	Writers	Mark	50	20	Bandit	The creative team serves their narrative goals while effectively erasing his presence and opportunities.
Michael Schur promises Mark will return	Writers	Audience	55	40	Bandit	They gain short‑term goodwill/anticipation, but not fulfilling it later undercuts trust.
Writers never contact Paul Schneider to return	Writers	Mark/Actor	55	20	Bandit	They preserve production freedom but deny him further work and continuity.
Writers omit Mark from later references and cameos	Writers	Mark/Ensemble	50	30	Bandit	They maintain new focus but at the cost of continuity and his character’s payoff.
Mark often makes sarcastic remarks about others, especially Tom	Mark	Co‑workers (esp. Tom)	55	35	Bandit	He gets amusement and a coping mechanism while mildly undermining others.
Ann hits on Mark / starts romantic involvement after Andy	Ann	Mark	70	70	Intelligent	She gains a stable, mature partner and he gains a sincere, committed relationship.
Ann breaks up with Mark due to lack of “spark”	Ann	Mark	70	40	Bandit	She frees herself to seek a more fulfilling relationship while causing him emotional loss.
Mark hits on Ann before she has broken up with Andy	Mark	Andy (indirectly), Ann	65	25	Bandit	He pursues his interest in Ann despite relationship boundaries, benefiting himself while hurting Andy.
Mark falls into the pit behind Ann’s house that same night	Mark	Mark	5	50	Helpless	He is physically harmed with no upside, serving only as narrative “karma.”
Mark eagerly joins the “dig up dirt” game in “Practice Date”	Mark	Co‑workers	60	40	Bandit	He enjoys the game and shared gossip at the expense of others’ privacy.
Mark accidentally reveals to Garry that he was adopted	Mark	Garry	45	20	Bandit	He gets momentary participation in the game while causing Garry clear personal hurt.
Mark feels he’s gone too far and backs out of the game	Mark	Co‑workers	65	70	Intelligent	He limits further harm to others and preserves his integrity, though losing out on the group “fun.”
Ann ultimately gets together with Chris after Mark	Ann	Chris	80	70	Intelligent	She secures a relationship that better fits her needs while giving Chris a committed partner.
