Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Enters into a smuggling arrangement with the Greek to fund dock lobbying	Frank Sobotka	The union / Baltimore public	40	20	Bandit	He gains political cash and temporary leverage while enabling major criminal smuggling that harms the wider community and risks his own position.
Uses smuggling money to keep his longshoremen employed and fed	Frank Sobotka	Union members	55	75	Intelligent	He materially improves his men’s livelihoods with steady work and income, though via risky illegal means that later backfire.
Decides to turn to crime “to keep his friends and union brothers employed and able to feed their families”	Frank Sobotka	Union members	45	70	Intelligent	His motive and near‑term effect are to protect jobs and families, but he exposes himself and them to long‑term criminal fallout.
Laughs off the priest’s suggestion to go to confession	Frank Sobotka	Himself / Church	52	55	Intelligent	He avoids a confession that might create legal or social complications, with negligible broader impact.
Keeps a dartboard with Bob Irsay’s face and uses it as an emotional outlet	Frank Sobotka	Himself	60	55	Intelligent	Harmless venting gives him minor stress relief with no discernible cost to others.
Fights back against his murderers, dying with defensive wounds	Frank Sobotka	His attackers	20	5	Helpless	He resists to preserve his life but still gets killed, inflicting at most trivial harm on the killers.
Reacts with fury when he discovers people are being smuggled	Frank Sobotka	The Greek / smugglers	45	60	Intelligent	His outrage shows a line he will not cross and could constrain more abusive smuggling, even though it doesn’t save him.
Remains loyal to his wife in a culture of widespread infidelity	Frank Sobotka	His wife / family	70	70	Intelligent	Faithfulness benefits his own relationship stability and respects his spouse in a setting where betrayal is common.
Refuses to admit defeat and keeps fighting for a dying stevedore industry	Frank Sobotka	Union members	30	25	Stupid	His stubbornness squanders chances to transition workers to sustainable jobs, leaving him and them worse off when the docks collapse.
Secretly gives a departing union man “a shot and a beer” that is actually several thousand dollars	Frank Sobotka	Individual union member	55	80	Intelligent	He quietly sacrifices strained personal finances to provide major relief to a desperate worker.
Regularly bails out struggling union men financially through Nick	Frank Sobotka	Various union members	48	78	Intelligent	His pattern of covert assistance keeps multiple workers afloat despite deepening his own money problems.
“Essentially sells his soul” by fully committing to criminal funding for the docks	Frank Sobotka	Himself / Community	25	30	Stupid	The deeper he ties the union to the Greeks, the more he ensures his own ruin and the later destruction of the union.
Attends a presentation on automation that shows jobs disappearing	Frank Sobotka	Himself / Union leadership	40	60	Intelligent	Seeing the threat gives him crucial information about the industry’s future, which he could use to plan transitions, even if he ultimately doesn’t.
Continues pouring effort into making the docks legitimate for another decade despite knowing jobs will vanish in five years	Frank Sobotka	Union members	20	30	Stupid	He aims for an impossible future instead of preparing his people for new trades, worsening their later unemployment.
Attends political events to schmooze local politicians like Clay Davis	Frank Sobotka	Politicians	55	40	Bandit	He cultivates influence to help his agenda, gaining some leverage while feeding a corrupt political ecosystem with limited public benefit.
Makes an extravagant donation for a church window he should not be able to afford	Frank Sobotka	Church / Valchek	35	20	Bandit	The donation buys him prestige and cultural standing but triggers Valchek’s suspicion and investigation that later destroys him.
Confronts Valchek about the church window instead of defusing the situation	Frank Sobotka	Valchek	10	10	Stupid	His prideful tirade provokes Valchek into forming the detail that ultimately wrecks his life and union with no compensating gain.
Ensures Ziggy always has a job at the docks, despite his incompetence	Frank Sobotka	Ziggy	35	20	Stupid	Keeping Ziggy employed without standards prevents his growth, entrenches his dysfunction, and undermines the work environment.
Fails to fire Ziggy or hold him accountable for bad performance	Frank Sobotka	Ziggy / Union	30	25	Stupid	By avoiding hard consequences he lets Ziggy become a joke with no prospects while damaging morale and work quality for others.
Neglects Ziggy personally, leaving Nick and the longshoremen to raise him	Frank Sobotka	Ziggy	15	20	Stupid	His emotional absence contributes heavily to Ziggy’s dysfunction and poor development, hurting them both.
Opposes expanding into other working‑class jobs and clings to stevedore work only	Frank Sobotka	Union members	25	20	Stupid	His narrow vision keeps his people tied to a dying niche, preventing them from moving into sustainable trades.
Agrees to a proffer session with the authorities	Frank Sobotka	The Greek / Law enforcement	15	60	Helpless	Cooperating could reduce his legal exposure and help the case, but it directly leads the Greeks to kill him before he can benefit.
