Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Happily helps Sayid build his signal fire after the crash	Charlie	Sayid and other survivors	70	85	Intelligent	He contributes useful labor to improve group rescue chances and social standing.
Throws the last of his heroin stash into the fire, going cold turkey	Charlie	Himself	80	70	Intelligent	He sacrifices short-term comfort to break addiction, benefiting himself and making him more reliable to others.
Resists using heroin again despite finding the smugglers' plane full of it	Charlie	Himself	85	60	Intelligent	He foregoes relapse despite strong temptation, preserving his recovery and reliability.
Doggedly supports and is nice to Claire	Charlie	Claire	65	80	Intelligent	His persistent kindness builds a positive relationship and helps Claire emotionally.
Engages in “Sex, Drugs, and Rock & Roll” lifestyle before the island	Charlie	Himself	40	40	Helpless	His hedonistic behavior fuels addiction and instability with no clear net benefit shown.
Snarks and provides comic relief with Hurley and others	Charlie	Other survivors	70	70	Intelligent	His humor boosts group morale and strengthens his social bonds.
Undergoes heroin withdrawal and jealousy-driven sanity slippage in Season 2	Charlie	Himself	20	30	Helpless	His prior choices and jealousy harm his mental state and strain relationships.
Pulls himself together after Season 2 instability	Charlie	Himself & other survivors	75	65	Intelligent	Regaining stability improves his own functioning and reduces problems for others.
Calls out Jack, Sayid, and Locke for not checking on Claire once she’s awake	Charlie	Jack, Sayid, Locke	55	75	Intelligent	He risks some social friction to prompt them to prioritize Claire’s well‑being.
Goes to talk directly to Claire instead of just discussing her condition	Charlie	Claire	65	80	Intelligent	He actively offers Claire support, improving her situation and his relationship with her.
Shoots a disarmed and helpless Ethan six times in the chest	Charlie	Ethan	45	15	Bandit	He kills a dangerous captor partly for protection and vengeance, removing a threat but denying the group potential intel and due process.
Swims down to the Looking Glass to stop the jamming signal despite knowing he won’t return	Charlie	Other survivors	5	95	Helpless	He knowingly sacrifices his life so the others can use the satellite phone and be saved.
Locks the Looking Glass door to save Desmond and traps himself	Charlie	Desmond	5	90	Helpless	He ensures Desmond’s survival and mission success while dooming himself.
Gives Desmond a final message (“Not Penny’s Boat”) before drowning	Charlie	Desmond and wider group	10	95	Helpless	He uses his last moments to warn Desmond of danger, saving others while gaining no personal survival benefit.
Pleasantly accepts that his reported death boosted Drive Shaft’s popularity	Charlie	Drive Shaft / fans	60	60	Intelligent	He takes satisfaction and renewed status from the band’s post‑“death” success without harming anyone.
Busks by performing “Wonderwall” in a flashback	Charlie	Passersby	55	60	Intelligent	He likely gains some money or recognition while entertaining others.
Jack resuscitates Charlie after finding him hanging lifeless on bamboo	Jack	Charlie	70	85	Intelligent	He expends effort to save Charlie’s life, with no evident downside to others.
Kate initially stops Jack from trying to save Charlie, insisting he’s not coming back	Kate	Jack and Charlie	30	20	Stupid	She delays life‑saving action and risks Charlie’s death and Jack’s distress without any shown benefit.
Desmond vigilantly watches Charlie because “everything” seems to be trying to kill him	Desmond	Charlie	55	75	Intelligent	He invests effort and attention to prevent Charlie’s repeated near‑deaths, protecting a friend and ally.
