Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Marries his former step-sister during his presidential campaign	Jonah	Former step-sister / electorate	30	20	Stupid	Creates serious taboo scandal risk with minimal shown upside beyond a poll bump rooted in public perversity.
Hits on Amy, Sue, and every remotely attractive woman he meets	Jonah	Women he hits on	40	20	Bandit	He seeks personal gratification but is always rebuffed and makes women uncomfortable.
Frequently makes unintentionally misogynistic remarks	Jonah	Women around him	35	15	Stupid	Reinforces his unpopularity and harms women’s comfort with no benefit.
Reluctantly admits Teddy molested him to Kent and Eric	Jonah	Kent and Eric	30	40	Helpless	His disclosure gains him little and exposes vulnerability while giving others important information they ignore.
Tries to talk to Catherine about Teddy molesting him to avoid looking like a loser	Jonah	Catherine	25	45	Helpless	Reopens his trauma and confuses Catherine without improving his reputation.
Walks out on class action lawsuit against Teddy because other victims are women	Jonah	Other Teddy victims / case	15	25	Stupid	Undercuts his own legal/justice interests and weakens the case for other victims.
Makes Islamophobic remarks that gain him popularity with bigots	Jonah	Muslims / general public	75	10	Bandit	Boosts his political following while fueling prejudice and social harm.
Demands Selina show her birth certificate to prove her age	Jonah	Selina / public discourse	65	30	Bandit	Gains attention and conspiracist support while degrading norms and Selina’s position.
Runs for President on an anti-immigrant platform	Jonah	Immigrants	80	10	Bandit	Improves his political fortunes by stoking hostility toward immigrants.
Recognizes some followers’ “murder illegals” rhetoric is too extreme and admits he went too far	Jonah	Immigrants / followers	40	55	Intelligent	Walks back the most violent rhetoric, modestly helping others and slightly hurting his extremist appeal.
Has friendly, positive banter with the woman with Down syndrome at the bowling alley	Jonah	Bowling alley employee	60	80	Intelligent	Builds rapport that helps his image and genuinely treats her well.
When video makes it look like he yelled at the woman, worries first about whether she will believe it	Jonah	Bowling alley employee	55	75	Intelligent	Prioritizes her feelings over campaign optics, modestly helping both.
Realizes he’s at a neo-Nazi rave and immediately leaves	Jonah	Neo-Nazis / broader public	70	60	Intelligent	Protects himself from association while reducing his complicity in an extremist event.
Campaigns on an anti-Meyer platform after being sick of Selina bossing him	Jonah	Selina / political system	80	30	Bandit	Improves his polling and leverage while undercutting Selina and adding toxicity to politics.
Hires Teddy, who sexually harassed him, to mock Teddy for chemical castration	Jonah	Teddy	40	10	Bandit	Gains petty emotional satisfaction at Teddy’s expense while reintroducing his abuser into his orbit.
Moves up the political ladder and becomes more unhinged and vile	Jonah	Constituents / system	90	15	Bandit	Accrues more power while increasingly harming the public sphere.
Hates Daylight Savings Time and campaigns against it	Jonah	General public	55	65	Intelligent	Addresses a widely felt inconvenience and boosts his appeal without clear harm.
Gets sick of Selina, yet his anti-Meyer platform “works wonders” that suit her fine	Jonah	Selina	80	70	Intelligent	Advances his own career while ironically aiding Selina’s political situation.
Is recruited to run for Congress as an easily replaceable placeholder	Jonah	Uncle Jeff / Ezra	75	30	Bandit	He gains a powerful seat that others intended as temporary, complicating Jeff’s succession plan.
Hangs onto positions he doesn’t deserve for far longer than intended	Jonah	Colleagues / institutions	85	20	Bandit	Enjoys prolonged status while impeding more competent replacements.
Shuts down the government out of spite	Jonah	Public / government workers	75	5	Bandit	Gains attention and leverage while imposing broad costs on citizens and institutions.
Sets himself up for a presidential run after shutdown	Jonah	Electorate	80	20	Bandit	Uses his notoriety to fuel higher ambitions, worsening political quality.
Obsessively points out he works at the White House to others	Jonah	People he talks to	60	35	Bandit	Inflates his ego and stature while mostly just annoying others.
Engages in an anti-vax crusade	Jonah	Public health / his father	20	5	Stupid	Sows dangerous misinformation that hurts others and ultimately backfires on him.
Continues anti-vax crusade leading to his father’s death (patricide)	Jonah	His father	5	0	Stupid	Directly causes his father’s death and deep personal loss without gaining anything durable.
Hides that his cancer is in remission and shaves his head to look like a cancer patient	Jonah	Voters	55	20	Bandit	Improves approval ratings through deception at the cost of public trust.
Makes up acronyms like “VPOTUS,” “FDOTUS,” and “VPVP”	Jonah	Colleagues	55	40	Bandit	Derives self-amusement and identity while irritating coworkers.
Has a hair-trigger temper and throws fits when offended	Jonah	People around him	25	20	Stupid	Damages relationships and reputation without real benefit.
Runs for President as far-right conspiracy theorist in a Democratic primary	Jonah	Democratic voters / discourse	85	15	Bandit	Gains frontrunner status while degrading party coherence and reality-based debate.
Smugly rubs it in when he gets one over on Dan, including after Dan’s anxiety attack	Jonah	Dan	60	20	Bandit	Enjoys dominance over Dan while worsening Dan’s distress and their working relationship.
Throws his “Jeffersons” caucus against the bipartisan budget bill purely out of spite	Jonah	Congress / public budget	70	10	Bandit	Gains spiteful satisfaction and notoriety while disrupting governance.
Obfuscates his reliance on nepotism and claims he wants a job “on his own merits” via Uncle Jeff	Jonah	Uncle Jeff / himself	55	40	Bandit	Seeks personal advancement while leaning on family and being self-deceiving.
Gets banned from Uber due to low rating	Jonah	Uber drivers / himself	30	35	Helpless	His bad behavior costs him a service while modestly protecting drivers from him.
Frequently calls his mom	Jonah	His mother	60	70	Intelligent	Maintains supportive family connection that benefits both.
Runs for office while drunk on power and increasingly vile	Jonah	Public	85	15	Bandit	Converts his ambition into influence that harms political culture.
Goes on an anti-vax crusade that eventually contributes to losing his other testicle to cancer	Jonah	Himself	10	30	Helpless	His broader reckless choices leave him severely physically harmed.
Appreciates Richard and ensures he gets a cabinet position	Jonah	Richard	65	85	Intelligent	Uses his influence to reward a loyal friend, enabling Richard’s rise while reflecting well on himself.
Ensures Richard gets a cabinet position that helps Richard become President	Jonah	Richard / country	70	90	Intelligent	Significantly advances Richard’s path to high office while associating himself with that success.
Gives an epic denouncement of Teddy as soulless sexual harasser	Jonah	Teddy / harassers	50	65	Intelligent	Accurately calls out abuse, helping the norm against harassment without clear self-gain.
Has his anti-vax crusade lead to his father’s death specifically framed as patricide	Jonah	His father	5	0	Stupid	Direct killing-by-ideology harms both his family and himself with no benefit.
Gets elected to Congress via anti-vax/anti-math/Islamophobic platforms	Jonah	Constituents	90	10	Bandit	Reaches high office through harmful, ignorant messaging that damages public understanding.
Promises to ban math because he claims Algerians (Muslims) invented it and everyone hates Muslims	Jonah	Students / Muslims / education	85	5	Bandit	Boosts support among extremists by attacking basic education and stigmatizing Muslims.
Bans math rhetoric driven by a grudge against his math-teacher stepdad	Jonah	Stepdad / schooling	80	10	Bandit	Uses public policy rhetoric to settle personal scores, harming educational norms.
Frequently hits on Amy and Sue despite repeated rebuffs	Jonah	Amy and Sue	40	15	Stupid	He wastes effort and worsens professional relations without ever succeeding.
Is made Vice President with no power and later impeached	Selina / system	Jonah	15	55	Helpless	He gains a title but ends powerless and impeached while enabling others’ strategies.
Shows undying loyalty to Richard over time	Jonah	Richard	65	80	Intelligent	Consistent support fosters a mutually beneficial, stabilizing friendship.
Wouldn’t care if Richard hit schoolchildren while driving; only cares about speed and filming	Jonah	Schoolchildren	45	5	Bandit	Values his own agenda and impatience over children’s safety, though harm is narrowly avoided.
