Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Cheats on her then-girlfriend with Piper	Alex	Previous girlfriend	70	15	Bandit	Gains desired new relationship with Piper while emotionally harming her then-partner.
Breaks up properly with previous girlfriend to be with Piper	Alex	Previous girlfriend	65	45	Intelligent	Cleans up relationship situation to pursue Piper, reducing ongoing harm to ex compared to continued cheating.
Manipulates Piper into joining an international drug ring	Alex	Piper	80	5	Bandit	Gains help/companionship and criminal utility while exposing Piper to serious legal risk.
Names Piper in her indictment	Alex	Piper	60	5	Bandit	Reduces her own legal exposure by implicating Piper, heavily endangering Piper’s freedom.
Lies to Piper about naming her in the indictment	Alex	Piper	55	20	Bandit	Protects her relationship and image with Piper while prolonging Piper’s confusion and emotional harm.
Cuts a separate deal with the prosecutor for release in exchange for testimony	Alex	Justice system / others in case	80	25	Bandit	Improves her own chance of release at the expense of others she testifies against.
Convinces Piper to lie under oath	Alex	Piper	70	10	Bandit	Seeks stronger deal and aligned story while pushing Piper into serious legal and moral jeopardy.
Lives in fear of retribution after the case collapses due to prosecutor’s screw-up	Alex	Herself	20	50	Helpless	Gains no benefit from the failed deal and suffers heightened ongoing danger while others are relatively unaffected.
Piper betrays Alex by revealing her plan to skip parole, getting her arrested again	Piper	Alex	30	15	Stupid	She gains brief revenge but loses partner/trust and brings more trouble with little broader benefit.
Works past mutual issues with Piper in seasons 3 and 4	Alex	Piper	80	80	Intelligent	Both rebuild a healthier relationship with mutual emotional and practical support.
Threatens Pennsatucky with prison rape (without meaning it)	Alex	Pennsatucky	40	20	Bandit	Intimidates another inmate for leverage/safety, causing fear but no direct physical harm.
Testifies against her drug dealer acquaintance leading to her release	Alex	Drug dealer acquaintance	85	20	Bandit	Obtains release and legal benefit while gravely harming the associate facing prosecution.
Complies with restrictive release conditions, effectively never leaving her house	Alex	Herself	40	60	Helpless	Avoids re-incarceration but lives in near-total confinement with little positive personal growth.
Kills Aydin by suffocation to stop Kubra’s hitman	Alex	Aydin	65	30	Bandit	Prevents her own likely murder at the cost of taking a life and inviting guilt and potential retaliation.
Goes through long guilt and paranoia after killing Aydin	Alex	Herself	15	55	Helpless	Suffers severe psychological damage with no offsetting gain while others are mostly unaffected.
Almost confesses to killing Aydin	Alex	Justice system / authorities	30	60	Helpless	Risks severe punishment and exposure with little clear personal benefit, while potentially aiding justice.
Confesses to about 20 inmates that she has killed someone (without specifics)	Alex	Other inmates	25	45	Helpless	Makes herself vulnerable to gossip, manipulation, or blackmail while offering minor honesty/bonding benefit to others.
Rubs Red’s feet for 45 minutes to make amends and gain favor	Vause	Red	80	85	Intelligent	Invests effort to quickly restore favor and get food access while giving Red comfort and attention.
Piper makes Red’s lotion over time to make amends and get food access	Piper	Red	55	75	Intelligent	Expends more effort for slower reward but still improves relationship and Red’s comfort.
Slaps and then kisses Piper at start of season 3	Alex	Piper	55	40	Bandit	Partly satisfies her own intense emotions and restarts intimacy while causing Piper confusion and some hurt.
Becomes more vulnerable after being thrown back in prison and killing Aydin	Alex	Herself	35	55	Helpless	Loses emotional defenses and stability with limited benefit beyond some deeper honesty.
Piper and Alex eventually marry after all their conflicts	Piper & Alex	Themselves / each other	90	80	Intelligent	Both secure long-term emotional partnership and mutual support after working through damage.
