Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Blue Oni relationship: Bubbles emotionally supports Johnny and Sherrod	Bubbles	Johnny & Sherrod	40	70	Helpless	He invests care in them at personal cost while modestly improving their lives, yet all three ultimately die or suffer greatly.
Street addict repeatedly robs and beats Bubbles	Street addict	Bubbles	60	5	Bandit	The addict gains money or goods while seriously harming Bubbles.
Police fail to help Bubbles against his tormentor	Police	Bubbles	45	10	Stupid	They avoid effort in the moment but gain no clear benefit and allow continued harm to Bubbles.
Bubbles plans to use potassium cyanide to kill his tormentor	Bubbles	Street addict	20	5	Stupid	He risks huge legal and moral consequences for a risky revenge plan that offers no real long-term gain.
Sherrod takes the cyanide, mistaking it for heroin	Sherrod	Himself	0	10	Helpless	He unintentionally kills himself while mildly benefiting the intended target by removing the planned threat.
Bubbles turns himself in for murder	Bubbles	Police/justice system	10	60	Helpless	He gravely harms his own legal situation to help the system assign responsibility and acknowledge the crime.
Bubbles tries to hang himself in the interrogation room	Bubbles	Himself	0	5	Stupid	A direct suicide attempt only harms himself and offers no benefit to anyone.
Herc repeatedly lets Bubbles down in helping against The Fiend	Herc	Bubbles	40	15	Stupid	Herc avoids effort or risk but gains little while allowing Bubbles’ situation to deteriorate.
Bubbles decides to retaliate by setting Herc up with a false tip	Bubbles	Herc	35	15	Stupid	His spiteful act risks serious backlash for little tangible gain and causes real harm to Herc.
Bubbles calls in the minister to Herc as doing a drug re-up	Bubbles	Minister & Herc	30	10	Stupid	The false report endangers an innocent minister and deepens Herc’s trouble without materially improving Bubbles’ life.
Herc roughs up the minister in a bogus shakedown	Herc	Minister	40	5	Bandit	He asserts power and tries to score credit off a tip while inflicting serious harm on an innocent man.
Bubbles acts as an informant for the BPD for pay	Bubbles	Drug dealers (targets of info)	55	35	Bandit	He earns money and some protection while contributing to harm against the people he informs on.
Bubbles gathers information cleverly while staying unsuspected	Bubbles	Drug dealers	60	40	Bandit	His guile improves his own safety and income while aiding police actions that hurt the dealers.
Bubbles mentors Johnny in street life and survival	Bubbles	Johnny	55	75	Intelligent	He gains companionship and purpose while significantly improving Johnny’s knowledge and survival chances.
Bubbles takes a fatherly interest in Sherrod and tries to help him	Bubbles	Sherrod	50	80	Intelligent	He gains emotional fulfillment and sobriety motivation while clearly trying to stabilize Sherrod’s life.
Bubbles starts selling T‑shirts and items from a shopping cart to support himself	Bubbles	Himself & customers	70	70	Intelligent	He develops a small business that improves his situation and offers useful goods to others.
The Fiend targets Bubbles’ mobile kiosk and robs/harasses him	The Fiend	Bubbles	65	10	Bandit	The Fiend extracts money or goods at Bubbles’ expense with little broader effect.
Bubbles prepares a “hot shot” poison to kill The Fiend	Bubbles	The Fiend	15	5	Stupid	The murder scheme carries extreme risk to himself for a revenge payoff that offers no durable benefit.
Bubbles drifts in and out of recovery programs	Bubbles	Himself & support staff	40	60	Helpless	His relapses undercut his own progress while still allowing counselors and peers to practice and offer help.
Bubbles eventually sobers up for good in season 5	Bubbles	Himself & community	95	85	Intelligent	Long‑term sobriety greatly improves his own life and positively affects others who rely on or care about him.
Bubbles processes his guilt over Sherrod’s death in recovery	Bubbles	Himself & support group	80	80	Intelligent	Working through guilt aids his own healing and enriches the group’s understanding and solidarity.
Bubbles works to put his life back together after Sherrod’s death	Bubbles	Himself & associates	90	80	Intelligent	His efforts rebuild his stability and relationships, benefiting both him and those around him.
Bubbles expresses that it’s unfair he is HIV‑negative while Sherrod was not	Bubbles	Himself	45	55	Helpless	His survivor’s guilt emotionally harms him while modestly deepening empathy and moral reflection in others who hear it.
Bubbles uses his paternal instincts to keep fellow addicts out of trouble	Bubbles	Other addicts	60	80	Intelligent	He finds purpose and modest benefit while significantly helping others avoid worse outcomes.
