Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Arturo makes escape plans that lead to Mónica’s apparent death	Arturo	Mónica and other hostages	10	5	Stupid	His plans get Mónica seemingly killed and worsen the situation for everyone including himself via guilt and grief.
After learning Mónica is alive, Arturo resumes half‑baked escape schemes and pressures hostages to help	Arturo	Other hostages	8	5	Stupid	He gains no real safety and repeatedly endangers himself and others through reckless, coerced plans.
Arturo attempts to fight Denver to get Mónica back	Arturo	Denver	15	20	Stupid	He initiates a fight he loses instantly, hurting his own position without affecting Denver.
Arturo begs Denver not to punch his face, blaming stress	Arturo	Denver	40	30	Helpless	He marginally protects himself but only by exposing his own weakness and gaining no benefit for others.
Arturo reveals that hostages are executing his escape plan, forcing Denver to intervene	Arturo	Hostages executing plan	20	10	Stupid	His admission stops a punch but triggers a crackdown that undermines his own scheme and endangers others.
Arturo cheats on his wife Laura with his secretary Mónica	Arturo	Laura and Mónica	35	20	Bandit	He gets short‑term romantic/sexual gratification while deeply harming his marriage and both women.
Arturo impregnates Mónica while married to Laura	Arturo	Laura and Mónica	30	20	Bandit	The pregnancy heightens emotional and familial fallout while giving him only problematic responsibility.
Arturo accidentally says Mónica’s name while talking to Laura, exposing his infidelity	Arturo	Laura	10	30	Stupid	The slip destroys his marriage and public image while at least giving Laura clarity about his betrayal.
Arturo starts a physical fight with Denver in Episode 12 to get Mónica back	Arturo	Denver	12	15	Stupid	He gains nothing, is immediately overpowered, and worsens his own standing.
Arturo continually makes desperate defiance/escape plans that worsen conditions for all	Arturo	Other hostages	5	5	Stupid	His repeated schemes increase danger and chaos for everyone, including himself, with no real gains.
Arturo tries to bully other hostages into dangerous escape attempts	Arturo	Other hostages	15	10	Bandit	He seeks personal escape status at the cost of other hostages’ safety, sometimes getting them killed or nearly so.
Arturo divulges his big escape plan to the heist team when they threaten to beat him	Arturo	Heist team	25	40	Helpless	He slightly protects himself by betraying his own plan, which empowers his captors and hurts other hostages’ chances.
Arturo molests Amanda while she is under the effects of pills he gave her	Arturo	Amanda	5	0	Bandit	He commits sexual assault for personal gratification, causing severe harm with no long‑term benefit to himself.
Arturo falsely accuses Denver of raping Mónica when he catches them having sex	Arturo	Denver	20	15	Bandit	He attempts to weaponize a lie to reclaim control and damage Denver, risking Mónica and Denver while preserving his ego.
Arturo gropes Mónica and becomes sexually overexcited after her apparent return	Arturo	Mónica	15	10	Bandit	He gains momentary sexual gratification while violating boundaries and eroding his relationship and image.
Arturo repeatedly makes moving speeches to Laura then ruins them by calling her Mónica	Arturo	Laura	10	25	Stupid	He sabotages his own attempts at reconciliation and further hurts Laura, gaining nothing.
Arturo jizzes in his pants while groping Mónica	Arturo	Arturo’s own dignity	20	35	Helpless	He gets involuntary pleasure but severely undermines his image and relationship prospects.
Arturo’s idiotic defiance leads to him being shot in the first heist	Arturo	Arturo	5	45	Stupid	His actions directly cause serious injury to himself with no offsetting benefit to anyone.
Arturo’s continued defiance gets him near‑fatally shot in Season 5	Arturo	Arturo	3	45	Stupid	He again incurs extreme physical harm for no gain, showing a self‑destructive pattern.
Arturo rapes Amanda in Season 4	Arturo	Amanda	5	0	Bandit	He inflicts maximum harm for fleeting sexual gratification, with no lasting benefit and high risk to himself.
Arturo gives a moving speech to Laura while declaring love, then says Monica’s name	Arturo	Laura	10	25	Stupid	He wrecks any positive impact of his own speech and further devastates his wife.
Arturo voluntarily becomes a hostage again in Season 3 to play hero	Arturo	Himself and other hostages	15	20	Stupid	He re‑enters danger for ego and publicity, heightening risks without improving anyone’s safety.
Arturo constantly manipulates other hostages by appealing to survival and heroism	Arturo	Other hostages	25	15	Bandit	He seeks escape and glory by pushing others into risky actions that endanger them.
Arturo bullies his employees as Mint director by threatening to fire them	Arturo	Employees	35	20	Bandit	He maintains power and compliance via intimidation while harming morale and well‑being.
Arturo builds a profitable public reputation based on lies about his “heroism”	Arturo	Public	80	20	Bandit	He gains fame and income by deceiving society about his cowardice and failures.
Arturo becomes a motivational speaker and public figure glorifying his false heroism	Arturo	Public	75	25	Bandit	He benefits financially and socially while misinforming and manipulating the public narrative.
Arturo purposely gets into the Bank of Spain during the second heist to be a hero	Arturo	Other hostages	20	20	Stupid	He chases egoistic glory by re‑entering a heist, worsening risk for himself and others without improving their situation.
Arturo spreads lies portraying the heist crew as pure villains while ignoring his own flaws	Arturo	Heist crew and public	60	30	Bandit	He bolsters his self‑image and public support while distorting the truth and inflaming hostility.
Arturo accuses Denver of kidnapping “his” child in public narratives	Arturo	Denver	55	30	Bandit	He gains sympathy and moral high ground while mischaracterizing Denver and muddying the real history.
Arturo adopts and uses an extremely weak phone PIN (1234)	Arturo	Arturo	45	50	Stupid	He marginally harms his own data security and is mocked for it, with no benefit to anyone.
Arturo vomits on seeing Mónica and Denver having sex	Arturo	Arturo	45	45	Helpless	His physical reaction embarrasses him and disrupts the scene without helping anyone.
Arturo tries to strip off the fake bomb and launch another escape plan	Arturo	Other hostages	10	10	Stupid	His intended response would endanger himself and everyone else with no clear payoff.
Arturo dismisses Mario’s warnings and tries to lower Mónica’s guard to kill her	Arturo	Mónica	10	5	Stupid	His attempted murder backfires when she shoots him, gravely injuring him and failing to harm her.
