Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Ron's father drops Ron at the metal factory instead of college	Ron's father	Ron	70	5	Bandit	Saves himself perceived "waste" of college while severely burdening Ron, who must fend for himself.
Ron hitchhikes his way to college	Ron	Ron	82	40	Intelligent	Overcomes obstacle to reach college with no shown harm to others.
Ron leaves 99% of Parks work to Leslie	Ron	Leslie / city	63	45	Bandit	He protects his principles and comfort while shifting workload and bureaucratic drag onto Leslie and the public.
Ron convinces Chris to undo office changes for coworkers' sake	Ron	Chris & coworkers	78	80	Intelligent	He sacrifices desired government collapse to restore coworkers’ morale and productivity.
Ron eats extreme quantities of unhealthy food	Ron	Ron	30	50	Helpless	Extreme diet endangers his health without affecting others much.
Jamm adopts Ron’s eating habits and gets sick	Jeremy Jamm	Jeremy Jamm	10	50	Helpless	He copies an unhealthy lifestyle that clearly harms him with no shown benefit.
Ron hides his birthday from government records	Ron	Office coworkers	65	40	Bandit	He preserves his privacy and comfort while mildly depriving others of social bonding.
Ron intentionally sabotages Parks Department productivity	Ron	Pawnee government/public	70	15	Bandit	He gains ideological satisfaction while reducing governmental effectiveness for citizens.
Ron refuses to openly express caring for friends	Ron	Ron’s friends	55	60	Intelligent	He maintains his emotional boundaries yet still supports them indirectly, modestly benefiting all.
Ron retrieves escape backpack when Tammy One appears	Ron	Ron	70	55	Intelligent	He protects himself from an abusive ex with no harm to others.
Ron salts his gold caches with fake gold	Ron	Potential thieves	75	30	Bandit	He improves his security by wasting thieves’ efforts and misleading them.
Ron keeps secret whiskey in office wall for emergencies	Ron	Ron	65	50	Intelligent	Prepares for stressful situations, helping himself without affecting others.
Ron maintains 37 bacon caches anticipating a shortage	Ron	Ron / office	60	40	Bandit	He secures his own supply at effort and potential deprivation of shared resources.
Ron lies to protect Donna after she rear-ends dealer	Ron	Car dealer	70	20	Bandit	He shields Donna from blame and financial loss while unfairly harming the dealer.
Ron becomes a doormat around Tammy One	Ron	Tammy One	20	40	Helpless	He submits to control that harms his autonomy, mildly pleasing her.
Ron grows into loving family man with Diane and children	Ron	Diane & kids	90	90	Intelligent	He gains deep familial fulfillment while providing care and stability.
Ron gives Andy a scholarship	Ron	Andy	75	90	Intelligent	He parts with money but gains satisfaction and helps Andy advance significantly.
Ron loans money to Tom for his business	Ron	Tom	70	85	Intelligent	He risks resources to support Tom’s entrepreneurial efforts and personal growth.
Ron eats vegan bacon samples only to throw them out	Ron	Others who might eat vegan bacon	55	30	Bandit	He amuses/protects himself from food he dislikes while wasting food others could have used.
Ron forces boys’ basketball team to get short haircuts	Ron	Team boys	60	30	Bandit	He enforces his aesthetic ideals at minor benefit to his sense of order and at cost to kids’ autonomy.
Ron takes over Leslie’s duties in “Christmas Scandal”	Ron	Parks Department / public	80	80	Intelligent	He steps in competently to keep government services functioning.
Ron turns down Deputy City Manager job to stay in Parks	Ron	Parks coworkers	78	75	Intelligent	He preserves a role he likes and stability for his team.
Ron builds and crash-tests a crib with his car	Ron	Baby user of crib	65	80	Intelligent	He risks his own car to ensure the crib’s safety for the child.
Ron moonlights as Duke Silver	Ron	Duke Silver fans	75	75	Intelligent	He gains income and joy from music while entertaining his audience.
Ron sells crafted flutes/recorders to doomsday cult	Ron	Doomsday cult	70	60	Intelligent	He profits from his craft and provides valued instruments with no explicit harm in text.
Ron steps up as Parental Substitute for April and Andy	Ron	April & Andy	88	90	Intelligent	He invests time and care and significantly improves their lives and stability.
Ron apologizes to April and asks her to return	Arthur “Ron” Swanson	April	80	85	Intelligent	He repairs relationship and restores a valued employee, benefiting both.
Ron lies to protect Donna and Joe relationship prospects	Ron	Donna	70	75	Intelligent	He uses his judgment to push Donna away from a harmful pattern toward potential real happiness.
Ron supports April and Andy’s relationship development	Ron	April & Andy	75	80	Intelligent	He encourages a pairing that brings them happiness with no shown downside.
Ron helps Ann learn home repair	Ron	Ann Perkins	70	80	Intelligent	He spends effort teaching skills that empower Ann.
Ron builds Chris a crib to ease his stress	Ron	Chris	75	85	Intelligent	He uses his skill and time to materially reduce Chris’s anxiety.
Ron protects Donna from “her Tammy” Joe	Ron	Donna	75	80	Intelligent	He becomes suspicious on her behalf, steering her away from a toxic dynamic.
Ron becomes friends with Typhoon and serves as best man	Ron	Typhoon & Craig	80	85	Intelligent	He gains friendship and greatly honors/supports their wedding.
Ron tries to slaughter a pig for a public park barbecue	Ron	Public / other departments	55	40	Bandit	He pursues his ideal barbecue at odds with health and regulatory concerns.
Ron walks out of barbecue when people complain about no kids’ drinks	Ron	Guests (esp. children)	65	30	Bandit	He preserves his principles but abandons hosting duties, inconveniencing others.
Ron protects his son’s privacy and goes on offensive against Gryzzl	Ron	Gryzzl / son	80	70	Intelligent	He defends his child’s data rights, forcing a corporation to respect privacy.
Ron stands protectively in front of his daughters around Tammy II	Ron	Daughters	85	85	Intelligent	He shields them from a dangerous ex, increasing their safety and his peace of mind.
Ron goes to Scotland to visit Lagavulin distillery at Leslie’s urging	Ron	Ron	78	70	Intelligent	He gains joy and perspective, and Leslie’s gesture is validated, strengthening bonds.
Ron buys the Lagavulin distillery (controlling interest)	Ron	Lagavulin / workers	88	70	Intelligent	He secures a profitable passion investment and likely stabilizes the business.
Ron burns his Employee of the Month plaque and hides the ashes	Ron	Award givers	60	45	Bandit	He reasserts his anti-government identity while rejecting colleagues’ recognition.
