Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Father gets her on Compound V to perform in pageants for money	Her father	Her (daughter)	30	10	Bandit	Father gains money and gambling funds while risking/using his child’s body and future.
Father gambles pageant money away at Circus Circus	Her father	His family finances	20	5	Bandit	He gets personal thrill/hope of gain while squandering resources that could aid his family.
She saves civilians from being run over by a truck	Maeve	Two civilians	80	95	Intelligent	She stays unharmed and improves her heroic standing while directly saving two lives.
She saves Starlight from being crushed in battle (first time)	Maeve	Starlight	80	90	Intelligent	She takes combat risks but effectively rescues an ally and teammate.
She saves Starlight from being crushed in battle (second time)	Maeve	Starlight	80	90	Intelligent	Again endangers herself to protect Starlight, reinforcing her heroic role.
She becomes Alcoholic and skips meetings	Maeve	Herself	20	40	Stupid	Relapsing and avoiding help worsens her own condition without shown benefit to anyone.
She relapses hard after Flight 37 and Elena leaving	Maeve	Herself	15	40	Stupid	Escalating substance abuse harms her health and functioning without helping others.
She sleeps with several men to cope with trauma	Maeve	Herself and partners	45	50	Helpless	Short-term solace likely undermines her long-term emotional stability; neutral for others.
She keeps bisexuality secret and dates Homelander as beard	Maeve	Herself	30	45	Helpless	Maintains some protection from Homelander but sacrifices authenticity and happiness.
Homelander jealously murders a man for flirting with Maeve	Homelander	Flirting man	70	0	Bandit	He indulges his possessiveness by killing a rival, gravely harming another for ego.
Homelander reveals her sexuality on live TV to deflect diversity question	Homelander	Maeve	70	10	Bandit	He protects his image by outing her, damaging her privacy and autonomy.
Vought markets her as LGBT icon ignoring her bisexuality	Vought PR	Maeve	70	20	Bandit	They gain branding and profits while objectifying and mislabeling her identity.
Ashley berates Maeve for going against lesbian icon image	Ashley	Maeve	55	30	Bandit	Ashley enforces PR narrative to keep her job/status, worsening Maeve’s distress.
Maeve tells Ashley to act like a human being once	Maeve	Ashley	60	65	Intelligent	Honest rebuke minimally risks herself but pushes Ashley toward basic empathy.
Ashley sincerely apologizes to Maeve	Ashley	Maeve	60	70	Intelligent	She slightly humbles herself to repair rapport and act more decently toward Maeve.
Homelander locks Maeve up in power-resistant cell	Homelander	Maeve	65	5	Bandit	He secures control and protection from betrayal at the cost of her liberty and safety.
