Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Eric acts more rebellious to impress Donna	Eric	Donna	60	40	Bandit	He slightly benefits by attracting Donna but encourages valuing “bad boy” behavior that’s not great for others.
Donna hooks up with roguish Casey Kelso	Donna	Casey Kelso	40	30	Bandit	She gets short-term romance but is hurt when he dumps her and he’s selfish, so others gain little.
Donna is bratty and rebellious toward Bob	Donna	Bob	55	30	Bandit	She vents and asserts autonomy but causes emotional harm to her doormat father.
Bob snaps back when Donna tries to stop him dating Jackie’s mom	Bob	Donna	55	55	Intelligent	He asserts healthy boundaries and pushes back on Donna’s controlling behavior with no serious harm.
Donna and Eric delay consummating their relationship	Donna and Eric	Their relationship	65	60	Intelligent	They respect mutual doubts, protecting emotional well-being and relationship stability.
Bob sends Donna to Catholic school as punishment for running away	Bob	Donna	50	45	Helpless	The move reins her in somewhat but mainly functions as punishment with unclear benefit to either.
Donna runs away to California	Donna	Parents (Bob/others)	35	10	Bandit	She briefly exercises freedom but risks herself and distresses her family.
Donna accidentally knocks Hyde off the water tower	Donna	Hyde	40	5	Stupid	She gains nothing and unintentionally causes serious danger to Hyde.
Donna smokes	Donna	Herself	30	40	Helpless	She harms her own health with no benefit to others.
Donna asks Eric to hold her cigarette	Donna	Eric	35	20	Bandit	She spares herself getting caught while making Eric vulnerable to consequences.
Eric holds Donna’s cigarette	Eric	Donna	20	45	Helpless	He gets suspended (self-harm) to cover for her, mildly benefiting her by shielding her from blame.
Eric gets suspended for having Donna’s cigarette	Eric	School order	20	50	Helpless	The suspension harms him with no compensating gain for anyone.
Donna works at the radio station as “Hot Donna”	Donna	Male listeners	70	55	Intelligent	She gains a job/status and listeners get entertainment, despite objectifying overtones.
Donna initially feels embarrassed at being “Hot Donna”	Donna	Herself	45	55	Helpless	Her self-consciousness harms her comfort while others still enjoy the persona.
Donna then starts enjoying the “Hot Donna” attention	Donna	Audience	65	60	Intelligent	She converts discomfort into confidence and maintains entertainment value.
Donna forgives Casey for skipping an early date	Donna	Casey Kelso	35	30	Helpless	She ignores a red flag, worsening her own outcome while enabling his poor behavior.
Donna gets drunk with Casey Kelso	Donna	Casey Kelso	30	35	Helpless	She risks herself and misreads the relationship while giving him easy access and fun.
Donna assumes Casey is in love with her	Donna	Herself	30	50	Helpless	Her self-deception sets her up for heartbreak without benefiting anyone.
Casey breaks up with Donna when disapproval burden grows	Casey Kelso	Donna	60	10	Bandit	He frees himself from social pressure while hurting Donna emotionally.
Eric accurately foresees that Mitch is shady	Eric	Donna	60	55	Intelligent	His correct judgment lets him warn and later reality-check Donna.
Mitch blindsides Donna with a marriage declaration at a wedding	Mitch	Donna	55	20	Bandit	He pursues his desire while putting Donna in an uncomfortable, pressured situation.
Eric rubs Mitch’s behavior in Donna’s face	Eric	Donna	60	40	Bandit	He feels vindicated and amused but needles Donna for her poor judgment.
Donna gets angry at Eric for making plans with friends without checking with her	Donna	Eric	55	30	Bandit	She asserts control in the relationship at the cost of Eric’s autonomy.
Donna makes Eric promise to always check with her before making time with friends	Donna	Eric	55	25	Bandit	She gains relational power and restricts his freedom.
Donna refuses the idea that she needs Eric’s permission to see her friends and leaves to see one	Donna	Eric	60	20	Bandit	She keeps her own freedom while denying him the same, harming relational fairness.
Donna yells at Eric for going on two dates while they were broken up	Donna	Eric	55	30	Bandit	She vents and reasserts emotional ownership, hurting him despite no clear betrayal.
Donna sleeps with Casey Kelso while broken up with Eric	Donna	Casey Kelso	40	25	Bandit	She gains short-lived excitement but emotional fallout and association with a selfish partner.
Donna calls Eric out for insecurity and not trusting her in “Radio Daze”	Donna	Eric	55	45	Bandit	She partially corrects his jealousy but ignores her own role, stinging him more than helping.
Donna announces on-air that she is single and doesn’t talk to Eric first	Donna	Eric	60	25	Bandit	She boosts her radio persona and autonomy while publicly humiliating/confusing Eric.
Donna behaves jealously toward Eric in “Eric’s Panties”	Donna	Eric	55	35	Bandit	She expresses possessiveness that pressures Eric without much constructive outcome.
Donna often makes deadpan sarcastic remarks at Jackie	Donna	Jackie	60	35	Bandit	Her wit entertains herself/others but frequently undercuts Jackie.
Donna shakes her butt at the camera in “Moon Over Point Place”	Donna	Viewers	65	55	Intelligent	She leans into fanservice that benefits her popularity and entertains others.
Donna dates Casey Kelso in Season 4	Donna	Casey Kelso	40	30	Bandit	She gains a brief romance but ends up hurt and associated with a selfish partner.
Donna acts loopy and Cloud Cuckoolander-like when drunk or high in the circle	Donna	Friends	35	45	Helpless	She impairs herself for group amusement with minimal net benefit to her.
Donna is sometimes petty, abrasive, and arrogant	Donna	Friends and family	45	30	Bandit	She vents and asserts herself while degrading her relationships.
Donna takes a level in kindness over the series	Donna	Friends/family	70	75	Intelligent	She becomes warmer, improving her own life and everyone’s interactions.
