Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Sam’s father threatens to personally murder him if he doesn’t join the Night’s Watch	Father	Sam	10	5	Stupid	Gratuitously traumatizes and expels his son, gains only a marginal inheritance “benefit” he could have arranged nonviolently.
Sam “voluntarily” joins the Night’s Watch under threat of death	Sam	Father	25	60	Helpless	He loses freedom and status but slightly benefits his house by removing succession conflict and gains some long‑term survival.
Jon intervenes to stop other trainees and Thorne bullying Sam	Jon	Sam	70	65	Intelligent	He risks some conflict but improves Sam’s safety and cohesion in the group.
Jon threatens a trainee with Ghost at night to ensure Sam isn’t harmed	Jon	Bully	60	20	Bandit	Protects his friend using intimidation that harms/terrorizes another brother.
Sam spends spare time in the library doing research	Sam	Sam and Night’s Watch	80	80	Intelligent	He improves his knowledge and later uses it to help the Watch with precedents and White Walker info.
Sam establishes precedent for Jon to become Lord Commander	Sam	Jon and Night’s Watch	70	85	Intelligent	He gains influence and pride while enabling the best candidate to lead, strengthening the Watch.
Stannis approves Sam’s research into combating White Walkers	Stannis	Realm	65	75	Intelligent	He invests political support in useful knowledge that could help defeat a common enemy.
Sam attempts to save Pyp after Ygritte shoots him with an arrow	Sam	Pyp	40	70	Helpless	Emotionally painful with little chance of success, but it’s a selfless attempt to preserve a friend’s life.
Sam collects all dragonglass daggers and arrowheads at the Fist of the First Men	Sam	Night’s Watch	75	85	Intelligent	He expends effort to secure resources that later prove crucial in killing White Walkers.
Sam converts from Faith of the Seven to the Old Gods	Sam	Sam	55	55	Intelligent	Personal spiritual realignment gives him internal coherence with neutral effect on others.
Sam falls in love with Gilly, a Wildling girl	Sam	Gilly	70	70	Intelligent	The bond brings mutual emotional support and protection without harming others.
Sam owns and keeps a dragonglass dagger	Sam	White Walker	70	75	Intelligent	Retaining the weapon later allows him to kill a White Walker, aiding everyone.
Sam uses dragonglass dagger to slay a White Walker	Sam	White Walker	85	90	Intelligent	He survives and gains status while removing a highly dangerous enemy threatening others.
Sam’s father plans a “hunting accident” for him if he doesn’t take the black	Father	Sam	10	0	Stupid	Plotting filicide for inheritance optics is pure harm with negligible rational gain.
Sam chooses to help Gilly because the Watch should protect people	Sam	Gilly	70	85	Intelligent	He risks censure but lives his values and actively aids a vulnerable person.
Sam takes a “go through me” stance when men try to rape Gilly	Sam	Attempted rapists	60	80	Intelligent	He endures a beating to resist sexual violence and uphold duty to protect.
Two sworn brothers beat Sam for defending Gilly	Two brothers	Sam	45	5	Bandit	They express power and sadism at the cost of discipline and trust in the Watch.
Ghost intervenes and stops the brothers assaulting Sam and Gilly	Ghost	Two brothers	70	75	Intelligent	Ghost protects allies and deters attackers with minimal downside.
Sam takes House Tarly’s Valyrian steel sword Heartsbane when leaving Horn Hill	Sam	House Tarly	65	60	Intelligent	He gains a vital anti‑White Walker weapon while slightly harming his house’s armory.
Sam escapes Horn Hill with Gilly, defying his abusive father	Sam	Father	75	80	Intelligent	He secures safety and dignity for himself and Gilly, reducing their exposure to abuse.
Sam defends Gilly and her baby from a White Walker (“Papa Wolf”)	Sam	White Walker	80	90	Intelligent	He risks his life but successfully protects his family from supernatural threat.
Sam acts as parental substitute to Gilly’s baby	Sam	Baby	75	80	Intelligent	He gains family and purpose while providing care and stability for the child.
