Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Navigates castaway group dynamics despite language barrier	Jin	Castaway group	80	80	Intelligent	Adapting quickly to social dynamics helps his own survival and cohesion of the group.
Is a brute / enforcer for his father-in-law	Jin	Father-in-law’s enemies	30	10	Bandit	He gains status and favor with Mr. Paik while violently harming others.
Drowns in the submarine with Sun (chooses not to escape)	Jin	Self (indirectly Sun)	5	60	Helpless	His choice kills him but emotionally supports Sun by not leaving her to die alone.
Defies Pryce by glaring and telling him to go to hell	Jin	Pryce	40	40	Intelligent	He preserves his dignity with no clear added harm or benefit to others in the scene.
Protects Sun determinedly in various moments	Jin	Sun	75	85	Intelligent	His persistent efforts keep Sun safe and strengthen their bond.
Insists Locke not bring Sun or their baby back to the Island	Jin	Sun and baby	60	70	Intelligent	He sacrifices future reunion to keep them away from danger as he understands it.
Gives Locke his wedding ring and tells him to say Jin is dead	Jin	Sun	40	65	Helpless	He gives up a precious token and risks Sun’s grief to keep her safe from the Island.
Lacks trust in others, driving a wedge between him and Sun	Jin	Self and Sun	20	25	Stupid	His distrust damages his marriage and offers no benefit to him or anyone else.
Moves past his lack of trust	Jin	Self and Sun	80	80	Intelligent	Overcoming distrust greatly improves his relationship and his own well-being.
Beats up Michael over Mr. Paik’s watch	Jin	Michael	35	10	Bandit	He defends his and Paik’s honor at the cost of violently harming Michael and group relations.
Destroys Sun’s garden	Jin	Sun	25	10	Stupid	He lashes out and wrecks her peaceful project, hurting her with no gain to himself.
Helps Sun replant her garden later	Jin	Sun	70	80	Intelligent	Repairing the damage improves their relationship and restores something valuable to her.
Learns English and becomes fluent over time	Jin	Self and survivors	85	90	Intelligent	Language acquisition greatly benefits him and improves coordination with the group.
Survives destruction of the freighter and days adrift at sea	Jin	Self	90	60	Intelligent	His resilience preserves his life and allows him to return to help others later.
Jin’s mother dumps him on his father	Jin’s mother	Jin	10	20	Stupid	She abandons him, likely worsening her own prospects while deeply harming her child.
Jin’s father raises him as his own despite paternity doubts	Jin’s father	Jin	70	90	Intelligent	He gains emotional fulfillment and gives Jin care and upbringing.
Has been an oppressive, angry husband to Sun	Jin	Sun and self	20	25	Stupid	His behavior harms Sun and undermines his own marriage without real benefit.
Becomes a better, more faithful husband over time	Jin	Sun	80	85	Intelligent	His growth strengthens mutual loyalty and long-term happiness.
Becomes good friends with Michael after early conflict	Jin	Michael	75	80	Intelligent	Forging friendship improves both their support networks and cooperation.
Is genuinely happy to see Michael again and shares Sun’s pregnancy news	Jin	Michael	70	75	Intelligent	His warmth and sharing rebuild trust and give Michael meaningful hope.
Has an epic freak-out over losing golf and past humiliations	Jin	Self and nearby survivors	25	30	Stupid	The outburst isolates him further and distresses others with no benefit.
Stays on the submarine to die with his trapped wife	Jin	Sun	10	85	Helpless	He sacrifices his own life to provide Sun emotional comfort in her final moments.
Viciously beats men to a pulp for insulting/cheating father-in-law	Jin	Various men	35	15	Bandit	He protects his position and mitigates harsher retribution by brutalizing others.
Does this in part to prevent Mr. Paik from killing them	Jin	Victims	40	45	Intelligent	Compared to likely execution, his violence, while severe, arguably leaves them alive.
Forgives Sun’s extramarital affair almost instantly	Jin	Sun	80	85	Intelligent	Quick forgiveness heals their relationship and relieves Sun’s guilt.
