Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Hurley befriends former enemies like Ben	Hurley	Ben and other former enemies	80	80	Intelligent	He gains close friendships and mutual support while offering acceptance and care to former adversaries.
Hurley invites Ben to move on with everyone in the afterlife	Hurley	Ben	85	90	Intelligent	He offers Ben emotional closure and inclusion, strengthening their bond and giving Ben peace.
Hurley helps Michael move on from the Island despite Michael killing Libby	Hurley	Michael	75	70	Intelligent	Forgiving Michael and helping him move on gives Michael relief and shows Hurley’s growth, with no apparent downside to Hurley.
Hurley viciously beats Sawyer after Sawyer mocks his fears, destroying Sawyer's tent	Hurley	Sawyer	35	15	Bandit	He vents his hurt and anger but risks injury and social fallout while clearly harming Sawyer physically and materially.
Hurley tricks Sawyer into becoming a nicer person	Hurley	Sawyer	80	85	Intelligent	He improves Sawyer’s behavior and social standing while proving his own influence and leadership.
Hurley helps Locke get the drop on Sayid's group by pretending to be abandoned at the Barracks	Hurley	Sayid's group	70	25	Bandit	He successfully aids Locke’s side and keeps himself safe, but the deception directly harms or endangers Sayid's group.
Hurley beats Sawyer senseless after a cruel jibe	Hurley	Sawyer	30	10	Bandit	The outburst gives him short-term emotional release but risks serious repercussions and clearly harms Sawyer.
Hurley mows down Pryce with a DHARMA van to save his friends	Hurley	Pryce	85	90	Intelligent	He kills an armed threat, protecting multiple friends while only incurring acceptable personal risk.
Hurley again takes out Pryce with the DHARMA bus, saving Jin, Sayid, and Bernard	Hurley	Pryce	85	95	Intelligent	The same heroic car attack directly rescues three allies at high benefit and limited personal cost.
Hurley eats excessively as self-punishment for guilt	Hurley	Hurley	5	50	Stupid	His overeating severely harms his own health and well-being while benefiting no one.
Hurley makes his role defusing drama and keeping spirits up in camp	Hurley	Other survivors	80	85	Intelligent	Actively cheering people and easing tension helps the group’s morale and gives him purpose and social value.
Hurley creates a golf course for the survivors	Hurley	Other survivors	85	90	Intelligent	He gains status, enjoyment, and meaning while dramatically lifting camp morale.
Hurley repairs the DHARMA van for fun and morale	Hurley	Other survivors	80	85	Intelligent	Fixing the van gives him satisfaction and gives others hope and enjoyment.
Hurley accepts promotion to Protector of the Island	Hurley	The Island / its inhabitants	90	95	Intelligent	He gains a meaningful, powerful role and provides long-term protection and stability to others.
Hurley passes out food after the crash	Hurley	Other survivors	80	90	Intelligent	Sharing resources establishes him as caring and trusted while directly helping others.
Hurley gives Claire double food because she is pregnant	Hurley	Claire	75	90	Intelligent	He slightly sacrifices his own share to significantly benefit Claire and her baby’s health.
Hurley conns Sawyer by claiming the group will vote him out unless he treats them better	Hurley	Sawyer	80	80	Intelligent	The simple con improves Sawyer’s leadership and behavior while enhancing Hurley’s quiet influence.
Hurley eats when depressed as comfort and punishment	Hurley	Hurley	10	50	Stupid	His coping mechanism worsens his health and reinforces guilt without helping anyone.
Hurley takes day trips with Charlie to repair the van for fun	Hurley	Charlie	75	80	Intelligent	He deepens a valued friendship and creates shared joy that boosts both their morale.
Hurley leads the group in not trusting the freighter crew because he trusts Charlie's warning	Hurley	Freighter crew / Survivors	65	70	Intelligent	His advocacy prompts caution against a dangerous group and, given later attacks, overall protects his side.
Hurley recruits Ben as his Number Two after becoming Protector	Hurley	Ben	90	90	Intelligent	He gains a capable ally and gives Ben redemption and purpose, improving Island stewardship.
Hurley feels responsible for Libby’s death because he forgot blankets so she went to the hatch	Hurley	Hurley	20	50	Stupid	His survivor’s guilt torments him emotionally while having no positive effect on anyone.
Hurley advocates to go with Locke instead of Jack, trusting Charlie and distrusting the freighter team	Hurley	Locke's group	40	20	Bandit	His choice aligns with his values and warnings but leads many in Locke’s group into the path of deadly attacks.
Hurley becomes the biggest advocate for Locke's side in the Season 4 split	Hurley	Locke's followers	40	25	Bandit	His influence sways people into a faction that later suffers heavy casualties, while he preserves his own integrity and perspective.
Hurley tells Jack that focusing only on survival will drive everyone mad, and proposes cheer-up activities	Hurley	Jack / Survivors	80	85	Intelligent	He reframes priorities toward mental health, leading to morale-building actions that help both himself and others.
Hurley builds the golf course to help people relax	Hurley	Other survivors	85	95	Intelligent	This concrete act greatly improves quality of life and also lifts his own spirits and status.
Hurley uses the food from the Hatch for one big meal	Hurley	Other survivors	75	85	Intelligent	He sacrifices long-term stockpiling for a shared feast that boosts collective morale, including his own.
Hurley regularly urges others not to keep secrets and points out the damage secrecy causes	Hurley	Other survivors	70	75	Intelligent	Advocating openness improves group decision-making and reduces conflict while increasing his credibility.
Hurley steps up into a leadership role in Season 6	Hurley	Survivor group	85	85	Intelligent	Taking more responsibility enhances his self-worth and leads to better, more humane group decisions.
Jack chooses Hurley as his successor as Island Protector	Jack	Hurley	90	90	Intelligent	Hurley gains a vital role and trust, and the Island benefits from a more compassionate and competent protector.
Hurley helps Miles muster the courage to speak with his father	Hurley	Miles	75	85	Intelligent	He gains relational credit and satisfaction while helping Miles heal a key relationship.
Hurley takes a beating from Sawyer when he initially lashes out (implied mutual fight where Hurley overpowers)	Hurley	Hurley	45	45	Helpless	Engaging physically risks injury and social tension for both with little clear lasting benefit beyond venting.
