Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Outdoing Dinesh at everything and rubbing it in	 Gilfoyle	Dinesh	70	20	Bandit	Gilfoyle gains status and satisfaction while repeatedly humiliating Dinesh.
Considering finding a different job and being heavily recruited	Gilfoyle	Potential employers	80	70	Intelligent	His strong skills earn him attractive offers while giving firms access to rare talent.
Telling people to "chortle my balls" as a catchphrase	Gilfoyle	Various others	55	35	Bandit	He amuses himself and reinforces his persona while mildly disrespecting others.
Frequently making cutting remarks (deadpan snarker)	Gilfoyle	Various others	60	25	Bandit	He entertains himself/others and asserts dominance at others’ emotional expense.
Occasionally calling Richard “Dick”	Gilfoyle	Richard	55	40	Bandit	He gets a small dominance/teasing boost while mildly embarrassing Richard.
Not appreciating people lying to him	Gilfoyle	People who might lie to him	70	60	Intelligent	Rejecting lies protects his own interests and favors honest interaction.
Getting disgusted when Richard acts like a jerk to attain goals	Gilfoyle	Richard	55	60	Intelligent	His reaction costs him little but pressures Richard toward less destructive behavior.
Judging Richard’s outing of Deedee as poor taste	Gilfoyle	Richard	55	65	Intelligent	He incurs minimal cost to signal disapproval of harmful behavior toward Deedee.
Insisting on destroying the Pied Piper Network over security flaws (finale)	Gilfoyle	Pied Piper network/users	70	85	Intelligent	He sacrifices the product’s success to prevent large-scale potential harm.
Playing 42 games of chess with John without direct acknowledgment	Gilfoyle	John	60	70	Intelligent	He gets stimulation and quiet companionship while giving John an ongoing, if odd, friendship.
Deciding to pause the chess games	Gilfoyle	John	45	40	Helpless	He deprives both himself and John of a mutually beneficial pastime.
Denying John’s friend request after hovering over “Accept”	Gilfoyle	John	40	45	Helpless	He protects his aloof image at the cost of a potentially good friendship for both.
Harboring animosity toward his mother and calling her a “backstabbing bitch”	Gilfoyle	His mother	35	25	Stupid	His resentment and insult offer little benefit while perpetuating a toxic relationship.
Building Pied Piper’s servers in the garage when hosting is blocked	Gilfoyle	Pied Piper	80	85	Intelligent	He creatively restores infrastructure, crucially helping the company and advancing his position.
Critiquing Jian Yang’s smart fridge as solving non-existent problems	Gilfoyle	Jian Yang / product	60	55	Intelligent	He enjoys being right while offering a valid critique of pointless tech.
Enjoying others’ torments, especially Dinesh’s	Gilfoyle	Dinesh/others	65	20	Bandit	He gains amusement from their misfortunes without providing them benefit.
Discovering product danger and advocating ruining the code (finale)	Gilfoyle	World at large / Pied Piper	85	90	Intelligent	He prevents a potentially massive security threat while later profiting via a new venture.
Starting a cybersecurity company with Dinesh after Pied Piper falls	Gilfoyle	Dinesh / clients	95	90	Intelligent	He and Dinesh become rich by providing security services that protect others.
Maintaining a gorgeous girlfriend despite low effort on appearance	Gilfoyle	Girlfriend	75	70	Intelligent	He gains a fulfilling relationship while she presumably chooses a partner she values.
Quickly making friends with strangers when he wants to	Gilfoyle	Strangers	70	75	Intelligent	He can build mutually positive social ties when he chooses to engage.
Acting as a living lie detector on Jared	Gilfoyle	Jared	65	60	Intelligent	His perception lets him navigate truth vs. lies, also helping the team understand Jared’s honesty.
Pretending to believe Jared for the good of the company	Gilfoyle	Jared / company	70	80	Intelligent	He knowingly suspends disbelief to keep operations on track, aiding group outcomes.
Spending time with Monica in an odd friendship	Gilfoyle	Monica	75	80	Intelligent	Their ongoing interaction yields mutual support and connection.
Telling Monica he likes her in a platonic way	Gilfoyle	Monica	70	80	Intelligent	Honest clarification strengthens their bond and avoids romantic confusion.
Keeping mushrooms in the fridge and smoking pot by the pool	Gilfoyle	Himself / Pied Piper	55	45	Helpless	He gets short-term enjoyment while risking work conflict and productivity issues.
Jointly sassing other characters with Dinesh	Gilfoyle	Other characters	65	35	Bandit	They bond and entertain themselves by verbally undercutting others.
Opening a cybersecurity company with Dinesh in the distant finale	Gilfoyle	Dinesh / clients	95	90	Intelligent	Their joint venture makes them wealthy while improving clients’ security.
Agreeing with promoting Dinesh to CEO mainly to see him fail	Gilfoyle	Dinesh	70	15	Bandit	He expects either profit or amusement from Dinesh’s likely failure, which harms Dinesh.
Celebrating when Dinesh’s lack of ToS exposes him to $21B liability	Gilfoyle	Dinesh	75	5	Bandit	He revels in Dinesh’s disaster purely for schadenfreude with no benefit to Dinesh.
Backing Dinesh as CEO as a Xanatos Gambit (win if he fails or succeeds)	Gilfoyle	Dinesh / rest of team	85	60	Intelligent	He structures things so he either profits with the group’s success or enjoys Dinesh’s failure.
Trusting Dinesh to upload the correct code when plan is compromised (finale)	Gilfoyle	Dinesh / team	80	85	Intelligent	Granting access in a crisis risks him but enables Dinesh to save their sabotage plan for everyone’s good.
