Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Jennifer sees her own head doctor about her attraction to Tony	Jennifer Melfi	Jennifer Melfi	78	70	Intelligent	She recognizes an unhealthy pattern and seeks professional help, benefiting herself and indirectly others around Tony.
Jennifer admits her problem and refuses Tony's advances	Jennifer Melfi	Tony Soprano	82	76	Intelligent	By owning her issue and setting boundaries she protects herself and limits enabling Tony.
Tony lies that he is a waste management consultant	Tony Soprano	Jennifer Melfi	73	20	Bandit	He protects his criminal identity (benefit) while deceiving her and obstructing honest treatment.
Jennifer quickly figures out Tony’s real occupation	Jennifer Melfi	Jennifer Melfi	70	60	Intelligent	Accurately understanding his criminal role improves her clinical stance and public-safety awareness.
Tony uses therapy to sharpen his skills as a criminal	Tony Soprano	Tony’s victims	85	5	Bandit	He gains psychological insight that improves his criminal effectiveness while harming others.
Tony repeatedly quits therapy for spans of episodes	Tony Soprano	Tony Soprano	30	40	Helpless	Stopping treatment undercuts his own potential gains while modestly reducing the enabling effect on his victims.
Jennifer slowly stops humoring Tony’s callous behavior	Jennifer Melfi	Tony Soprano	68	72	Intelligent	Withdrawing indulgence protects her and challenges his maladaptive patterns.
Jennifer eventually cuts Tony out of her life entirely	Jennifer Melfi	Tony Soprano	80	75	Intelligent	Ending personal involvement preserves her integrity and removes tacit support for his behavior.
Tony realizes not to push Jennifer’s buttons	Tony Soprano	Jennifer Melfi	60	65	Intelligent	He learns limits, which reduces conflicts and protects both of them in the relationship.
Jennifer ends her sessions with Tony permanently	Jennifer Melfi	Tony Soprano	88	82	Intelligent	She avoids further complicity and psychological damage while reducing professional support for a dangerous criminal.
Jennifer stays true to her principles despite bitter parting	Jennifer Melfi	Jennifer Melfi	85	70	Intelligent	Holding to her ethics costs rapport but preserves long‑term integrity and professional standing.
Jennifer gains weight, drinks more, and needs therapy from Tony sessions	Jennifer Melfi	Jennifer Melfi	20	45	Helpless	Her work with Tony significantly harms her health and stability while modestly informing her of his crimes.
Jennifer develops pronounced sarcasm toward Tony when angry	Jennifer Melfi	Tony Soprano	55	48	Intelligent	Controlled sarcasm allows emotional expression and boundary-setting with little broader impact.
Treating Tony leads Jennifer into borderline alcoholism	Jennifer Melfi	Jennifer Melfi	15	45	Helpless	Her maladaptive coping seriously harms her while only slightly affecting others.
Jennifer kicks her drinking habit after going to therapy	Jennifer Melfi	Jennifer Melfi	90	65	Intelligent	She substantially improves her own health and functioning, benefiting those she treats.
Jennifer drinks vodka before Tony’s appointment	Jennifer Melfi	Jennifer Melfi	10	40	Helpless	On‑duty drinking risks her professionalism and health with no real upside.
Jennifer realizes she has a drinking problem and goes to therapy	Jennifer Melfi	Jennifer Melfi	88	65	Intelligent	Insight and treatment decisively reverse her downward spiral and help her patients.
Jennifer decides not to unleash Tony against her rapist	Jennifer Melfi	Rapist	40	70	Helpless	She foregoes revenge and personal emotional relief to avoid enabling brutal vigilantism.
Jennifer resists Tony’s advances and lifestyle consistently	Jennifer Melfi	Tony Soprano	82	80	Intelligent	She protects herself and refuses to normalize or profit from his criminal world.
Jennifer realizes attempts to rehabilitate Tony are futile and ends sessions	Jennifer Melfi	Tony Soprano	87	82	Intelligent	Recognizing futility, she stops a relationship that was helping him function as a mob boss.
Jennifer reads "The Criminal Personality" study	Jennifer Melfi	Jennifer Melfi	78	72	Intelligent	She updates her understanding of sociopaths, clarifying the harmful effects of continuing therapy.
Convinced by the study, Jennifer concludes she has become an accomplice	Jennifer Melfi	Jennifer Melfi	70	75	Intelligent	Painful self-recognition corrects her course and reduces her enabling impact.
Jennifer ends sessions with Tony after this realization	Jennifer Melfi	Tony Soprano	90	85	Intelligent	She decisively stops providing psychological cover and tools to a violent sociopath.
Tony assumes shared Campania heritage means Jennifer will understand him	Tony Soprano	Jennifer Melfi	60	45	Bandit	He expects cultural affinity to secure more sympathetic treatment, skewing the therapeutic frame.
Jennifer gently calls Tony out and offers insight when needed	Jennifer Melfi	Tony Soprano	70	80	Intelligent	She practices good therapy, aiding his insight while staying aligned with her ethics.
Jennifer avoids getting involved in Tony’s criminal actions at all costs	Jennifer Melfi	Unknown potential victims	85	85	Intelligent	Her refusal to participate limits collateral harm and keeps her ethically and legally safe.
