Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Quits “the game” and goes straight	Dennis	Himself	85	80	Intelligent	Leaving crime greatly improves his life stability and safety while reducing harm to the community.
Prefers being called Dennis instead of “Cutty” after going straight	Dennis	Himself	65	55	Intelligent	Reclaiming his real name supports his new identity and modestly encourages a pro‑social image.
Learns that revolvers are no longer superior and that sheer firepower now matters more	Dennis	Himself	55	40	Intelligent	Updating his understanding of weapons increases his survival/competence, though knowledge itself is neutral-to-slightly harmful in a violent context.
Is helped by legitimate and good people rather than being conned like String	Dennis	Dennis’s helpers	75	70	Intelligent	Accepting help from good people advances his reform while validating and rewarding their pro‑social efforts.
Sleeps with and flirts with the single mothers of his students	Dennis	Boys at the gym	65	25	Bandit	He gains romantic/sexual benefits but damages trust and creates tension with the youths he mentors.
Settles down with a real girlfriend after Michael calls him out	Dennis	His students	80	70	Intelligent	Choosing a stable relationship reduces tension with the boys and improves his own emotional stability and reputation.
Says “The game ain’t in me no more” and abandons the Game	Dennis	Himself	85	80	Intelligent	Fully committing to leaving crime benefits his long‑term safety and aligns him with less harmful behavior toward others.
Genuinely helps youths avoid the Game through his gym	Dennis	Neighborhood youth	80	90	Intelligent	He gains purpose and respect while steering kids away from dangerous criminal paths.
Goes out of his way to steer youths clear of trouble	Dennis	Neighborhood youth	80	90	Intelligent	He expends effort but gains meaning and status as he significantly reduces risks for the kids.
Becomes a boxing coach once he detaches from the Game	Dennis	Boxing students	80	85	Intelligent	Coaching provides him livelihood and identity while giving youths skills, discipline, and structure.
Acts as a father figure to the boys at his boxing gym	Dennis	Boys at the gym	85	90	Intelligent	He gains emotional fulfillment and social standing while filling a major parental void for the kids.
Objects to Sapper and Gerard beating a debtor to death because then he can’t pay them	Dennis	Debtor	60	40	Bandit	He opposes the killing for pragmatic gain, preserving his and the crew’s financial interests more than the victim’s well‑being.
Finds the post‑prison criminal culture too brutal and becomes uncomfortable with it	Dennis	Himself	70	65	Intelligent	Recognizing the new brutality pushes him away from a path that would likely harm him and others.
Resolves to go straight and set up a boxing gym for boys	Dennis	Neighborhood youth	90	90	Intelligent	Choosing a gym over crime strongly benefits his safety, livelihood, and gives boys a constructive alternative.
Asks Avon for cash to start the boxing gym	Dennis	Avon	75	70	Intelligent	Securing funding advances his legitimate venture while offering Avon a way to support something less harmful than drug dealing.
Stares down a known drug dealer	Dennis	Drug dealer	65	55	Intelligent	Projecting strength protects his position and reduces immediate conflict or encroachment without clear harm.
Tries to get Michael off the corner	Dennis	Michael	60	85	Intelligent	He risks his own safety but substantially helps Michael by trying to pull him from dangerous street work.
Is shot in the leg when trying to get Michael off the corner	Michael	Dennis	20	35	Stupid	Michael harms Dennis without gaining clear benefit beyond short‑term resistance to help.
Is mistakenly assumed by a nurse to be an active drug dealer shot during criminal activity	Nurse	Dennis	45	30	Stupid	Her misjudgment harms his reputation and gives her no apparent benefit.
Colvin corrects the nurse about Dennis not being an active dealer	Colvin	Dennis	70	75	Intelligent	Clarifying the truth costs Colvin little but improves Dennis’s standing and the nurse’s understanding.
Begins dating the nurse after she learns the truth	Dennis	Nurse	75	75	Intelligent	They both gain companionship and a healthier, truth‑based relationship.
Multiple women are attracted to him for his sincere desire to help youth	Dennis	Single mothers	70	70	Intelligent	His genuine pro‑social work boosts his romantic prospects while benefiting the women through support for their children.
Hits a girl to make her talk about her dealer boyfriend stealing from the Barksdales	Dennis	Girlfriend of dealer	55	10	Bandit	He furthers his (and the organization’s) financial interests by violently coercing her, strongly harming her for limited gain.
Returns to the Game after prison when he can’t find much outside it	Dennis	Community	40	25	Bandit	Going back briefly restores some income/status but perpetuates harm and risk to himself and others.
Decides to leave the Game for good when he realizes he no longer fits	Dennis	Himself	85	80	Intelligent	Recognizing the mismatch and leaving crime improves his safety and life prospects while reducing harm to others.
Accepts that his old girlfriend has moved on and starts a new life from scratch	Dennis	Himself	75	70	Intelligent	Letting go of the past hurts initially but enables a healthier, independent future.
