Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Smithers robs a jewelry store in the arcade game	Smithers	Jewelry store / public	70	5	Bandit	Gains loot and villain status while harming the store and society.
Smithers wears a cape filled with bombs in the arcade game	Smithers	Nearby people / opponents	40	10	Bandit	Equips dangerous weapons that help him fight but endanger others.
Smithers follows Burns in most of his evil schemes despite disliking them	Smithers	Springfield / victims of schemes	55	10	Bandit	Retains position and proximity to Burns but helps enact harmful schemes.
Smithers grows a beard and neglects his appearance from stress over possibly shooting Burns	Smithers	Smithers	20	50	Helpless	His guilt and anxiety damage his own wellbeing without affecting others.
Smithers becomes haggard and stops shaving from stress over Homer’s beating order	Smithers	Smithers	25	50	Helpless	Stress and conflicted loyalty only hurt him while others are unaffected at that moment.
Smithers acts as a fair supervisor and rewards employees appropriately	Smithers	Power plant employees	65	85	Intelligent	He maintains authority and smooth operations while treating employees well.
Smithers bears badgering and punishment from Burns without leaving	Smithers	Smithers	25	50	Helpless	He suffers repeated mistreatment with little compensating gain shown.
Smithers smokes when extremely upset and anxious	Smithers	Smithers	20	50	Helpless	His coping mechanism harms his own health without helping anyone.
Smithers hides his sexuality and pines secretly for Burns	Smithers	Smithers	30	50	Helpless	He represses himself and gets no reciprocal benefit from Burns.
Smithers reminds the scatterbrained Burns who Homer is	Smithers	Mr. Burns	60	70	Intelligent	He stays useful and trusted while helping Burns function.
Smithers gives Burns advice, listens to his troubles, and offers a shoulder to cry on	Smithers	Mr. Burns	70	70	Intelligent	He deepens his bond and role while supporting Burns emotionally.
Smithers ruins Homer’s career when Homer gains Burns’s favor	Smithers	Homer	60	10	Bandit	He protects his status with Burns while severely harming Homer’s career.
Smithers forces Marge out of Homer’s life after “winning” Homer in a poker game	Smithers	Marge	65	5	Bandit	He gratifies his jealousy and control impulse while severely hurting Marge.
Smithers becomes extremely thankful and kind to those who help Burns or their relationship	Smithers	Helpers of Burns	70	80	Intelligent	He strengthens alliances and encourages prosocial acts toward Burns.
Smithers’ parents send him to a burlesque house to “cure” him	Smithers’ parents	Smithers	40	10	Bandit	They try to impose their preference on him, distressing him with little clear gain.
Smithers hides nuclear waste in public areas for Burns	Smithers	Public	55	5	Bandit	He keeps favor with Burns while endangering the public.
Smithers happily helps Lisa track down the creator of Malibu Stacy	Smithers	Lisa Simpson	70	85	Intelligent	He builds a positive bond and faces no downside while aiding Lisa’s goal.
Smithers goes on a drunken bender after being fired by Burns	Smithers	Smithers	10	50	Helpless	He self-destructs from emotional pain without helping anyone.
Smithers goes behind Burns’s back to help remove Sideshow Bob as mayor	Smithers	Springfield citizens / gays	65	80	Intelligent	He risks his position to avert harmful ultra-conservative rule.
Smithers chain-smokes while anxiously discussing Burns’s order to have Homer beaten	Smithers	Smithers	15	50	Helpless	His only action is self-harming anxiety and smoking with no benefit.
Smithers becomes overly stressed trying to find a temporary replacement who won’t outshine him	Smithers	Potential replacements	40	30	Bandit	He protects his own status at the cost of undermining better help for Burns.
Smithers begs to stay when Burns orders him to take a vacation	Smithers	Smithers	30	50	Helpless	His psychological dependence hurts his own rest and autonomy without helping others.
Smithers repeatedly calls Burns while on vacation asking for work	Smithers	Mr. Burns	35	40	Helpless	His obsession undermines his own rest and mildly annoys Burns without clear gain.
Smithers objects to some of Burns’s schemes at risk of his own job	Smithers	Victims of Burns’s schemes	60	80	Intelligent	He risks career harm to curb the worst harms to others.
Smithers refuses to allow Homer to be beaten after he saves Burns’s life	Smithers	Homer Simpson	70	90	Intelligent	He protects Homer from serious harm while preserving some moral integrity.
Smithers insists Burns not leave Bart for dead after hitting him with his car	Smithers	Bart Simpson	75	95	Intelligent	He saves Bart’s life with little shown cost to himself.
Smithers warns Apu, Wiggum, and Hibbert that appealing to Burns’s better nature is dangerous	Smithers	Apu/Wiggum/Hibbert	70	85	Intelligent	He helps them avoid harm with no cost to himself.
Smithers wants to break free from doing evil tasks and questions his own morality	Smithers	Smithers	60	60	Intelligent	His self-reflection moves him toward moral improvement and reduced guilt.
Smithers quits his job over Burns’s “unconscionable” evil in “Who Shot Mr. Burns?”	Smithers	Mr. Burns / Springfield	40	85	Helpless	He sacrifices his own position and identity to take a stand that benefits others.
Smithers ignores Burns’s sexual innuendo about the stolen school oil well	Smithers	Mr. Burns	55	40	Helpless	He avoids engaging but still enables the theft, gaining only continued proximity.
Smithers refuses to participate in Burns’s plan to block out the sun	Smithers	Springfield residents	60	95	Intelligent	He risks Burns’s wrath to oppose an extremely harmful scheme.
Smithers carries out most of Burns’s orders despite being an extreme doormat	Smithers	Smithers	35	30	Helpless	His compliance costs him dignity and ethics while only marginally maintaining status.
Smithers maintains closeness with his mother and gives her a birthday present	Smithers	Smithers’ mother	80	80	Intelligent	He nurtures a healthy relationship that benefits both of them emotionally.
Smithers talks Burns out of having Homer beaten for writing an angry letter	Smithers	Homer Simpson	75	90	Intelligent	He protects Homer and shows positive influence over Burns without drawback.
Smithers alphabetizes Burns’s breakfast and enjoys obsessive tidiness	Smithers	Mr. Burns	70	60	Intelligent	His compulsive order both pleases himself and helps Burns’s routines.
Smithers enjoys being demoted to bathroom cleaning duty	Smithers	Mr. Burns	60	55	Intelligent	He finds satisfaction in menial work while still serving workplace needs.
Smithers befriends Marge over shared interests and relationship troubles	Smithers	Marge Simpson	70	80	Intelligent	The friendship provides mutual emotional support and understanding.
Smithers helps Lisa find the creator of Malibu Stacy (reiterated as Punch-Clock Villain example)	Smithers	Lisa Simpson	70	85	Intelligent	He assists Lisa’s activism and gets social credit without harm.
Smithers acts as a Benevolent Boss when Burns is arrested until employees mock him	Smithers	Plant employees	70	75	Intelligent	He tries to run the plant fairly, benefiting both his leadership role and their treatment.
Smithers is arrested for “tidying federal property”	Smithers	Federal authorities	20	55	Helpless	His harmless compulsion leads to legal trouble, hurting himself while not harming others.
Smithers alphabetizes Mr. Burns’ breakfast in “Homer the Smithers”	Smithers	Mr. Burns	70	60	Intelligent	He organizes tasks efficiently, satisfying himself and helping Burns’s routine.
Smithers moves bankrupt Burns into his house and continues to serve him	Smithers	Mr. Burns	45	70	Helpless	He sacrifices his own resources to care for Burns, who benefits more than he does.
Smithers opposes Burns’s plan to block out the sun as “cartoonish super-villainy”	Smithers	Springfield residents	65	95	Intelligent	He actively tries to stop catastrophic harm at some risk to his position.
Smithers goes behind Burns’s back to reveal Sideshow Bob’s electoral fraud to Bart and Lisa	Smithers	Bart and Lisa / Springfield	70	90	Intelligent	He endangers his job to protect civil society and his own lifestyle.
Smithers corrects Burns’s idea of using long-deceased veterans for the softball team	Smithers	Mr. Burns	65	75	Intelligent	He prevents an absurd failure while proving his value as a competent advisor.
Smithers offers to make a legal logo for Burns’s cult after he copies copyrighted ones	Smithers	Mr. Burns	70	70	Intelligent	He saves Burns from legal trouble and shows his usefulness.
Smithers sings about his sexual frustration and failed confession to Burns	Smithers	Smithers	35	50	Helpless	Venting highlights his unmet needs without improving his situation.
Homer sets Smithers up with another man after hearing his woes	Homer	Smithers	75	80	Intelligent	He helps Smithers pursue a healthier romantic option with no personal loss.
