Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Valencia confides insecurity about her breasts and jealousy of Rebecca's figure	Valencia	Valencia	70	70	Intelligent	Openness about insecurity invites support and leads to a better-informed decision about surgery.
Valencia often thinks about getting implants	Valencia	Valencia	40	40	Helpless	Preoccupation with unnecessary surgery reflects harmful body dissatisfaction with no clear benefit.
Valencia changes her mind about getting implants after Rebecca’s explanation	Valencia	Valencia	85	80	Intelligent	She avoids risky, unnecessary surgery and gains a healthier perspective influenced by Rebecca.
Rebecca explains downsides of having a large bust	Rebecca	Valencia	60	80	Intelligent	Rebecca gains some emotional connection while helping Valencia avoid a harmful decision.
Valencia acts like an adult high school queen bee and intimidates other women	Valencia	Other women	55	20	Bandit	Her domineering behavior boosts her status but alienates others and harms social cohesion.
Valencia rivals and intimidates other women, preventing female friendships	Valencia	Other women	40	20	Bandit	Her competitiveness costs her potential friends while making other women feel threatened and demeaned.
Valencia forgives Josh for kissing Rebecca	Valencia	Josh	60	75	Intelligent	Forgiveness preserves the relationship and benefits Josh with a chance at redemption.
Valencia earnestly waits her entire life for Josh to propose	Valencia	Valencia	35	55	Helpless	Her long, passive investment benefits Josh by giving him stability while limiting her own growth and options.
Valencia forbids Josh from having female friends	Valencia	Josh	45	15	Bandit	This control briefly protects her relationship but harms Josh’s autonomy and social life.
Valencia starts bonding with Rebecca and becomes friends with Rebecca and Heather	Valencia	Rebecca and Heather	80	85	Intelligent	Opening up to friendships improves her own wellbeing and creates mutual support among the women.
Valencia changes her first name from Maria to Valencia	Valencia	Valencia	65	55	Intelligent	Rebranding her identity likely improves her self-image without harming others.
Valencia insults or berates other women in “Women Gotta Stick Together”	Valencia	Other women	50	10	Bandit	She asserts superiority and ego at the expense of other women’s confidence and solidarity.
Valencia realizes she’s self-centered and doggedly tries to become friends with Rebecca and Heather	Valencia	Rebecca and Heather	85	90	Intelligent	Self-awareness leads to active efforts at healthy friendship that uplift everyone.
Valencia does a restrained happy dance after Josh leaves the room when he says he’ll look for an engagement ring	Valencia	Valencia	75	55	Intelligent	She privately celebrates good news, enjoying her feelings without placing pressure on Josh.
Valencia buries her post-breakup pain in pastries and gains some weight	Valencia	Valencia	30	50	Helpless	Comfort eating soothes short-term emotions but harms her physical and body-image health without helping others.
Valencia patiently allows Josh to string her along for years because she wants marriage	Valencia	Josh	30	60	Helpless	Her tolerance benefits Josh by avoiding commitment pressure while compromising her own emotional needs.
Valencia becomes lonely, depressed, and binges on comfort food after breaking up with Josh	Valencia	Valencia	20	50	Helpless	Her coping mechanism disproportionately harms her own wellbeing with no benefit to others.
Rebecca persuades Valencia that they are both victims of Josh’s exploitation	Rebecca	Valencia	65	70	Intelligent	Reframing their experiences helps Valencia process pain and lays ground for solidarity.
Valencia becomes friends with Rebecca after seeing Josh’s behavior as exploitative	Valencia	Rebecca	80	85	Intelligent	She transforms hurt into a supportive friendship, benefiting both women emotionally.
Valencia gives Josh her virginity in exchange for gas-station prom flowers	Valencia	Josh	40	60	Helpless	She gives more emotionally than she receives while Josh gains both sex and minimal effort rewards.
Valencia uses Rebecca’s suicide attempt for social-media-like attention during 3x05	Valencia	Rebecca	40	20	Bandit	Her attention-seeking helps her cope and gain visibility while trivializing Rebecca’s crisis.
Valencia later has a breakdown fearing Rebecca’s death and asks Rebecca to promise not to attempt suicide again	Valencia	Rebecca	75	85	Intelligent	Expressing vulnerability deepens their bond and reinforces Rebecca’s support network.
Valencia admits she’d never had a real friend before and values Rebecca as her first genuine friend	Valencia	Rebecca	80	85	Intelligent	Honesty strengthens mutual trust and creates emotional security for both.
Valencia secretly loves Father Brah in high school and writes him a love note	Valencia	Father Brah	60	60	Intelligent	She pursues her feelings in a low-risk, honest way without harming him.
Valencia and Father Brah share closure and affirm happiness with current partners	Valencia & Father Brah	Each other	85	90	Intelligent	Mutual closure resolves past tension and affirms healthy present relationships.
Valencia considers Rebecca pathetic for having no friends despite also lacking friends herself	Valencia	Rebecca	55	25	Bandit	She boosts her fragile ego by demeaning Rebecca, worsening Rebecca’s social insecurity.
Valencia turns to baked goods and calls herself “ginormous” after minor weight gain	Valencia	Valencia	25	55	Helpless	Harsh self-criticism and disordered eating harm her self-esteem more than anyone else.
Valencia tries to get Josh to propose at his sister’s wedding to steal their thunder	Valencia	Josh’s sister and family	55	15	Bandit	She seeks a memorable engagement moment at the cost of overshadowing the bride and family event.
Josh realizes Valencia never listens or cares about anyone else and breaks up with her	Josh	Valencia	60	20	Bandit	He improves his own emotional situation by ending a bad relationship but causes Valencia significant distress.
Valencia reveals she’s had an eating disorder and felt starving since 1998	Valencia	Others	60	70	Intelligent	Disclosing her disorder invites understanding and possibly help, while informing others about her struggles.
Valencia starts eating more after breaking up with Josh and becomes much nicer	Valencia	Others	80	80	Intelligent	Healthier eating reduces her irritability, improving her own mood and her treatment of others.
Valencia makes fatphobic, politically incorrect comments about Rebecca	Valencia	Rebecca	60	15	Bandit	She reinforces her superiority complex and thin status while emotionally harming Rebecca.
