Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Jim pockets the early love-letter and delays confessing until Season 9	Jim	Pam	40	40	Helpless	He avoids short‑term conflict but prolongs his own and Pam’s emotional limbo for years with no clear benefit to either.
Jim gives Pam an anguished declaration of love in Season 2 finale	Jim	Pam	30	30	Helpless	He gains catharsis but immediately suffers emotional pain and awkwardness while putting Pam in distress without concrete benefit.
Jim agrees to marriage counselling after Athlead strains his marriage	Jim	Pam	80	80	Intelligent	He invests time to repair the relationship, directly benefiting himself and Pam.
Jim chooses a meeting that undermines counselling progress	Jim	Pam	35	20	Stupid	He prioritizes the meeting at the cost of therapy gains, hurting Pam and his marriage with minimal lasting upside.
Jim realizes what matters at the taxi and abandons the meeting to kiss Pam	Jim	Pam	85	75	Intelligent	He sacrifices a career opportunity to prioritize his marriage, strengthening both his happiness and Pam’s.
Jim challenges Dwight to a snowball fight	Jim	Dwight	20	65	Helpless	He gets short‑term fun but ends up injured and terrified while Dwight enjoys a major victory.
Jim turns down a management position when sales caps are removed	Jim	Company/branch	70	55	Intelligent	He rationally maximizes his income while still performing well enough that the branch benefits from his sales.
Jim slacks off once he hits the reinstated sales cap	Jim	Company/branch	55	30	Bandit	He preserves his own comfort and avoids extra work while denying the company potential additional revenue.
Jim pranks Dwight, usually when Dwight is arrogant or obnoxious	Jim	Dwight	65	40	Bandit	He entertains himself and vents frustration while mildly or moderately inconveniencing Dwight.
Jim physically fights Dwight to stop him entering a scapegoat meeting	Jim	Dwight	75	80	Intelligent	He risks physical conflict to protect Dwight’s job and future, benefiting them both.
Jim organizes the ultimate bachelor party to help Dwight reconcile with Kevin	Jim	Dwight and Kevin	80	85	Intelligent	He spends effort to give Dwight meaningful closure and mended relationships, deepening friendships that also benefit him.
Jim steps aside so Dwight can have Michael as his best man	Jim	Dwight	70	85	Intelligent	He forgoes an honor he clearly values to give Dwight and Michael a more meaningful bond.
Jim praises Michael and tells him he’s been the best boss ever when he’s leaving	Jim	Michael	70	85	Intelligent	He gains closure and goodwill while giving Michael deep emotional validation at a critical moment.
Jim chooses love and stays in Scranton instead of New York job	Jim	Pam	80	75	Intelligent	He sacrifices a “cushy” career move to pursue a mutually fulfilling relationship with Pam.
