Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Jack enlists Kate to stitch his back wound after the crash	Jack	Jack and Kate	65	75	Intelligent	He secures needed medical help and forges a bond, while Kate gains purpose and they both benefit.
Jack clings to denial after literally seeing the Island disappear	Jack	Jack and nearby others	10	20	Stupid	His refusal to accept reality worsens his delusion and impairs his ability to help anyone.
Jack starts drinking heavily and abusing prescription medication	Jack	Jack	5	10	Stupid	The coping attempt destroys his own health and relationships and doesn’t help anyone else.
Jack forges his father’s signature to write himself prescriptions	Jack	Medical system / public trust	10	15	Stupid	Illegally feeding his addiction risks his career and harms institutional trust without real benefit.
Jack tries to amputate Boone’s leg in a near-hopeless attempt to save him	Jack	Boone	25	20	Stupid	His savior complex drives an extreme, likely futile procedure that drains him and worsens Boone’s condition.
Jack grows a “beard of sorrow” while sinking into post‑Island depression	Jack	Jack	10	40	Helpless	His neglectful behavior manifests his psychological collapse, harming himself while not affecting others much.
Jack shaves his beard once Ben gives him a renewed purpose	Jack	Jack and Ben	60	55	Intelligent	Regaining purpose helps his own functioning and makes him more effective for Ben’s plans.
Jack stalks his ex‑wife after being unable to let go	Jack	Ex‑wife	5	10	Stupid	His obsessive behavior deepens his own dysfunction and creates distress for her.
Jack opens his eye and immediately runs around pulling crash survivors from the wreckage	Jack	Multiple crash survivors	70	95	Intelligent	He endangers himself to save several lives and quickly organizes effective aid.
Jack postpones treating his own serious side wound until others are safe	Jack	Other survivors	35	85	Helpless	He worsens his own injury to ensure others’ safety and stability.
Jack coins and delivers his “Live together, die alone” speech	Jack	Survivors	70	90	Intelligent	The speech strengthens group cohesion and leadership while also reinforcing his own authority and purpose.
Jack accepts the unwanted leadership role over the 815 survivors	Jack	Survivors	55	80	Intelligent	Though burdensome, his leadership improves group survival and order.
Jack later learns to pass the leadership torch (to Hurley) when appropriate	Jack	Hurley and survivors	75	90	Intelligent	Relinquishing control relieves his burden and empowers a more suitable leader, benefitting everyone.
Jack agrees to Jacob’s offer and becomes guardian of the Island	Jack	Island and all inhabitants	60	90	Intelligent	He gains clarity of purpose and protects the Island and its people at great effort and risk.
Jack donates his own blood to Boone as a universal donor	Jack	Boone	20	15	Stupid	The transfusion harms his own health and, as it only pools uselessly, fails to help Boone.
Jack stops the transfusion to prevent further drain on himself	Jack	Jack	55	40	Helpless	He protects his own health by withdrawing a futile effort, at the cost of giving up on Boone’s slim chance.
Jack testifies truthfully that his father’s drunken error killed a pregnant patient	Jack	His father	45	25	Helpless	He sacrifices his relationship and his father’s career for the broader good of honesty and patient safety.
Jack walks to the bamboo grove and chooses to face death calmly after saving the Island	Jack	Remaining survivors	60	80	Intelligent	He accepts death with peace while ensuring his friends’ freedom and safety.
Jack starts a relationship, then marries former patient Sarah out of obligation	Jack	Jack and Sarah	20	30	Stupid	An imbalanced caretaker‑based marriage leaves him emotionally unfulfilled and collapses, hurting both.
Jack saves Sarah instead of Adam Rutherford, indirectly causing Boone and Shannon to be on Flight 815	Jack	Sarah and Adam	70	30	Helpless	He benefits Sarah greatly but unknowingly dooms Adam and sets in motion Boone and Shannon’s later deaths.
Young Jack intervenes when bullies attack his friend Marc Silverman	Jack	Marc Silverman	40	80	Intelligent	He suffers a beating but successfully protects his friend, a net gain for both in loyalty and safety.
Jack beats Ethan in their rainy rematch fight	Jack	Ethan	55	60	Intelligent	Neutral‑to‑modest personal cost yields a clear gain in safety for others by defeating a threat.
Jack fights the Smoke Monster in mortal form on the cliffs and is fatally wounded	Jack	Smoke Monster and survivors	30	85	Helpless	He sacrifices his life in the battle, fatally losing, but critically reduces the threat to everyone else.
Jack becomes consumed with guilt after Locke’s death and his failure to save everyone	Jack	Jack	15	40	Helpless	His internal self‑punishment harms him while not materially improving others’ situations.
Jack deliberately detonates a hydrogen bomb (Jughead) to try to erase Flight 815’s crash	Jack	All survivors and Island population	15	10	Stupid	His extreme gamble fails and creates the very chain of events he meant to prevent, harming many.
